
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,2,6,Image 1,2,1,100000001,510000000046,
1,,Segment,2,5,Image 1,2,1,100000001,510000000082,
8,,Segment,2,4,Image 1,1,1,100000001,510000000084,
8,,Segment,2,3,Image 1,1,1,100000001,510000000088,
3,,Segment,2,2,Image 1,1,1,100000001,510000000098,
3,,Segment,2,1,Image 1,1,1,100000001,510000000109,
0,,Segment,2,0,Image 1,1,1,100000001,510000000137,
1,,Segment,2,5,Image 1,1,1,100000001,510000000174,
4,,Segment,2,3,Image 1,2,1,100000001,510000000184,
4,,Segment,2,4,Image 1,2,1,100000001,510000000204,
2,,Segment,2,2,Image 1,2,1,100000001,510000000218,
2,,Segment,2,1,Image 1,2,1,100000001,510000000222,
2,,Segment,2,7,Image 1,3,1,100000002,510000000235,
2,,Segment,2,6,Image 1,3,1,100000002,510000000322,
4,,Segment,2,5,Image 1,3,1,100000002,510000000350,
4,,Segment,2,4,Image 1,3,1,100000002,510000000369,
3,,Segment,2,3,Image 1,3,1,100000002,510000000382,
16,,Segment,2,2,Image 1,3,1,100000002,510000000386,
1,,Segment,2,1,Image 1,2,1,100000002,510000000409,
8,,Segment,2,0,Image 1,1,1,100000002,510000000418,
8,,Segment,2,7,Image 1,4,1,100000002,510000000442,
5,,Segment,2,6,Image 1,4,1,100000002,510000000464,
2,,Segment,2,8,Image 1,6,1,100000002,510000000473,
6,,Segment,2,7,Image 1,6,1,100000002,510000000477,
2,,Segment,2,6,Image 1,5,1,100000002,510000000480,
6,,Segment,2,5,Image 1,5,1,100000002,510000000489,
2,,Segment,2,4,Image 1,4,1,100000002,510000000494,
9,,Segment,2,7,Image 1,5,1,100000002,510000000500,
2,,Segment,2,6,Image 1,6,1,100000002,510000000502,
2,,Segment,2,5,Image 1,4,1,100000002,510000000506,
4,,Segment,2,3,Image 1,4,1,100000002,510000000517,
0,,Segment,2,2,Image 1,2,1,100000002,510000000519,
7,,Segment,2,6,Image 1,1,1,100000000,510000000524,
4,,Segment,2,5,Image 1,1,1,100000000,510000000544,
1,,Segment,2,4,Image 1,1,1,100000000,510000000574,
12,,Segment,2,3,Image 1,1,1,100000000,510000000578,
6,,Segment,2,2,Image 1,1,1,100000000,510000000583,
8,,Segment,2,1,Image 1,1,1,100000000,510000000588,
9,,Segment,2,0,Image 1,1,1,100000000,510000000597,
1,,Segment,2,1,Image 1,2,1,100000000,510000000671,
3,,Segment,2,0,Image 1,1,1,100000000,510000000690,
3,,Segment,2,3,Image 1,1,1,100000002,510000000740,
3,,Segment,2,2,Image 1,1,1,100000002,510000000772,
3,,Segment,2,1,Image 1,1,1,100000002,510000000774,
5,,Segment,2,0,Image 1,1,1,100000002,510000000790,
1,,Segment,2,3,Image 1,3,1,100000002,510000000794,
1,,Segment,2,2,Image 1,2,1,100000002,510000000833,
4,,Segment,2,1,Image 1,1,1,100000002,510000000837,
4,,Segment,2,3,Image 1,2,1,100000002,510000000841,
4,,Segment,2,3,Image 1,2,1,100000002,510000000847,
11,,Segment,2,6,Image 1,2,1,100000000,510000000850,
3,,Segment,2,3,Image 1,3,1,100000002,510000000855,
3,,Segment,2,2,Image 1,2,1,100000002,510000000877,
5,,Segment,2,5,Image 1,2,1,100000000,510000000893,
3,,Segment,2,3,Image 1,2,1,100000002,510000000895,
0,,Segment,2,0,Image 1,1,1,100000001,510000000931,
5,,Segment,2,1,Image 1,2,1,100000002,510000000972,
2,,Segment,2,0,Image 1,1,1,100000000,510000001008,
0,,Segment,2,4,Image 1,2,1,100000000,510000001031,
3,,Segment,2,2,Image 1,1,1,100000002,510000001035,
7,,Segment,2,3,Image 1,2,1,100000000,510000001042,
2,,Segment,2,2,Image 1,2,1,100000000,510000001053,
6,,Segment,2,1,Image 1,2,1,100000001,510000001085,
19,,Segment,2,0,Image 1,1,1,100000001,510000001093,
4,,Segment,2,1,Image 1,2,1,100000000,510000001100,
1,,Segment,2,0,Image 1,1,1,100000000,510000001132,
1,,Segment,2,0,Image 1,1,1,100000001,510000001142,
4,,Segment,2,0,Image 1,1,1,100000000,510000001259,
11,,Segment,2,2,Image 1,1,1,100000001,510000001277,
12,,Segment,2,1,Image 1,1,1,100000001,510000001280,
13,,Segment,2,2,Image 1,2,1,100000001,510000001289,
5,,Segment,2,0,Image 1,1,1,100000001,510000001293,
12,,Segment,2,0,Image 1,1,1,100000001,510000001300,
16,,Segment,2,0,Image 1,1,1,100000001,510000001326,
26,,Segment,2,0,Image 1,1,1,100000000,510000001375,
12,,Segment,2,1,Image 1,1,1,100000000,510000001392,
3,,Segment,2,6,Image 1,3,1,100000001,510000001395,
7,,Segment,2,5,Image 1,4,1,100000002,510000001399,
8,,Segment,2,8,Image 1,7,1,100000002,510000001400,
