
Spine Center Intensity StdDev Ch=2 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
21.5439,,Spine,2,0,Image 1,1,1,100000000,610000001542,
23.7116,,Spine,2,0,Image 1,1,1,100000000,610000001546,
7.9599,,Spine,2,1,Image 1,2,1,100000000,610000001550,
12.7279,,Spine,2,1,Image 1,2,1,100000000,610000001553,
20.7579,,Spine,2,6,Image 1,3,1,100000002,610000001555,
8.21922,,Spine,2,6,Image 1,1,1,100000000,610000001559,
16.4222,,Spine,2,6,Image 1,2,1,100000001,610000001562,
23.464,,Spine,2,2,Image 1,1,1,100000002,610000001567,
5.4365,,Spine,2,1,Image 1,2,1,100000000,610000001569,
4.12311,,Spine,2,2,Image 1,1,1,100000002,610000001575,
5.24934,,Spine,2,6,Image 1,1,1,100000000,610000001577,
15.8902,,Spine,2,2,Image 1,1,1,100000002,610000001581,
39.2404,,Spine,2,3,Image 1,1,1,100000002,610000001587,
18.3368,,Spine,2,2,Image 1,1,1,100000002,610000001592,
17.8056,,Spine,2,2,Image 1,1,1,100000002,610000001597,
18.1537,,Spine,2,5,Image 1,3,1,100000002,610000001599,
31.6895,,Spine,2,2,Image 1,1,1,100000002,610000001606,
11.2534,,Spine,2,2,Image 1,1,1,100000002,610000001611,
5.4365,,Spine,2,4,Image 1,2,1,100000000,610000001613,
11.431,,Spine,2,0,Image 1,1,1,100000000,610000001615,
8.99382,,Spine,2,0,Image 1,1,1,100000000,610000001617,
15.456,,Spine,2,4,Image 1,2,1,100000000,610000001619,
8.04156,,Spine,2,0,Image 1,1,1,100000001,610000001622,
19.4792,,Spine,2,0,Image 1,1,1,100000001,610000001627,
11.8977,,Spine,2,6,Image 1,3,1,100000002,610000001629,
0.471405,,Spine,2,5,Image 1,2,1,100000000,610000001631,
39.3883,,Spine,2,3,Image 1,1,1,100000002,610000001635,
6.82935,,Spine,2,2,Image 1,1,1,100000002,610000001640,
22.1259,,Spine,2,0,Image 1,1,1,100000001,610000001642,
7.6974,,Spine,2,2,Image 1,1,1,100000002,610000001646,
20.8384,,Spine,2,0,Image 1,1,1,100000001,610000001651,
20.7891,,Spine,2,2,Image 1,1,1,100000002,610000001655,
16.4992,,Spine,2,6,Image 1,2,1,100000001,610000001657,
4.49691,,Spine,2,0,Image 1,1,1,100000001,610000001660,
15.8193,,Spine,2,0,Image 1,1,1,100000001,610000001664,
18.3712,,Spine,2,0,Image 1,1,1,100000001,610000001668,
11.4407,,Spine,2,2,Image 1,1,1,100000002,610000001671,
3.68179,,Spine,2,2,Image 1,1,1,100000002,610000001674,
11.4961,,Spine,2,2,Image 1,1,1,100000002,610000001681,
10.873,,Spine,2,0,Image 1,1,1,100000002,610000001684,
1.41421,,Spine,2,2,Image 1,1,1,100000002,610000001687,
0.942809,,Spine,2,2,Image 1,1,1,100000002,610000001690,
19.2728,,Spine,2,0,Image 1,1,1,100000001,610000001695,
17.7676,,Spine,2,0,Image 1,1,1,100000001,610000001699,
8.80656,,Spine,2,3,Image 1,1,1,100000002,610000001701,
1.5,,Spine,2,2,Image 1,1,1,100000002,610000001703,
24.2835,,Spine,2,5,Image 1,2,1,100000001,610000001706,
11.8612,,Spine,2,0,Image 1,1,1,100000001,610000001710,
13.2749,,Spine,2,0,Image 1,1,1,100000001,610000001713,
3,,Spine,2,2,Image 1,1,1,100000002,610000001715,
22.0907,,Spine,2,0,Image 1,1,1,100000001,610000001718,
9.39267,,Spine,2,2,Image 1,1,1,100000002,610000001721,
2.94392,,Spine,2,5,Image 1,3,1,100000002,610000001723,
28.1109,,Spine,2,1,Image 1,2,1,100000001,610000001725,
15.5,,Spine,2,2,Image 1,1,1,100000002,610000001727,
4.5,,Spine,2,2,Image 1,1,1,100000002,610000001730,
16.3571,,Spine,2,2,Image 1,1,1,100000002,610000001733,
10.4987,,Spine,2,0,Image 1,1,1,100000000,610000001735,
11.0252,,Spine,2,2,Image 1,1,1,100000002,610000001739,
12.9301,,Spine,2,6,Image 1,3,1,100000002,610000001742,
5,,Spine,2,2,Image 1,1,1,100000002,610000001745,
43.3669,,Spine,2,0,Image 1,1,1,100000000,610000001751,
33.0983,,Spine,2,3,Image 1,1,1,100000002,610000001755,
14.3527,,Spine,2,6,Image 1,3,1,100000002,610000001758,
4.6428,,Spine,2,2,Image 1,1,1,100000002,610000001764,
6,,Spine,2,2,Image 1,1,1,100000002,610000001766,
28.856,,Spine,2,6,Image 1,3,1,100000002,610000001768,
7.5,,Spine,2,2,Image 1,1,1,100000002,610000001770,
4.06202,,Spine,2,0,Image 1,1,1,100000001,610000001774,
1,,Spine,2,2,Image 1,1,1,100000002,610000001776,
3,,Spine,2,0,Image 1,1,1,100000001,610000001778,
51.4408,,Spine,2,1,Image 1,2,1,100000000,610000001783,
10,,Spine,2,0,Image 1,1,1,100000000,610000001785,
20.7557,,Spine,2,0,Image 1,1,1,100000001,610000001790,
18.6607,,Spine,2,0,Image 1,1,1,100000001,610000001792,
8,,Spine,2,0,Image 1,1,1,100000000,610000001795,
19.3956,,Spine,2,0,Image 1,1,1,100000000,610000001799,
3.55903,,Spine,2,0,Image 1,1,1,100000001,610000001804,
11.225,,Spine,2,0,Image 1,1,1,100000001,610000001807,
27.0103,,Spine,2,2,Image 1,1,1,100000002,610000001810,
4.5,,Spine,2,2,Image 1,1,1,100000002,610000001812,
6,,Spine,2,2,Image 1,1,1,100000002,610000001819,
8.04156,,Spine,2,0,Image 1,1,1,100000000,610000001822,
4.5,,Spine,2,2,Image 1,1,1,100000002,610000001826,
5,,Spine,2,2,Image 1,1,1,100000002,610000001828,
20.8859,,Spine,2,0,Image 1,1,1,100000000,610000001831,
32.7143,,Spine,2,0,Image 1,1,1,100000000,610000001836,
13.5,,Spine,2,0,Image 1,1,1,100000001,610000001840,
4,,Spine,2,2,Image 1,1,1,100000002,610000001843,
6.72216,,Spine,2,0,Image 1,1,1,100000001,610000001846,
12,,Spine,2,2,Image 1,1,1,100000002,610000001849,
6.12826,,Spine,2,0,Image 1,1,1,100000001,610000001852,
6.5,,Spine,2,0,Image 1,1,1,100000001,610000001854,
7.84574,,Spine,2,0,Image 1,1,1,100000001,610000001857,
9.5,,Spine,2,0,Image 1,1,1,100000001,610000001859,
2.5,,Spine,2,0,Image 1,1,1,100000000,610000001862,
12.1198,,Spine,2,0,Image 1,1,1,100000001,610000001868,
3,,Spine,2,2,Image 1,1,1,100000002,610000001872,
14.5,,Spine,2,0,Image 1,1,1,100000001,610000001878,
32.5,,Spine,2,0,Image 1,1,1,100000001,610000001881,
21.9545,,Spine,2,0,Image 1,1,1,100000001,610000001888,
21.5,,Spine,2,0,Image 1,1,1,100000001,610000001892,
8.5,,Spine,2,0,Image 1,1,1,100000001,610000001894,
17.5,,Spine,2,0,Image 1,1,1,100000000,610000001897,
18.2392,,Spine,2,0,Image 1,1,1,100000001,610000001899,
3.5,,Spine,2,0,Image 1,1,1,100000000,610000001901,
9.5,,Spine,2,0,Image 1,1,1,100000000,610000001905,
14,,Spine,2,0,Image 1,1,1,100000001,610000001910,
13,,Spine,2,0,Image 1,1,1,100000000,610000001914,
11,,Spine,2,0,Image 1,1,1,100000000,610000001922,
7.5,,Spine,2,0,Image 1,1,1,100000001,610000001924,
31.5,,Spine,2,0,Image 1,1,1,100000000,610000001926,
4,,Spine,2,0,Image 1,1,1,100000000,610000001932,
6,,Spine,2,6,Image 1,1,1,100000000,610000001942,
1,,Spine,2,6,Image 1,2,1,100000000,610000001943,
3.5,,Spine,2,5,Image 1,2,1,100000000,610000001944,
7,,Spine,2,4,Image 1,1,1,100000000,610000001945,
8.5,,Spine,2,4,Image 1,2,1,100000000,610000001946,
17,,Spine,2,4,Image 1,2,1,100000000,610000001947,
2.5,,Spine,2,1,Image 1,2,1,100000000,610000001948,
13.5,,Spine,2,1,Image 1,2,1,100000000,610000001949,
19.5,,Spine,2,1,Image 1,2,1,100000000,610000001950,
4,,Spine,2,0,Image 1,1,1,100000000,610000001956,
1.5,,Spine,2,0,Image 1,1,1,100000000,610000001957,
19,,Spine,2,0,Image 1,1,1,100000000,610000001958,
36.5,,Spine,2,0,Image 1,1,1,100000000,610000001959,
29,,Spine,2,0,Image 1,1,1,100000000,610000001960,
5.5,,Spine,2,6,Image 1,2,1,100000001,610000001964,
20,,Spine,2,5,Image 1,2,1,100000001,610000001965,
8,,Spine,2,5,Image 1,2,1,100000001,610000001966,
4,,Spine,2,5,Image 1,2,1,100000001,610000001967,
9,,Spine,2,5,Image 1,1,1,100000001,610000001968,
19.5,,Spine,2,3,Image 1,2,1,100000001,610000001969,
21,,Spine,2,0,Image 1,1,1,100000001,610000001970,
24,,Spine,2,0,Image 1,1,1,100000001,610000001971,
22,,Spine,2,0,Image 1,1,1,100000001,610000001977,
6,,Spine,2,0,Image 1,1,1,100000001,610000001978,
16,,Spine,2,0,Image 1,1,1,100000001,610000001979,
6.5,,Spine,2,0,Image 1,1,1,100000001,610000001980,
