
Spine Length
 ==================== 
Spine Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.854899,µm,Spine,0,1,1,100000000,610000001542,
0.641563,µm,Spine,0,1,1,100000000,610000001546,
0.797985,µm,Spine,1,2,1,100000000,610000001550,
0.691966,µm,Spine,1,2,1,100000000,610000001553,
0.396263,µm,Spine,6,3,1,100000002,610000001555,
0.810791,µm,Spine,6,1,1,100000000,610000001559,
0.534933,µm,Spine,6,2,1,100000001,610000001562,
0.773626,µm,Spine,3,1,1,100000002,610000001567,
0.523197,µm,Spine,1,2,1,100000000,610000001569,
1.28227,µm,Spine,3,1,1,100000002,610000001575,
0.536714,µm,Spine,6,1,1,100000000,610000001577,
0.490446,µm,Spine,3,1,1,100000002,610000001581,
0.574114,µm,Spine,3,1,1,100000002,610000001587,
0.670619,µm,Spine,3,1,1,100000002,610000001592,
0.646525,µm,Spine,3,1,1,100000002,610000001597,
0.360779,µm,Spine,5,3,1,100000002,610000001599,
0.587313,µm,Spine,3,1,1,100000002,610000001606,
0.626346,µm,Spine,3,1,1,100000002,610000001611,
0.441354,µm,Spine,4,2,1,100000000,610000001613,
0.331953,µm,Spine,0,1,1,100000000,610000001615,
0.357657,µm,Spine,0,1,1,100000000,610000001617,
0.415689,µm,Spine,4,2,1,100000000,610000001619,
0.761538,µm,Spine,0,1,1,100000001,610000001622,
0.446039,µm,Spine,0,1,1,100000001,610000001627,
0.353734,µm,Spine,6,3,1,100000002,610000001629,
0.346097,µm,Spine,5,2,1,100000000,610000001631,
0.630046,µm,Spine,3,1,1,100000002,610000001635,
0.631755,µm,Spine,3,1,1,100000002,610000001640,
0.434227,µm,Spine,0,1,1,100000001,610000001642,
0.391905,µm,Spine,3,1,1,100000002,610000001646,
0.624286,µm,Spine,0,1,1,100000001,610000001651,
0.582798,µm,Spine,3,1,1,100000002,610000001655,
0.387802,µm,Spine,6,2,1,100000001,610000001657,
0.465714,µm,Spine,0,1,1,100000001,610000001660,
0.663992,µm,Spine,0,1,1,100000001,610000001664,
0.516422,µm,Spine,0,1,1,100000001,610000001668,
0.128671,µm,Spine,3,1,1,100000002,610000001671,
0.506494,µm,Spine,3,1,1,100000002,610000001674,
0.540111,µm,Spine,3,1,1,100000002,610000001681,
0.391373,µm,Spine,0,1,1,100000002,610000001684,
0.110612,µm,Spine,3,1,1,100000002,610000001687,
0.39549,µm,Spine,3,1,1,100000002,610000001690,
0.812925,µm,Spine,0,1,1,100000001,610000001695,
0.347752,µm,Spine,0,1,1,100000001,610000001699,
