
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3.01562,,Segment,1,7,Image 1,6,1,100000001,510000000050,
2.00781,,Segment,1,6,Image 1,5,1,100000001,510000000095,
3.00781,,Segment,1,5,Image 1,4,1,100000001,510000000121,
6.00781,,Segment,1,4,Image 1,3,1,100000001,510000000143,
2.00391,,Segment,1,3,Image 1,2,1,100000001,510000000163,
2.00391,,Segment,1,2,Image 1,1,1,100000001,510000000195,
1.00391,,Segment,1,1,Image 1,1,1,100000001,510000000221,
1.00391,,Segment,1,0,Image 1,1,1,100000001,510000000252,
3.00781,,Segment,1,31,Image 1,13,1,100000001,510000000285,
2.00391,,Segment,1,30,Image 1,12,1,100000001,510000000295,
3.00781,,Segment,1,29,Image 1,12,1,100000001,510000000332,
4.0625,,Segment,1,28,Image 1,11,1,100000001,510000000380,
3.00781,,Segment,1,27,Image 1,11,1,100000001,510000000386,
3.50781,,Segment,1,26,Image 1,11,1,100000001,510000000435,
2.00391,,Segment,1,25,Image 1,11,1,100000001,510000000445,
2.00195,,Segment,1,24,Image 1,11,1,100000001,510000000451,
6.50781,,Segment,1,23,Image 1,11,1,100000001,510000000460,
2.00781,,Segment,1,22,Image 1,11,1,100000001,510000000479,
8.00391,,Segment,1,21,Image 1,10,1,100000001,510000000481,
3.00781,,Segment,1,20,Image 1,9,1,100000001,510000000493,
2.00391,,Segment,1,19,Image 1,9,1,100000001,510000000501,
2.50391,,Segment,1,18,Image 1,8,1,100000001,510000000508,
1.00781,,Segment,1,16,Image 1,7,1,100000001,510000000543,
1.00781,,Segment,1,15,Image 1,6,1,100000001,510000000552,
4.00781,,Segment,1,14,Image 1,6,1,100000001,510000000585,
3.00391,,Segment,1,13,Image 1,5,1,100000001,510000000603,
3.00781,,Segment,1,12,Image 1,4,1,100000001,510000000694,
2.00391,,Segment,1,11,Image 1,3,1,100000001,510000000707,
3.00391,,Segment,1,10,Image 1,2,1,100000001,510000000725,
2.00391,,Segment,1,9,Image 1,1,1,100000001,510000000755,
3.00391,,Segment,1,8,Image 1,1,1,100000001,510000000761,
2.00195,,Segment,1,7,Image 1,1,1,100000001,510000000769,
2.00391,,Segment,1,6,Image 1,1,1,100000001,510000000776,
5.01562,,Segment,1,5,Image 1,1,1,100000001,510000000803,
2.00391,,Segment,1,4,Image 1,1,1,100000001,510000000805,
4.00391,,Segment,1,3,Image 1,1,1,100000001,510000000815,
4.00391,,Segment,1,2,Image 1,1,1,100000001,510000000826,
1.00391,,Segment,1,1,Image 1,1,1,100000001,510000000829,
5.00391,,Segment,1,33,Image 1,14,1,100000001,510000000873,
7.01562,,Segment,1,32,Image 1,13,1,100000001,510000000902,
4.00391,,Segment,1,31,Image 1,13,1,100000001,510000000906,
3.01562,,Segment,1,30,Image 1,13,1,100000001,510000000942,
10.5078,,Segment,1,33,Image 1,13,1,100000001,510000000947,
3.50781,,Segment,1,31,Image 1,14,1,100000001,510000000976,
44.5625,,Segment,1,32,Image 1,14,1,100000001,510000000979,
6.01562,,Segment,1,31,Image 1,12,1,100000001,510000000994,
2.00391,,Segment,1,10,Image 1,8,1,100000001,510000001011,
3.50781,,Segment,1,9,Image 1,8,1,100000001,510000001026,
4.01562,,Segment,1,8,Image 1,7,1,100000001,510000001079,
4.03125,,Segment,1,7,Image 1,6,1,100000001,510000001101,
4.00781,,Segment,1,6,Image 1,5,1,100000001,510000001132,
3.50781,,Segment,1,5,Image 1,4,1,100000001,510000001151,
