
Spine Center Intensity Median Ch=6 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.03125,,Spine,6,6,Image 1,5,1,100000001,610000004280,
0.00195312,,Spine,6,15,Image 1,7,1,100000001,610000004293,
0.00390625,,Spine,6,1,Image 1,2,1,100000001,610000004304,
0.00390625,,Spine,6,1,Image 1,2,1,100000001,610000004314,
2.00195,,Spine,6,1,Image 1,2,1,100000001,610000004331,
0.00390625,,Spine,6,31,Image 1,14,1,100000001,610000004340,
0.00390625,,Spine,6,1,Image 1,2,1,100000001,610000004348,
0.00195312,,Spine,6,5,Image 1,1,1,100000001,610000004360,
0.00195312,,Spine,6,5,Image 1,1,1,100000001,610000004371,
0.000976562,,Spine,6,3,Image 1,1,1,100000001,610000004378,
0.00390625,,Spine,6,10,Image 1,8,1,100000001,610000004383,
3.0625,,Spine,6,5,Image 1,1,1,100000001,610000004389,
3.0625,,Spine,6,5,Image 1,1,1,100000001,610000004395,
2.00391,,Spine,6,25,Image 1,8,1,100000001,610000004398,
3.00391,,Spine,6,25,Image 1,8,1,100000001,610000004401,
4.00391,,Spine,6,25,Image 1,8,1,100000001,610000004403,
3.00391,,Spine,6,1,Image 1,2,1,100000001,610000004415,
4.00781,,Spine,6,7,Image 1,6,1,100000001,610000004422,
1.50391,,Spine,6,17,Image 1,8,1,100000001,610000004427,
5.50391,,Spine,6,7,Image 1,6,1,100000001,610000004433,
1.00391,,Spine,6,15,Image 1,6,1,100000001,610000004437,
3.00195,,Spine,6,4,Image 1,3,1,100000001,610000004439,
1.00391,,Spine,6,23,Image 1,8,1,100000001,610000004442,
2.00195,,Spine,6,16,Image 1,6,1,100000001,610000004445,
4.00391,,Spine,6,8,Image 1,7,1,100000001,610000004448,
3.00781,,Spine,6,17,Image 1,8,1,100000001,610000004452,
1.00195,,Spine,6,1,Image 1,2,1,100000001,610000004458,
2.00391,,Spine,6,16,Image 1,7,1,100000001,610000004464,
3.50391,,Spine,6,16,Image 1,7,1,100000001,610000004469,
2.00098,,Spine,6,1,Image 1,2,1,100000001,610000004474,
3.00781,,Spine,6,16,Image 1,7,1,100000001,610000004479,
24.5625,,Spine,6,26,Image 1,11,1,100000001,610000004482,
2.00195,,Spine,6,1,Image 1,2,1,100000001,610000004486,
4.50781,,Spine,6,5,Image 1,2,1,100000001,610000004492,
4,,Spine,6,1,Image 1,2,1,100000001,610000004494,
4.50391,,Spine,6,16,Image 1,7,1,100000001,610000004497,
1.00098,,Spine,6,23,Image 1,8,1,100000001,610000004500,
5.00781,,Spine,6,5,Image 1,2,1,100000001,610000004503,
3.00195,,Spine,6,21,Image 1,9,1,100000001,610000004507,
2.00391,,Spine,6,5,Image 1,2,1,100000001,610000004511,
5.50781,,Spine,6,22,Image 1,10,1,100000001,610000004514,
0.00195312,,Spine,6,1,Image 1,2,1,100000001,610000004518,
2.01562,,Spine,6,5,Image 1,2,1,100000001,610000004523,
4.00391,,Spine,6,20,Image 1,9,1,100000001,610000004528,
5,,Spine,6,7,Image 1,6,1,100000001,610000004531,
1,,Spine,6,1,Image 1,2,1,100000001,610000004536,
2,,Spine,6,17,Image 1,8,1,100000001,610000004544,
0.00195312,,Spine,6,16,Image 1,7,1,100000001,610000004547,
2.00391,,Spine,6,20,Image 1,9,1,100000001,610000004549,
5.00391,,Spine,6,20,Image 1,9,1,100000001,610000004553,
4.00195,,Spine,6,22,Image 1,12,1,100000001,610000004557,
4.50098,,Spine,6,1,Image 1,2,1,100000001,610000004569,
1.00195,,Spine,6,7,Image 1,6,1,100000001,610000004590,
1,,Spine,6,7,Image 1,6,1,100000001,610000004591,
1.50098,,Spine,6,6,Image 1,1,1,100000001,610000004592,
0.500977,,Spine,6,6,Image 1,1,1,100000001,610000004593,
2,,Spine,6,6,Image 1,1,1,100000001,610000004594,
1.50195,,Spine,6,5,Image 1,1,1,100000001,610000004595,
3,,Spine,6,5,Image 1,1,1,100000001,610000004596,
2,,Spine,6,5,Image 1,1,1,100000001,610000004597,
2.50098,,Spine,6,5,Image 1,1,1,100000001,610000004598,
2.00195,,Spine,6,3,Image 1,2,1,100000001,610000004599,
3.00195,,Spine,6,3,Image 1,2,1,100000001,610000004600,
0.500977,,Spine,6,1,Image 1,1,1,100000001,610000004601,
66.5312,,Spine,6,1,Image 1,2,1,100000001,610000004602,
6,,Spine,6,32,Image 1,13,1,100000001,610000004603,
5.00391,,Spine,6,26,Image 1,11,1,100000001,610000004604,
5.00391,,Spine,6,26,Image 1,11,1,100000001,610000004605,
3.00391,,Spine,6,22,Image 1,10,1,100000001,610000004606,
2.00195,,Spine,6,22,Image 1,10,1,100000001,610000004607,
4.50391,,Spine,6,21,Image 1,9,1,100000001,610000004608,
2.00195,,Spine,6,21,Image 1,9,1,100000001,610000004609,
6.00195,,Spine,6,20,Image 1,9,1,100000001,610000004610,
7,,Spine,6,20,Image 1,9,1,100000001,610000004611,
26.0078,,Spine,6,28,Image 1,12,1,100000001,610000004612,
7.50781,,Spine,6,19,Image 1,10,1,100000001,610000004613,
4.50098,,Spine,6,18,Image 1,9,1,100000001,610000004614,
1.50195,,Spine,6,17,Image 1,7,1,100000001,610000004615,
7.50391,,Spine,6,16,Image 1,7,1,100000001,610000004616,
0.500977,,Spine,6,16,Image 1,7,1,100000001,610000004617,
2,,Spine,6,16,Image 1,7,1,100000001,610000004618,
1.50195,,Spine,6,16,Image 1,6,1,100000001,610000004619,
0.500977,,Spine,6,17,Image 1,8,1,100000001,610000004620,
3.00195,,Spine,6,16,Image 1,7,1,100000001,610000004621,
3.00391,,Spine,6,25,Image 1,7,1,100000001,610000004622,
8.50195,,Spine,6,21,Image 1,8,1,100000001,610000004623,
2.00391,,Spine,6,21,Image 1,8,1,100000001,610000004624,
1.50195,,Spine,6,15,Image 1,7,1,100000001,610000004625,
0.500977,,Spine,6,15,Image 1,7,1,100000001,610000004626,
0,,Spine,6,15,Image 1,7,1,100000001,610000004627,
3.50195,,Spine,6,8,Image 1,2,1,100000001,610000004628,
11.0156,,Spine,6,7,Image 1,2,1,100000001,610000004629,
2.50098,,Spine,6,4,Image 1,3,1,100000001,610000004630,
2.00195,,Spine,6,0,Image 1,1,1,100000001,610000004631,
3.50098,,Spine,6,0,Image 1,1,1,100000001,610000004632,
5.00391,,Spine,6,9,Image 1,8,1,100000001,610000004633,
5.00391,,Spine,6,9,Image 1,7,1,100000001,610000004634,
5.50098,,Spine,6,9,Image 1,6,1,100000001,610000004635,
48.5312,,Spine,6,7,Image 1,6,1,100000001,610000004636,
1.50098,,Spine,6,8,Image 1,5,1,100000001,610000004637,
3.50391,,Spine,6,7,Image 1,5,1,100000001,610000004638,
1.00195,,Spine,6,6,Image 1,5,1,100000001,610000004639,
4.00195,,Spine,6,7,Image 1,6,1,100000001,610000004640,
3.50098,,Spine,6,7,Image 1,5,1,100000001,610000004641,
32.5312,,Spine,6,2,Image 1,3,1,100000001,610000004642,
14.0039,,Spine,6,2,Image 1,3,1,100000001,610000004643,
3.50195,,Spine,6,1,Image 1,1,1,100000001,610000004646,
