
Spine Position
 ==================== 
Spine Position X,Spine Position Y,Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-21288.7,18998.7,1370.65,µm,Spine,Spine Position,0,1,1,100000002,610000001972,
-21289,19003.4,1369.84,µm,Spine,Spine Position,0,1,1,100000002,610000001982,
-21287.3,18999.1,1370.71,µm,Spine,Spine Position,0,1,1,100000002,610000001987,
-21287.7,18995,1368.62,µm,Spine,Spine Position,0,1,1,100000003,610000001996,
-21289.7,19033.8,1366.78,µm,Spine,Spine Position,0,1,1,100000007,610000002050,
-21284.8,19009.8,1368.61,µm,Spine,Spine Position,0,1,1,100000006,610000002078,
-21287.9,19009.8,1368.14,µm,Spine,Spine Position,0,1,1,100000006,610000002130,
-21262.7,19033.7,1370.6,µm,Spine,Spine Position,0,1,1,100000000,610000002154,
-21286.5,18995.8,1368.24,µm,Spine,Spine Position,0,1,1,100000003,610000002177,
-21263.1,19032.5,1370.27,µm,Spine,Spine Position,0,1,1,100000000,610000002216,
-21262.7,19033.6,1370.54,µm,Spine,Spine Position,0,1,1,100000000,610000002217,
-21284.8,19009.9,1368.76,µm,Spine,Spine Position,0,1,1,100000006,610000002244,
-21285.5,19010.4,1368.6,µm,Spine,Spine Position,0,1,1,100000006,610000002245,
-21289.4,19032.5,1366.81,µm,Spine,Spine Position,0,1,1,100000007,610000002247,
-21268.9,19032.1,1370.43,µm,Spine,Spine Position,1,1,1,100000000,610000001989,
-21284.3,19009.4,1369.42,µm,Spine,Spine Position,1,1,1,100000006,610000002009,
-21271.6,19016.4,1368.82,µm,Spine,Spine Position,1,1,1,100000004,610000002025,
-21268.9,19031.3,1370.22,µm,Spine,Spine Position,1,1,1,100000000,610000002199,
-21268.9,19031.5,1370.23,µm,Spine,Spine Position,1,1,1,100000000,610000002200,
-21272.8,19017.6,1367.11,µm,Spine,Spine Position,1,1,1,100000004,610000002239,
-21289.8,19036.4,1367.6,µm,Spine,Spine Position,1,2,1,100000007,610000002097,
-21289.9,19033.9,1367.33,µm,Spine,Spine Position,1,2,1,100000007,610000002106,
-21290,19036.3,1367.44,µm,Spine,Spine Position,1,2,1,100000007,610000002163,
-21290.4,19035.9,1366.94,µm,Spine,Spine Position,1,2,1,100000007,610000002192,
-21269.2,19034.3,1369.45,µm,Spine,Spine Position,1,2,1,100000000,610000002205,
-21272.1,19018.7,1368.1,µm,Spine,Spine Position,1,2,1,100000004,610000002240,
-21289.4,19031.4,1366.95,µm,Spine,Spine Position,1,2,1,100000007,610000002246,
-21273.3,19014.2,1370.42,µm,Spine,Spine Position,2,1,1,100000004,610000002080,
-21262.8,19031.6,1370.52,µm,Spine,Spine Position,2,2,1,100000000,610000002058,
-21270.4,19012.3,1367.81,µm,Spine,Spine Position,2,2,1,100000004,610000002139,
-21282.4,18998.9,1369.03,µm,Spine,Spine Position,2,2,1,100000003,610000002230,
-21270.4,19012.2,1367.86,µm,Spine,Spine Position,2,2,1,100000004,610000002235,
-21270.4,19012.2,1367.86,µm,Spine,Spine Position,2,2,1,100000004,610000002236,
-21270.3,19012.1,1367.99,µm,Spine,Spine Position,2,2,1,100000004,610000002237,
-21270.2,19012.4,1368.65,µm,Spine,Spine Position,2,2,1,100000004,610000002238,
-21260.2,19007.8,1368.88,µm,Spine,Spine Position,2,2,1,100000005,610000002242,
-21258.2,19003.5,1370.23,µm,Spine,Spine Position,2,3,1,100000005,610000002243,
-21260,19007.7,1368.89,µm,Spine,Spine Position,3,2,1,100000005,610000002241,
-21269.9,19030.6,1369.37,µm,Spine,Spine Position,3,3,1,100000000,610000001994,
-21269.9,19030.7,1369.37,µm,Spine,Spine Position,3,3,1,100000000,610000002007,
-21262.5,19026.3,1370.12,µm,Spine,Spine Position,4,3,1,100000000,610000001976,
-21262.7,19029.2,1369.07,µm,Spine,Spine Position,4,3,1,100000000,610000002092,
-21262.8,19026.3,1370.28,µm,Spine,Spine Position,4,3,1,100000000,610000002214,
-21262.7,19026.4,1369.9,µm,Spine,Spine Position,4,3,1,100000000,610000002215,
-21274.8,19033.2,1369.34,µm,Spine,Spine Position,4,5,1,100000000,610000002060,
-21274.8,19033.1,1369.29,µm,Spine,Spine Position,4,5,1,100000000,610000002203,
-21274.7,19033,1369.31,µm,Spine,Spine Position,4,5,1,100000000,610000002204,
-21262.7,19036.5,1370.78,µm,Spine,Spine Position,5,3,1,100000000,610000002004,
-21263.3,19036.2,1370.75,µm,Spine,Spine Position,5,3,1,100000000,610000002016,
-21262.8,19036.4,1371.08,µm,Spine,Spine Position,5,3,1,100000000,610000002023,
-21263.3,19036.2,1370.86,µm,Spine,Spine Position,5,3,1,100000000,610000002031,
-21262.8,19036.3,1371.11,µm,Spine,Spine Position,5,3,1,100000000,610000002037,
-21263.3,19036.2,1370.76,µm,Spine,Spine Position,5,3,1,100000000,610000002043,
-21263.3,19036.1,1370.91,µm,Spine,Spine Position,5,3,1,100000000,610000002056,
-21262.3,19033.5,1369.88,µm,Spine,Spine Position,5,3,1,100000000,610000002063,
-21263.4,19036.1,1370.71,µm,Spine,Spine Position,5,3,1,100000000,610000002068,
-21262.4,19036.4,1370.95,µm,Spine,Spine Position,5,3,1,100000000,610000002075,
-21262.6,19036.2,1370.73,µm,Spine,Spine Position,5,3,1,100000000,610000002086,
-21260.6,19034.2,1370.83,µm,Spine,Spine Position,5,3,1,100000000,610000002090,
-21263,19036.2,1370.47,µm,Spine,Spine Position,5,3,1,100000000,610000002101,
-21262.7,19036.1,1371.1,µm,Spine,Spine Position,5,3,1,100000000,610000002104,
-21262.5,19036.4,1370.8,µm,Spine,Spine Position,5,3,1,100000000,610000002110,
-21261.1,19034,1371.01,µm,Spine,Spine Position,5,3,1,100000000,610000002118,
-21263.1,19035.8,1371.14,µm,Spine,Spine Position,5,3,1,100000000,610000002123,
-21263.3,19035.8,1370.47,µm,Spine,Spine Position,5,3,1,100000000,610000002126,
-21262.6,19034.6,1370.28,µm,Spine,Spine Position,5,3,1,100000000,610000002133,
-21262.1,19036.2,1370.84,µm,Spine,Spine Position,5,3,1,100000000,610000002141,
-21263.4,19035.8,1370.93,µm,Spine,Spine Position,5,3,1,100000000,610000002144,
-21261.9,19035.8,1370.84,µm,Spine,Spine Position,5,3,1,100000000,610000002147,
-21260.8,19035.3,1371.04,µm,Spine,Spine Position,5,3,1,100000000,610000002149,
-21261.3,19033.8,1370.84,µm,Spine,Spine Position,5,3,1,100000000,610000002151,
-21263.2,19035,1370.44,µm,Spine,Spine Position,5,3,1,100000000,610000002156,
-21262.4,19033.8,1370.81,µm,Spine,Spine Position,5,3,1,100000000,610000002159,
-21262.4,19036.2,1370.64,µm,Spine,Spine Position,5,3,1,100000000,610000002161,
-21263.7,19034.9,1370.74,µm,Spine,Spine Position,5,3,1,100000000,610000002167,
-21263.7,19025.6,1370.7,µm,Spine,Spine Position,5,3,1,100000000,610000002213,
-21263.3,19026.2,1370.8,µm,Spine,Spine Position,5,4,1,100000000,610000002113,
-21275,19033.2,1369.2,µm,Spine,Spine Position,5,5,1,100000000,610000002202,
-21274.9,19033.3,1369.01,µm,Spine,Spine Position,5,6,1,100000000,610000001978,
-21275,19033.2,1369,µm,Spine,Spine Position,5,6,1,100000000,610000002201,
