
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-7765.88,-23577.1,1516.04,µm,Segment,Segment Position,0,1,1,100000001,510000000031,
-7710.31,-23633.9,1517.86,µm,Segment,Segment Position,0,1,1,100000000,510000000158,
-7712.75,-23631.5,1518.59,µm,Segment,Segment Position,0,1,1,100000000,510000000299,
-7658.65,-23641.6,1513.11,µm,Segment,Segment Position,0,1,1,100000002,510000000354,
-7710.57,-23627.5,1513.74,µm,Segment,Segment Position,0,1,1,100000000,510000000430,
-7702.76,-23632.5,1513.38,µm,Segment,Segment Position,0,1,1,100000000,510000000677,
-7759.56,-23578,1509.55,µm,Segment,Segment Position,0,1,1,100000001,510000000976,
-7657.34,-23644.3,1506.9,µm,Segment,Segment Position,0,1,1,100000002,510000001169,
-7758.83,-23576.5,1511.23,µm,Segment,Segment Position,0,1,1,100000001,510000001247,
-7767.99,-23578.8,1514.27,µm,Segment,Segment Position,0,1,1,100000001,510000001254,
-7704.65,-23637.1,1511.59,µm,Segment,Segment Position,0,1,1,100000000,510000001277,
-7765.46,-23579.1,1510.57,µm,Segment,Segment Position,0,1,1,100000001,510000001298,
-7768.14,-23579,1512.77,µm,Segment,Segment Position,0,1,1,100000001,510000001308,
-7705.62,-23629.9,1513.43,µm,Segment,Segment Position,0,1,1,100000000,510000001315,
-7765.27,-23578.4,1511.47,µm,Segment,Segment Position,0,1,1,100000001,510000001343,
-7656.85,-23642.2,1508.65,µm,Segment,Segment Position,0,1,1,100000002,510000001346,
-7766.53,-23576,1518.16,µm,Segment,Segment Position,1,1,1,100000001,510000000020,
-7658.24,-23641,1513.49,µm,Segment,Segment Position,1,1,1,100000002,510000000345,
-7712.88,-23626.5,1512.96,µm,Segment,Segment Position,1,1,1,100000000,510000000409,
-7715.29,-23632.3,1520.49,µm,Segment,Segment Position,1,1,1,100000000,510000000483,
-7758.12,-23579,1508.33,µm,Segment,Segment Position,1,1,1,100000001,510000000969,
-7656.64,-23647.1,1506.11,µm,Segment,Segment Position,1,1,1,100000002,510000001146,
-7699.74,-23630.8,1515.45,µm,Segment,Segment Position,1,1,1,100000000,510000001184,
-7711.23,-23634.4,1517.24,µm,Segment,Segment Position,1,1,1,100000000,510000001201,
-7655.47,-23641.4,1508.22,µm,Segment,Segment Position,1,1,1,100000002,510000001323,
-7765.88,-23577.5,1520.37,µm,Segment,Segment Position,1,2,1,100000001,510000000060,
-7713.08,-23636.3,1519.96,µm,Segment,Segment Position,1,2,1,100000000,510000000142,
-7715.41,-23632.6,1519.64,µm,Segment,Segment Position,1,2,1,100000000,510000000268,
-7715.73,-23631.7,1520.12,µm,Segment,Segment Position,1,2,1,100000000,510000000477,
-7699.53,-23630.7,1514.18,µm,Segment,Segment Position,1,2,1,100000000,510000000655,
-7758.97,-23579.2,1508.91,µm,Segment,Segment Position,1,2,1,100000001,510000001204,
-7712.6,-23626.5,1512.14,µm,Segment,Segment Position,1,2,1,100000000,510000001218,
-7655.83,-23641.6,1507.2,µm,Segment,Segment Position,1,2,1,100000002,510000001226,
-7713.16,-23626.8,1513.85,µm,Segment,Segment Position,1,2,1,100000000,510000001231,
-7658.5,-23641.1,1514.11,µm,Segment,Segment Position,1,2,1,100000002,510000001302,
-7656.94,-23646.5,1505.97,µm,Segment,Segment Position,1,2,1,100000002,510000001345,
-7728.3,-23632.2,1522.66,µm,Segment,Segment Position,10,2,1,100000000,510000000218,
-7728.36,-23633.6,1521.22,µm,Segment,Segment Position,10,3,1,100000000,510000000312,
-7682.13,-23626.7,1513.96,µm,Segment,Segment Position,10,4,1,100000000,510000000853,
-7686.42,-23626.6,1516.69,µm,Segment,Segment Position,10,4,1,100000000,510000001336,
-7682.92,-23629.5,1512.83,µm,Segment,Segment Position,10,5,1,100000000,510000000603,
-7686.36,-23626.8,1517.16,µm,Segment,Segment Position,10,5,1,100000000,510000000994,
-7729.05,-23630,1522.44,µm,Segment,Segment Position,11,2,1,100000000,510000000206,
