
Spine Volume
 ==================== 
Spine Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.25352,µm^3,Spine,7,2,1,100000002,610000005272,
1.91392,µm^3,Spine,1,1,1,100000003,610000005287,
1.90344,µm^3,Spine,7,2,1,100000002,610000005298,
1.5587,µm^3,Spine,1,1,1,100000003,610000005310,
0.502004,µm^3,Spine,9,5,1,100000001,610000005316,
2.16433,µm^3,Spine,0,1,1,100000003,610000005334,
1.04694,µm^3,Spine,5,1,1,100000002,610000005338,
1.99193,µm^3,Spine,0,1,1,100000003,610000005355,
1.01063,µm^3,Spine,1,1,1,100000003,610000005365,
1.32127,µm^3,Spine,0,1,1,100000003,610000005379,
0.384038,µm^3,Spine,16,6,1,100000000,610000005382,
0.245066,µm^3,Spine,8,5,1,100000002,610000005386,
1.233,µm^3,Spine,10,8,1,100000001,610000005391,
0.497375,µm^3,Spine,8,3,1,100000002,610000005394,
0.485817,µm^3,Spine,3,3,1,100000002,610000005397,
0.993677,µm^3,Spine,10,4,1,100000000,610000005399,
0.465082,µm^3,Spine,6,2,1,100000002,610000005401,
0.340408,µm^3,Spine,2,1,1,100000004,610000005405,
1.20269,µm^3,Spine,1,1,1,100000001,610000005409,
0.522783,µm^3,Spine,3,3,1,100000002,610000005411,
1.28866,µm^3,Spine,0,1,1,100000004,610000005418,
0.938746,µm^3,Spine,6,2,1,100000002,610000005420,
5.1347,µm^3,Spine,10,6,1,100000001,610000005438,
0.334702,µm^3,Spine,7,4,1,100000000,610000005441,
1.65549,µm^3,Spine,10,6,1,100000001,610000005456,
0.685027,µm^3,Spine,10,6,1,100000001,610000005474,
1.11508,µm^3,Spine,0,1,1,100000003,610000005480,
1.13379,µm^3,Spine,10,8,1,100000001,610000005485,
0.547589,µm^3,Spine,10,6,1,100000001,610000005504,
1.01734,µm^3,Spine,5,1,1,100000002,610000005506,
0.233094,µm^3,Spine,7,5,1,100000000,610000005508,
4.16592,µm^3,Spine,9,4,1,100000003,610000005517,
2.27535,µm^3,Spine,0,1,1,100000004,610000005525,
1.49,µm^3,Spine,10,6,1,100000001,610000005530,
0.380575,µm^3,Spine,18,8,1,100000000,610000005533,
0.22511,µm^3,Spine,10,6,1,100000001,610000005538,
2.23606,µm^3,Spine,7,4,1,100000000,610000005543,
7.99648,µm^3,Spine,10,6,1,100000001,610000005550,
1.18324,µm^3,Spine,2,3,1,100000003,610000005558,
0.459871,µm^3,Spine,10,6,1,100000001,610000005569,
0.919742,µm^3,Spine,6,2,1,100000002,610000005573,
0.393639,µm^3,Spine,10,8,1,100000001,610000005575,
1.17401,µm^3,Spine,5,1,1,100000002,610000005578,
0.499928,µm^3,Spine,10,6,1,100000001,610000005585,
0.481428,µm^3,Spine,10,6,1,100000001,610000005596,
5.67382,µm^3,Spine,0,1,1,100000004,610000005602,
16.6696,µm^3,Spine,10,6,1,100000001,610000005606,
4.3608,µm^3,Spine,0,1,1,100000003,610000005611,
0.574574,µm^3,Spine,0,1,1,100000004,610000005618,
1.03764,µm^3,Spine,1,1,1,100000002,610000005624,
4.16462,µm^3,Spine,0,1,1,100000003,610000005628,
0.701181,µm^3,Spine,1,1,1,100000000,610000005633,
0.296914,µm^3,Spine,18,8,1,100000000,610000005637,
8.2672,µm^3,Spine,5,2,1,100000004,610000005641,
2.19659,µm^3,Spine,3,1,1,100000002,610000005650,
0.375992,µm^3,Spine,10,6,1,100000001,610000005658,
0.545788,µm^3,Spine,10,6,1,100000001,610000005666,
0.551107,µm^3,Spine,2,3,1,100000004,610000005668,
0.793674,µm^3,Spine,0,1,1,100000004,610000005675,
2.4318,µm^3,Spine,7,4,1,100000000,610000005678,
0.233934,µm^3,Spine,0,1,1,100000004,610000005681,
2.02645,µm^3,Spine,7,4,1,100000000,610000005688,
1.98751,µm^3,Spine,9,4,1,100000003,610000005695,
0.582571,µm^3,Spine,4,3,1,100000001,610000005699,
0.799733,µm^3,Spine,6,2,1,100000002,610000005702,
2.35545,µm^3,Spine,0,1,1,100000003,610000005709,
1.36869,µm^3,Spine,1,1,1,100000002,610000005713,
0.132043,µm^3,Spine,0,1,1,100000004,610000005720,
9.81079,µm^3,Spine,10,6,1,100000001,610000005725,
2.1463,µm^3,Spine,0,1,1,100000004,610000005728,
0.674049,µm^3,Spine,6,2,1,100000002,610000005733,
0.71987,µm^3,Spine,3,4,1,100000003,610000005736,
0.691904,µm^3,Spine,2,2,1,100000002,610000005738,
0.629926,µm^3,Spine,0,1,1,100000004,610000005745,
16.6675,µm^3,Spine,10,6,1,100000001,610000005750,
0.220491,µm^3,Spine,1,1,1,100000002,610000005755,
0.263846,µm^3,Spine,6,3,1,100000000,610000005758,
0.150718,µm^3,Spine,10,6,1,100000001,610000005762,
0.280406,µm^3,Spine,10,6,1,100000001,610000005767,
0.213766,µm^3,Spine,9,4,1,100000003,610000005772,
1.55395,µm^3,Spine,10,6,1,100000001,610000005777,
2.01454,µm^3,Spine,2,2,1,100000003,610000005781,
0.0815258,µm^3,Spine,8,5,1,100000001,610000005786,
0.290138,µm^3,Spine,10,6,1,100000001,610000005791,
5.20321,µm^3,Spine,0,1,1,100000004,610000005796,
0.620097,µm^3,Spine,6,1,1,100000004,610000005802,
0.237681,µm^3,Spine,10,6,1,100000001,610000005806,
1.43174,µm^3,Spine,7,4,1,100000000,610000005812,
1.77042,µm^3,Spine,2,2,1,100000003,610000005814,
0.310225,µm^3,Spine,8,5,1,100000000,610000005816,
1.15295,µm^3,Spine,1,1,1,100000002,610000005818,
35.3071,µm^3,Spine,9,4,1,100000003,610000005823,
0.735497,µm^3,Spine,10,6,1,100000001,610000005828,
1.1699,µm^3,Spine,8,3,1,100000000,610000005830,
0.261198,µm^3,Spine,1,1,1,100000002,610000005838,
0.939152,µm^3,Spine,7,3,1,100000002,610000005842,
0.287566,µm^3,Spine,2,2,1,100000003,610000005844,
0.2073,µm^3,Spine,1,1,1,100000002,610000005852,
1.92086,µm^3,Spine,0,1,1,100000002,610000005855,
0.183128,µm^3,Spine,10,6,1,100000001,610000005859,
1.7186,µm^3,Spine,2,2,1,100000003,610000005865,
3.45221,µm^3,Spine,0,1,1,100000003,610000005868,
0.149549,µm^3,Spine,10,6,1,100000001,610000005872,
1.07243,µm^3,Spine,10,6,1,100000001,610000005875,
2.60562,µm^3,Spine,5,2,1,100000004,610000005881,
0.629457,µm^3,Spine,6,3,1,100000000,610000005883,
1.64259,µm^3,Spine,1,1,1,100000002,610000005887,
0.0511444,µm^3,Spine,6,3,1,100000000,610000005890,
0.86745,µm^3,Spine,0,1,1,100000003,610000005893,
