
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.2765,1262.51,µm^3,Cumulative Volume Outside,Image 1,1,,
0.8295,3540.69,µm^3,Cumulative Volume Outside,Image 1,1,,
1.3825,7126.57,µm^3,Cumulative Volume Outside,Image 1,1,,
1.9355,12156.3,µm^3,Cumulative Volume Outside,Image 1,1,,
2.4885,18728.7,µm^3,Cumulative Volume Outside,Image 1,1,,
3.0415,26707.4,µm^3,Cumulative Volume Outside,Image 1,1,,
3.5945,36026.1,µm^3,Cumulative Volume Outside,Image 1,1,,
4.1475,46458.4,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7005,57810.2,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2535,69808,µm^3,Cumulative Volume Outside,Image 1,1,,
5.8065,82244.8,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3595,94869.9,µm^3,Cumulative Volume Outside,Image 1,1,,
6.9125,107577,µm^3,Cumulative Volume Outside,Image 1,1,,
7.4655,120176,µm^3,Cumulative Volume Outside,Image 1,1,,
8.0185,132486,µm^3,Cumulative Volume Outside,Image 1,1,,
8.5715,144354,µm^3,Cumulative Volume Outside,Image 1,1,,
9.1245,155788,µm^3,Cumulative Volume Outside,Image 1,1,,
9.6775,166705,µm^3,Cumulative Volume Outside,Image 1,1,,
10.2305,177117,µm^3,Cumulative Volume Outside,Image 1,1,,
10.7835,187117,µm^3,Cumulative Volume Outside,Image 1,1,,
11.3365,196690,µm^3,Cumulative Volume Outside,Image 1,1,,
11.8895,205822,µm^3,Cumulative Volume Outside,Image 1,1,,
12.4425,214558,µm^3,Cumulative Volume Outside,Image 1,1,,
12.9955,222903,µm^3,Cumulative Volume Outside,Image 1,1,,
13.5485,230929,µm^3,Cumulative Volume Outside,Image 1,1,,
14.1015,238615,µm^3,Cumulative Volume Outside,Image 1,1,,
14.6545,245946,µm^3,Cumulative Volume Outside,Image 1,1,,
15.2075,252913,µm^3,Cumulative Volume Outside,Image 1,1,,
15.7605,259582,µm^3,Cumulative Volume Outside,Image 1,1,,
16.3135,265941,µm^3,Cumulative Volume Outside,Image 1,1,,
16.8665,272032,µm^3,Cumulative Volume Outside,Image 1,1,,
17.4195,277830,µm^3,Cumulative Volume Outside,Image 1,1,,
17.9725,283394,µm^3,Cumulative Volume Outside,Image 1,1,,
18.5255,288785,µm^3,Cumulative Volume Outside,Image 1,1,,
19.0785,293986,µm^3,Cumulative Volume Outside,Image 1,1,,
19.6315,299030,µm^3,Cumulative Volume Outside,Image 1,1,,
20.1845,303885,µm^3,Cumulative Volume Outside,Image 1,1,,
20.7375,308581,µm^3,Cumulative Volume Outside,Image 1,1,,
21.2905,313161,µm^3,Cumulative Volume Outside,Image 1,1,,
21.8435,317585,µm^3,Cumulative Volume Outside,Image 1,1,,
22.3965,321888,µm^3,Cumulative Volume Outside,Image 1,1,,
22.9495,326039,µm^3,Cumulative Volume Outside,Image 1,1,,
23.5025,330065,µm^3,Cumulative Volume Outside,Image 1,1,,
24.0555,333991,µm^3,Cumulative Volume Outside,Image 1,1,,
24.6085,337787,µm^3,Cumulative Volume Outside,Image 1,1,,
25.1615,341461,µm^3,Cumulative Volume Outside,Image 1,1,,
25.7145,344988,µm^3,Cumulative Volume Outside,Image 1,1,,
26.2675,348383,µm^3,Cumulative Volume Outside,Image 1,1,,
26.8205,351642,µm^3,Cumulative Volume Outside,Image 1,1,,
27.3735,354716,µm^3,Cumulative Volume Outside,Image 1,1,,
27.9265,357636,µm^3,Cumulative Volume Outside,Image 1,1,,
28.4795,360436,µm^3,Cumulative Volume Outside,Image 1,1,,
29.0325,363109,µm^3,Cumulative Volume Outside,Image 1,1,,
29.5855,365669,µm^3,Cumulative Volume Outside,Image 1,1,,
30.1385,368088,µm^3,Cumulative Volume Outside,Image 1,1,,
30.6915,370362,µm^3,Cumulative Volume Outside,Image 1,1,,
31.2445,372506,µm^3,Cumulative Volume Outside,Image 1,1,,
31.7975,374504,µm^3,Cumulative Volume Outside,Image 1,1,,
32.3505,376363,µm^3,Cumulative Volume Outside,Image 1,1,,
32.9035,378087,µm^3,Cumulative Volume Outside,Image 1,1,,
33.4565,379716,µm^3,Cumulative Volume Outside,Image 1,1,,
34.0095,381228,µm^3,Cumulative Volume Outside,Image 1,1,,
34.5625,382584,µm^3,Cumulative Volume Outside,Image 1,1,,
35.1155,383803,µm^3,Cumulative Volume Outside,Image 1,1,,
35.6685,384867,µm^3,Cumulative Volume Outside,Image 1,1,,
36.2215,385762,µm^3,Cumulative Volume Outside,Image 1,1,,
