
Pt Time Type=Segment Branch
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,5,1,Segment Branch,100000000,800000004,
0,s,Point,4,1,Segment Branch,100000000,800000005,
0,s,Point,3,1,Segment Branch,100000000,800000006,
0,s,Point,2,1,Segment Branch,100000000,800000007,
0,s,Point,1,1,Segment Branch,100000000,800000008,
0,s,Point,0,1,Segment Branch,100000000,800000009,
0,s,Point,7,1,Segment Branch,100000000,800000012,
0,s,Point,6,1,Segment Branch,100000000,800000013,
0,s,Point,5,1,Segment Branch,100000000,800000014,
0,s,Point,3,1,Segment Branch,100000000,800000017,
0,s,Point,2,1,Segment Branch,100000000,800000018,
0,s,Point,1,1,Segment Branch,100000000,800000019,
0,s,Point,0,1,Segment Branch,100000000,800000020,
0,s,Point,1,1,Segment Branch,100000000,800000028,
0,s,Point,0,1,Segment Branch,100000000,800000029,
0,s,Point,2,1,Segment Branch,100000000,800000033,
0,s,Point,1,1,Segment Branch,100000000,800000034,
0,s,Point,0,1,Segment Branch,100000000,800000035,
0,s,Point,4,1,Segment Branch,100000000,800000038,
0,s,Point,3,1,Segment Branch,100000000,800000039,
0,s,Point,2,1,Segment Branch,100000000,800000040,
0,s,Point,4,1,Segment Branch,100000000,800000048,
0,s,Point,3,1,Segment Branch,100000000,800000049,
0,s,Point,2,1,Segment Branch,100000000,800000050,
0,s,Point,5,1,Segment Branch,100000000,800000052,
0,s,Point,0,1,Segment Branch,100000000,800000058,
0,s,Point,0,1,Segment Branch,100000000,800000061,
0,s,Point,1,1,Segment Branch,100000000,800000066,
0,s,Point,11,1,Segment Branch,100000001,800000073,
0,s,Point,10,1,Segment Branch,100000001,800000074,
0,s,Point,9,1,Segment Branch,100000001,800000075,
0,s,Point,8,1,Segment Branch,100000001,800000076,
0,s,Point,7,1,Segment Branch,100000001,800000077,
0,s,Point,6,1,Segment Branch,100000001,800000078,
0,s,Point,5,1,Segment Branch,100000001,800000079,
0,s,Point,4,1,Segment Branch,100000001,800000080,
0,s,Point,3,1,Segment Branch,100000001,800000081,
0,s,Point,2,1,Segment Branch,100000001,800000082,
0,s,Point,1,1,Segment Branch,100000001,800000083,
0,s,Point,0,1,Segment Branch,100000001,800000084,
0,s,Point,2,1,Segment Branch,100000001,800000086,
0,s,Point,1,1,Segment Branch,100000001,800000087,
0,s,Point,0,1,Segment Branch,100000001,800000088,
0,s,Point,3,1,Segment Branch,100000001,800000090,
0,s,Point,2,1,Segment Branch,100000001,800000095,
0,s,Point,1,1,Segment Branch,100000001,800000096,
0,s,Point,0,1,Segment Branch,100000001,800000097,
0,s,Point,1,1,Segment Branch,100000001,800000101,
0,s,Point,0,1,Segment Branch,100000001,800000102,
0,s,Point,13,1,Segment Branch,100000001,800000106,
0,s,Point,12,1,Segment Branch,100000001,800000107,
0,s,Point,11,1,Segment Branch,100000001,800000108,
0,s,Point,12,1,Segment Branch,100000001,800000112,
0,s,Point,5,1,Segment Branch,100000001,800000115,
0,s,Point,4,1,Segment Branch,100000001,800000116,
0,s,Point,3,1,Segment Branch,100000001,800000117,
0,s,Point,2,1,Segment Branch,100000001,800000118,
0,s,Point,6,1,Segment Branch,100000001,800000122,
0,s,Point,5,1,Segment Branch,100000001,800000123,
0,s,Point,4,1,Segment Branch,100000001,800000124,
0,s,Point,3,1,Segment Branch,100000001,800000125,
0,s,Point,4,1,Segment Branch,100000001,800000129,
0,s,Point,3,1,Segment Branch,100000001,800000137,
0,s,Point,2,1,Segment Branch,100000001,800000138,
0,s,Point,1,1,Segment Branch,100000001,800000139,
0,s,Point,0,1,Segment Branch,100000001,800000140,
0,s,Point,4,1,Segment Branch,100000001,800000142,
0,s,Point,3,1,Segment Branch,100000001,800000143,
0,s,Point,5,1,Segment Branch,100000001,800000145,
0,s,Point,2,1,Segment Branch,100000001,800000148,
0,s,Point,6,1,Segment Branch,100000001,800000155,
0,s,Point,9,1,Segment Branch,100000001,800000158,
0,s,Point,3,1,Segment Branch,100000001,800000165,
0,s,Point,2,1,Segment Branch,100000001,800000169,
0,s,Point,1,1,Segment Branch,100000002,800000175,
0,s,Point,0,1,Segment Branch,100000002,800000176,
0,s,Point,0,1,Segment Branch,100000002,800000178,
0,s,Point,3,1,Segment Branch,100000002,800000181,
0,s,Point,2,1,Segment Branch,100000002,800000182,
0,s,Point,0,1,Segment Branch,100000002,800000185,
0,s,Point,3,1,Segment Branch,100000002,800000187,
0,s,Point,1,1,Segment Branch,100000002,800000189,
0,s,Point,1,1,Segment Branch,100000002,800000194,
