
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
22.7407,,Segment,1,6,Image 1,7,1,100000000,510000000023,
23.4983,,Segment,1,5,Image 1,6,1,100000000,510000000083,
28.3426,,Segment,1,4,Image 1,5,1,100000000,510000000100,
38.1083,,Segment,1,3,Image 1,4,1,100000000,510000000174,
35.8482,,Segment,1,2,Image 1,3,1,100000000,510000000214,
53.4923,,Segment,1,1,Image 1,2,1,100000000,510000000236,
9.92626,,Segment,1,0,Image 1,1,1,100000000,510000000239,
28.5179,,Segment,1,6,Image 1,6,1,100000000,510000000262,
14.1549,,Segment,1,8,Image 1,6,1,100000000,510000000274,
38.6244,,Segment,1,7,Image 1,5,1,100000000,510000000314,
37.2715,,Segment,1,6,Image 1,5,1,100000000,510000000317,
33.3133,,Segment,1,5,Image 1,5,1,100000000,510000000324,
27.008,,Segment,1,8,Image 1,5,1,100000000,510000000329,
55.1845,,Segment,1,4,Image 1,2,1,100000000,510000000331,
53.9401,,Segment,1,3,Image 1,2,1,100000000,510000000340,
33.9108,,Segment,1,2,Image 1,2,1,100000000,510000000348,
30.9993,,Segment,1,1,Image 1,2,1,100000000,510000000388,
34.4993,,Segment,1,0,Image 1,1,1,100000000,510000000418,
44.4422,,Segment,1,3,Image 1,3,1,100000000,510000000439,
35.4554,,Segment,1,2,Image 1,3,1,100000000,510000000444,
32.8194,,Segment,1,1,Image 1,1,1,100000000,510000000463,
37.0115,,Segment,1,12,Image 1,4,1,100000001,510000000491,
42.7057,,Segment,1,11,Image 1,3,1,100000001,510000000533,
47.8574,,Segment,1,10,Image 1,3,1,100000001,510000000538,
45.8627,,Segment,1,9,Image 1,3,1,100000001,510000000542,
41.1521,,Segment,1,8,Image 1,3,1,100000001,510000000552,
39.4403,,Segment,1,7,Image 1,3,1,100000001,510000000554,
36.5975,,Segment,1,6,Image 1,3,1,100000001,510000000557,
43.4902,,Segment,1,5,Image 1,3,1,100000001,510000000576,
44.2247,,Segment,1,4,Image 1,3,1,100000001,510000000599,
12.3358,,Segment,1,3,Image 1,3,1,100000001,510000000602,
33.1784,,Segment,1,2,Image 1,2,1,100000001,510000000606,
32.2698,,Segment,1,0,Image 1,1,1,100000001,510000000623,
32.8224,,Segment,1,2,Image 1,2,1,100000002,510000000671,
33.7593,,Segment,1,1,Image 1,1,1,100000002,510000000679,
33.5692,,Segment,1,0,Image 1,1,1,100000002,510000000700,
35.8489,,Segment,1,6,Image 1,6,1,100000000,510000000703,
24.4861,,Segment,1,2,Image 1,2,1,100000000,510000000741,
36.0477,,Segment,1,1,Image 1,1,1,100000000,510000000761,
39.3183,,Segment,1,0,Image 1,1,1,100000000,510000000770,
38.3304,,Segment,1,1,Image 1,2,1,100000002,510000000817,
42.1386,,Segment,1,0,Image 1,1,1,100000002,510000000847,
23.0755,,Segment,1,3,Image 1,3,1,100000001,510000000859,
33.9157,,Segment,1,2,Image 1,2,1,100000001,510000000876,
55.0273,,Segment,1,0,Image 1,1,1,100000001,510000000907,
22.7064,,Segment,1,4,Image 1,2,1,100000001,510000000927,
27.3092,,Segment,1,3,Image 1,2,1,100000001,510000000945,
13.0103,,Segment,1,4,Image 1,3,1,100000001,510000000948,
42.7955,,Segment,1,3,Image 1,2,1,100000000,510000000992,
41.5784,,Segment,1,2,Image 1,2,1,100000000,510000001016,
