
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
245,,Segment,1,6,Image 1,7,1,100000000,510000000023,
202,,Segment,1,5,Image 1,6,1,100000000,510000000083,
267,,Segment,1,4,Image 1,5,1,100000000,510000000100,
545,,Segment,1,3,Image 1,4,1,100000000,510000000174,
444,,Segment,1,2,Image 1,3,1,100000000,510000000214,
159,,Segment,1,1,Image 1,2,1,100000000,510000000236,
7,,Segment,1,0,Image 1,1,1,100000000,510000000239,
95,,Segment,1,6,Image 1,6,1,100000000,510000000262,
223,,Segment,1,8,Image 1,6,1,100000000,510000000274,
972,,Segment,1,7,Image 1,5,1,100000000,510000000314,
147,,Segment,1,6,Image 1,5,1,100000000,510000000317,
184,,Segment,1,5,Image 1,5,1,100000000,510000000324,
194,,Segment,1,8,Image 1,5,1,100000000,510000000329,
35,,Segment,1,4,Image 1,2,1,100000000,510000000331,
113,,Segment,1,3,Image 1,2,1,100000000,510000000340,
216,,Segment,1,2,Image 1,2,1,100000000,510000000348,
314,,Segment,1,1,Image 1,2,1,100000000,510000000388,
1034,,Segment,1,0,Image 1,1,1,100000000,510000000418,
119,,Segment,1,3,Image 1,3,1,100000000,510000000439,
224,,Segment,1,2,Image 1,3,1,100000000,510000000444,
354,,Segment,1,1,Image 1,1,1,100000000,510000000463,
509,,Segment,1,12,Image 1,4,1,100000001,510000000491,
876,,Segment,1,11,Image 1,3,1,100000001,510000000533,
304,,Segment,1,10,Image 1,3,1,100000001,510000000538,
392,,Segment,1,9,Image 1,3,1,100000001,510000000542,
528,,Segment,1,8,Image 1,3,1,100000001,510000000552,
352,,Segment,1,7,Image 1,3,1,100000001,510000000554,
373,,Segment,1,6,Image 1,3,1,100000001,510000000557,
569,,Segment,1,5,Image 1,3,1,100000001,510000000576,
907,,Segment,1,4,Image 1,3,1,100000001,510000000599,
33,,Segment,1,3,Image 1,3,1,100000001,510000000602,
231,,Segment,1,2,Image 1,2,1,100000001,510000000606,
492,,Segment,1,0,Image 1,1,1,100000001,510000000623,
436,,Segment,1,2,Image 1,2,1,100000002,510000000671,
401,,Segment,1,1,Image 1,1,1,100000002,510000000679,
30,,Segment,1,0,Image 1,1,1,100000002,510000000700,
93,,Segment,1,6,Image 1,6,1,100000000,510000000703,
517,,Segment,1,2,Image 1,2,1,100000000,510000000741,
368,,Segment,1,1,Image 1,1,1,100000000,510000000761,
157,,Segment,1,0,Image 1,1,1,100000000,510000000770,
424,,Segment,1,1,Image 1,2,1,100000002,510000000817,
247,,Segment,1,0,Image 1,1,1,100000002,510000000847,
79,,Segment,1,3,Image 1,3,1,100000001,510000000859,
367,,Segment,1,2,Image 1,2,1,100000001,510000000876,
310,,Segment,1,0,Image 1,1,1,100000001,510000000907,
185,,Segment,1,4,Image 1,2,1,100000001,510000000927,
332,,Segment,1,3,Image 1,2,1,100000001,510000000945,
95,,Segment,1,4,Image 1,3,1,100000001,510000000948,
348,,Segment,1,3,Image 1,2,1,100000000,510000000992,
316,,Segment,1,2,Image 1,2,1,100000000,510000001016,
57,,Segment,1,1,Image 1,1,1,100000000,510000001018,
234,,Segment,1,0,Image 1,1,1,100000000,510000001036,
497,,Segment,1,2,Image 1,1,1,100000001,510000001058,
186,,Segment,1,1,Image 1,2,1,100000001,510000001062,
67,,Segment,1,3,Image 1,3,1,100000001,510000001079,
32,,Segment,1,2,Image 1,2,1,100000001,510000001081,
125,,Segment,1,1,Image 1,1,1,100000001,510000001086,
122,,Segment,1,0,Image 1,1,1,100000001,510000001109,
294,,Segment,1,0,Image 1,1,1,100000001,510000001143,
340,,Segment,1,0,Image 1,1,1,100000001,510000001164,
443,,Segment,1,1,Image 1,1,1,100000002,510000001187,
116,,Segment,1,2,Image 1,2,1,100000001,510000001198,
179,,Segment,1,1,Image 1,2,1,100000001,510000001215,
217,,Segment,1,0,Image 1,1,1,100000001,510000001225,
845,,Segment,1,12,Image 1,3,1,100000001,510000001279,
63,,Segment,1,2,Image 1,3,1,100000001,510000001284,
560,,Segment,1,4,Image 1,2,1,100000002,510000001319,
382,,Segment,1,3,Image 1,2,1,100000002,510000001340,
559,,Segment,1,2,Image 1,1,1,100000002,510000001358,
114,,Segment,1,4,Image 1,3,1,100000002,510000001362,
217,,Segment,1,3,Image 1,3,1,100000000,510000001373,
186,,Segment,1,14,Image 1,5,1,100000001,510000001392,
179,,Segment,1,13,Image 1,5,1,100000001,510000001399,
323,,Segment,1,12,Image 1,5,1,100000001,510000001413,
530,,Segment,1,11,Image 1,4,1,100000001,510000001446,
144,,Segment,1,14,Image 1,6,1,100000001,510000001448,
196,,Segment,1,13,Image 1,4,1,100000001,510000001462,
256,,Segment,1,12,Image 1,4,1,100000001,510000001466,
153,,Segment,1,13,Image 1,5,1,100000001,510000001473,
374,,Segment,1,5,Image 1,4,1,100000000,510000001505,
329,,Segment,1,4,Image 1,3,1,100000000,510000001524,
136,,Segment,1,3,Image 1,2,1,100000000,510000001527,
382,,Segment,1,6,Image 1,2,1,100000001,510000001570,
353,,Segment,1,5,Image 1,1,1,100000001,510000001583,
629,,Segment,1,4,Image 1,1,1,100000001,510000001623,
701,,Segment,1,3,Image 1,1,1,100000001,510000001637,
139,,Segment,1,2,Image 1,1,1,100000001,510000001639,
179,,Segment,1,6,Image 1,1,1,100000001,510000001645,
226,,Segment,1,5,Image 1,2,1,100000001,510000001662,
43,,Segment,1,7,Image 1,2,1,100000001,510000001673,
581,,Segment,1,6,Image 1,2,1,100000001,510000001706,
321,,Segment,1,5,Image 1,2,1,100000001,510000001724,
121,,Segment,1,4,Image 1,2,1,100000001,510000001726,
197,,Segment,1,3,Image 1,2,1,100000001,510000001730,
46,,Segment,1,7,Image 1,3,1,100000001,510000001733,
193,,Segment,1,6,Image 1,3,1,100000001,510000001745,
32,,Segment,1,5,Image 1,4,1,100000001,510000001748,
255,,Segment,1,4,Image 1,3,1,100000001,510000001757,
57,,Segment,1,5,Image 1,3,1,100000001,510000001759,
122,,Segment,1,4,Image 1,2,1,100000001,510000001765,
116,,Segment,1,5,Image 1,3,1,100000001,510000001767,
173,,Segment,1,5,Image 1,3,1,100000001,510000001772,
74,,Segment,1,1,Image 1,2,1,100000001,510000001776,
232,,Segment,1,2,Image 1,1,1,100000000,510000001786,
144,,Segment,1,1,Image 1,2,1,100000000,510000001788,
156,,Segment,1,5,Image 1,3,1,100000000,510000001795,
121,,Segment,1,4,Image 1,2,1,100000000,510000001797,
94,,Segment,1,3,Image 1,3,1,100000000,510000001799,
708,,Segment,1,1,Image 1,2,1,100000002,510000001844,
253,,Segment,1,0,Image 1,1,1,100000002,510000001879,
175,,Segment,1,4,Image 1,2,1,100000001,510000001894,
776,,Segment,1,3,Image 1,2,1,100000001,510000001920,
1112,,Segment,1,2,Image 1,1,1,100000001,510000001928,
610,,Segment,1,1,Image 1,1,1,100000001,510000001946,
472,,Segment,1,0,Image 1,1,1,100000001,510000001973,
925,,Segment,1,5,Image 1,2,1,100000000,510000002017,
185,,Segment,1,4,Image 1,1,1,100000000,510000002019,
455,,Segment,1,3,Image 1,1,1,100000000,510000002029,
149,,Segment,1,2,Image 1,1,1,100000000,510000002031,
234,,Segment,1,5,Image 1,1,1,100000000,510000002034,
175,,Segment,1,4,Image 1,2,1,100000000,510000002037,
224,,Segment,1,3,Image 1,2,1,100000000,510000002045,
156,,Segment,1,1,Image 1,2,1,100000000,510000002050,
179,,Segment,1,1,Image 1,1,1,100000000,510000002061,
161,,Segment,1,0,Image 1,1,1,100000000,510000002076,
513,,Segment,1,5,Image 1,2,1,100000001,510000002103,
294,,Segment,1,4,Image 1,1,1,100000001,510000002128,
652,,Segment,1,3,Image 1,1,1,100000001,510000002149,
89,,Segment,1,6,Image 1,2,1,100000001,510000002159,
296,,Segment,1,5,Image 1,1,1,100000001,510000002176,
176,,Segment,1,6,Image 1,1,1,100000001,510000002187,
406,,Segment,1,3,Image 1,2,1,100000001,510000002203,
435,,Segment,1,2,Image 1,2,1,100000001,510000002219,
62,,Segment,1,4,Image 1,3,1,100000001,510000002221,
84,,Segment,1,4,Image 1,2,1,100000001,510000002226,
155,,Segment,1,3,Image 1,3,1,100000001,510000002230,
159,,Segment,1,1,Image 1,2,1,100000001,510000002234,
36,,Segment,1,1,Image 1,2,1,100000000,510000002236,
178,,Segment,1,1,Image 1,1,1,100000001,510000002247,
333,,Segment,1,7,Image 1,5,1,100000001,510000002265,
646,,Segment,1,6,Image 1,4,1,100000001,510000002287,
1084,,Segment,1,7,Image 1,4,1,100000001,510000002343,
237,,Segment,1,10,Image 1,5,1,100000001,510000002363,
292,,Segment,1,9,Image 1,4,1,100000001,510000002371,
309,,Segment,1,10,Image 1,4,1,100000001,510000002380,
688,,Segment,1,8,Image 1,4,1,100000001,510000002388,
378,,Segment,1,7,Image 1,4,1,100000001,510000002396,
818,,Segment,1,5,Image 1,4,1,100000001,510000002419,
653,,Segment,1,4,Image 1,1,1,100000002,510000002447,
154,,Segment,1,1,Image 1,1,1,100000000,510000002470,
98,,Segment,1,0,Image 1,1,1,100000000,510000002480,
223,,Segment,1,2,Image 1,1,1,100000002,510000002501,
199,,Segment,1,1,Image 1,1,1,100000002,510000002509,
120,,Segment,1,2,Image 1,2,1,100000002,510000002518,
11,,Segment,1,0,Image 1,1,1,100000002,510000002530,
96,,Segment,1,0,Image 1,1,1,100000000,510000002543,
69,,Segment,1,1,Image 1,2,1,100000000,510000002545,
512,,Segment,1,4,Image 1,3,1,100000001,510000002581,
346,,Segment,1,3,Image 1,2,1,100000001,510000002586,
332,,Segment,1,4,Image 1,4,1,100000001,510000002615,
216,,Segment,1,4,Image 1,2,1,100000002,510000002619,
539,,Segment,1,1,Image 1,1,1,100000001,510000002649,
321,,Segment,1,2,Image 1,3,1,100000002,510000002658,
345,,Segment,1,1,Image 1,2,1,100000002,510000002663,
196,,Segment,1,3,Image 1,3,1,100000001,510000002668,
170,,Segment,1,2,Image 1,3,1,100000001,510000002675,
66,,Segment,1,3,Image 1,4,1,100000001,510000002678,
