
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.155,2940.18,µm^3,Cumulative Volume Outside,Image 1,1,,
0.465,5658.94,µm^3,Cumulative Volume Outside,Image 1,1,,
0.775,8172.68,µm^3,Cumulative Volume Outside,Image 1,1,,
1.085,10610.8,µm^3,Cumulative Volume Outside,Image 1,1,,
1.395,13018.2,µm^3,Cumulative Volume Outside,Image 1,1,,
1.705,15434,µm^3,Cumulative Volume Outside,Image 1,1,,
2.015,17839.4,µm^3,Cumulative Volume Outside,Image 1,1,,
2.325,20244.1,µm^3,Cumulative Volume Outside,Image 1,1,,
2.635,22639.7,µm^3,Cumulative Volume Outside,Image 1,1,,
2.945,25040,µm^3,Cumulative Volume Outside,Image 1,1,,
3.255,27426,µm^3,Cumulative Volume Outside,Image 1,1,,
3.565,29789.7,µm^3,Cumulative Volume Outside,Image 1,1,,
3.875,32132.5,µm^3,Cumulative Volume Outside,Image 1,1,,
4.185,34461.5,µm^3,Cumulative Volume Outside,Image 1,1,,
4.495,36764.9,µm^3,Cumulative Volume Outside,Image 1,1,,
4.805,39047.2,µm^3,Cumulative Volume Outside,Image 1,1,,
5.115,41320.2,µm^3,Cumulative Volume Outside,Image 1,1,,
5.425,43569.2,µm^3,Cumulative Volume Outside,Image 1,1,,
5.735,45802.9,µm^3,Cumulative Volume Outside,Image 1,1,,
6.045,48018.4,µm^3,Cumulative Volume Outside,Image 1,1,,
6.355,50211.1,µm^3,Cumulative Volume Outside,Image 1,1,,
6.665,52390.7,µm^3,Cumulative Volume Outside,Image 1,1,,
6.975,54560.4,µm^3,Cumulative Volume Outside,Image 1,1,,
7.285,56710.2,µm^3,Cumulative Volume Outside,Image 1,1,,
7.595,58848,µm^3,Cumulative Volume Outside,Image 1,1,,
7.905,60984,µm^3,Cumulative Volume Outside,Image 1,1,,
8.215,63115.5,µm^3,Cumulative Volume Outside,Image 1,1,,
8.525,65226.8,µm^3,Cumulative Volume Outside,Image 1,1,,
8.835,67317.6,µm^3,Cumulative Volume Outside,Image 1,1,,
9.145,69404,µm^3,Cumulative Volume Outside,Image 1,1,,
9.455,71475.1,µm^3,Cumulative Volume Outside,Image 1,1,,
9.765,73527.5,µm^3,Cumulative Volume Outside,Image 1,1,,
10.075,75574.5,µm^3,Cumulative Volume Outside,Image 1,1,,
10.385,77605.9,µm^3,Cumulative Volume Outside,Image 1,1,,
10.695,79619.2,µm^3,Cumulative Volume Outside,Image 1,1,,
11.005,81633,µm^3,Cumulative Volume Outside,Image 1,1,,
11.315,83640.5,µm^3,Cumulative Volume Outside,Image 1,1,,
11.625,85628.5,µm^3,Cumulative Volume Outside,Image 1,1,,
11.935,87619.4,µm^3,Cumulative Volume Outside,Image 1,1,,
12.245,89598.5,µm^3,Cumulative Volume Outside,Image 1,1,,
12.555,91554.2,µm^3,Cumulative Volume Outside,Image 1,1,,
12.865,93512.1,µm^3,Cumulative Volume Outside,Image 1,1,,
13.175,95462.5,µm^3,Cumulative Volume Outside,Image 1,1,,
13.485,97399.7,µm^3,Cumulative Volume Outside,Image 1,1,,
