
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
29.9837,,Segment,1,6,Image 1,5,1,100000000,510000000032,
34.632,,Segment,1,5,Image 1,4,1,100000000,510000000063,
39.8843,,Segment,1,4,Image 1,4,1,100000000,510000000123,
31.8568,,Segment,1,3,Image 1,3,1,100000000,510000000144,
35.0777,,Segment,1,2,Image 1,3,1,100000000,510000000217,
44.7811,,Segment,1,1,Image 1,2,1,100000000,510000000240,
42.8297,,Segment,1,0,Image 1,1,1,100000000,510000000267,
35.4567,,Segment,1,1,Image 1,2,1,100000000,510000000358,
43.45,,Segment,1,0,Image 1,1,1,100000000,510000000389,
33.0986,,Segment,1,6,Image 1,4,1,100000000,510000000424,
26.3849,,Segment,1,5,Image 1,5,1,100000000,510000000448,
41.3398,,Segment,1,4,Image 1,3,1,100000000,510000000585,
35.7201,,Segment,1,3,Image 1,3,1,100000000,510000000599,
49.1457,,Segment,1,2,Image 1,2,1,100000000,510000000640,
48.6933,,Segment,1,1,Image 1,1,1,100000000,510000000654,
20.8205,,Segment,1,4,Image 1,4,1,100000000,510000000659,
37.3137,,Segment,1,3,Image 1,4,1,100000000,510000000677,
31.355,,Segment,1,3,Image 1,4,1,100000001,510000000690,
39.2808,,Segment,1,2,Image 1,3,1,100000001,510000000729,
43.2554,,Segment,1,1,Image 1,2,1,100000001,510000000771,
37.7123,,Segment,1,0,Image 1,1,1,100000001,510000000816,
43.5112,,Segment,1,3,Image 1,3,1,100000001,510000000848,
22.7259,,Segment,1,4,Image 1,3,1,100000000,510000000856,
47.519,,Segment,1,3,Image 1,2,1,100000000,510000000873,
24.7754,,Segment,1,6,Image 1,3,1,100000000,510000000897,
32.3873,,Segment,1,5,Image 1,2,1,100000000,510000000910,
33.2283,,Segment,1,4,Image 1,1,1,100000000,510000000974,
39.7343,,Segment,1,3,Image 1,1,1,100000000,510000001003,
40.3433,,Segment,1,2,Image 1,1,1,100000000,510000001011,
26.4143,,Segment,1,1,Image 1,1,1,100000000,510000001017,
37.9069,,Segment,1,4,Image 1,4,1,100000000,510000001051,
35.7444,,Segment,1,5,Image 1,3,1,100000001,510000001141,
45.8999,,Segment,1,4,Image 1,2,1,100000001,510000001160,
42.5162,,Segment,1,3,Image 1,1,1,100000001,510000001164,
42.7195,,Segment,1,2,Image 1,1,1,100000001,510000001169,
37.6323,,Segment,1,1,Image 1,1,1,100000001,510000001198,
27.5629,,Segment,1,2,Image 1,2,1,100000001,510000001219,
31.6775,,Segment,1,7,Image 1,2,1,100000001,510000001266,
27.4992,,Segment,1,6,Image 1,2,1,100000001,510000001306,
22.4491,,Segment,1,5,Image 1,2,1,100000001,510000001310,
27.3729,,Segment,1,4,Image 1,2,1,100000001,510000001349,
33.9438,,Segment,1,3,Image 1,2,1,100000001,510000001372,
35.0209,,Segment,1,2,Image 1,2,1,100000001,510000001393,
40.5302,,Segment,1,1,Image 1,1,1,100000001,510000001414,
37.578,,Segment,1,0,Image 1,1,1,100000001,510000001430,
39.942,,Segment,1,5,Image 1,2,1,100000000,510000001453,
40.3687,,Segment,1,4,Image 1,2,1,100000000,510000001468,
33.7425,,Segment,1,3,Image 1,2,1,100000000,510000001482,
34.3695,,Segment,1,7,Image 1,2,1,100000000,510000001509,
29.2792,,Segment,1,6,Image 1,2,1,100000000,510000001534,
41.6003,,Segment,1,7,Image 1,3,1,100000000,510000001550,
30.1377,,Segment,1,6,Image 1,2,1,100000000,510000001568,
37.8813,,Segment,1,5,Image 1,1,1,100000000,510000001583,
44.4693,,Segment,1,6,Image 1,1,1,100000000,510000001592,
51.3315,,Segment,1,5,Image 1,2,1,100000001,510000001629,
44.6035,,Segment,1,4,Image 1,1,1,100000001,510000001632,
26.1476,,Segment,1,7,Image 1,3,1,100000001,510000001651,
29.5407,,Segment,1,4,Image 1,3,1,100000001,510000001709,
29.0459,,Segment,1,4,Image 1,3,1,100000000,510000001788,
43.7048,,Segment,1,3,Image 1,2,1,100000000,510000001849,
36.4806,,Segment,1,2,Image 1,2,1,100000000,510000001853,
47.5916,,Segment,1,3,Image 1,3,1,100000001,510000001918,
35.4205,,Segment,1,2,Image 1,2,1,100000001,510000001924,
41.5862,,Segment,1,1,Image 1,2,1,100000001,510000001949,
46.0013,,Segment,1,0,Image 1,1,1,100000001,510000001976,
25.0352,,Segment,1,7,Image 1,4,1,100000001,510000001993,
31.1925,,Segment,1,6,Image 1,3,1,100000001,510000002009,
37.3436,,Segment,1,3,Image 1,1,1,100000000,510000002033,
37.8807,,Segment,1,2,Image 1,3,1,100000001,510000002050,
33.4567,,Segment,1,5,Image 1,3,1,100000000,510000002073,
37.7222,,Segment,1,4,Image 1,2,1,100000000,510000002127,
29.3474,,Segment,1,4,Image 1,2,1,100000000,510000002138,
41.5764,,Segment,1,3,Image 1,2,1,100000000,510000002160,
35.449,,Segment,1,3,Image 1,3,1,100000000,510000002170,
21.6166,,Segment,1,6,Image 1,4,1,100000001,510000002177,
20.8022,,Segment,1,5,Image 1,3,1,100000001,510000002179,
24.7399,,Segment,1,4,Image 1,3,1,100000001,510000002185,
41.2092,,Segment,1,3,Image 1,2,1,100000001,510000002196,
33.657,,Segment,1,4,Image 1,2,1,100000001,510000002234,
25.2687,,Segment,1,6,Image 1,3,1,100000001,510000002241,
19.2891,,Segment,1,5,Image 1,4,1,100000001,510000002243,
46.6035,,Segment,1,5,Image 1,1,1,100000001,510000002311,
38.6515,,Segment,1,6,Image 1,3,1,100000001,510000002327,
29.3025,,Segment,1,5,Image 1,2,1,100000001,510000002344,
37.3401,,Segment,1,6,Image 1,2,1,100000001,510000002354,
23.6937,,Segment,1,5,Image 1,3,1,100000001,510000002361,
28.6237,,Segment,1,2,Image 1,2,1,100000001,510000002370,
38.3635,,Segment,1,4,Image 1,3,1,100000001,510000002392,
39.1805,,Segment,1,3,Image 1,2,1,100000001,510000002419,
40.7703,,Segment,1,2,Image 1,1,1,100000001,510000002454,
37.3526,,Segment,1,1,Image 1,1,1,100000001,510000002467,
28.2014,,Segment,1,0,Image 1,1,1,100000001,510000002483,
42.6992,,Segment,1,4,Image 1,1,1,100000001,510000002507,
40.0091,,Segment,1,3,Image 1,1,1,100000001,510000002515,
39.0307,,Segment,1,4,Image 1,2,1,100000001,510000002523,
24.4946,,Segment,1,4,Image 1,3,1,100000000,510000002527,
25.9147,,Segment,1,3,Image 1,3,1,100000001,510000002538,
38.1103,,Segment,1,4,Image 1,2,1,100000001,510000002547,
27.203,,Segment,1,1,Image 1,2,1,100000001,510000002590,
27.5336,,Segment,1,0,Image 1,1,1,100000001,510000002607,
35.6159,,Segment,1,4,Image 1,2,1,100000001,510000002624,
35.0785,,Segment,1,3,Image 1,2,1,100000001,510000002640,
34.3889,,Segment,1,4,Image 1,3,1,100000001,510000002647,
33.8439,,Segment,1,3,Image 1,2,1,100000001,510000002659,
25.7168,,Segment,1,2,Image 1,2,1,100000001,510000002663,
19.6297,,Segment,1,1,Image 1,1,1,100000001,510000002666,
39.5087,,Segment,1,0,Image 1,1,1,100000000,510000002752,
39.7977,,Segment,1,2,Image 1,2,1,100000001,510000002776,
42.6627,,Segment,1,3,Image 1,4,1,100000001,510000002785,
35.1173,,Segment,1,2,Image 1,3,1,100000001,510000002794,
28.9561,,Segment,1,1,Image 1,2,1,100000001,510000002796,
37.6707,,Segment,1,3,Image 1,3,1,100000001,510000002800,
38.1825,,Segment,1,2,Image 1,2,1,100000000,510000002828,
34.3305,,Segment,1,3,Image 1,3,1,100000001,510000002838,
25.807,,Segment,1,0,Image 1,1,1,100000001,510000002860,
35.8529,,Segment,1,1,Image 1,2,1,100000001,510000002863,
37.5872,,Segment,1,1,Image 1,2,1,100000001,510000002868,
42.7973,,Segment,1,1,Image 1,1,1,100000001,510000002875,
32.5962,,Segment,1,0,Image 1,1,1,100000001,510000002880,
20.9194,,Segment,1,0,Image 1,1,1,100000001,510000002906,
44.3521,,Segment,1,0,Image 1,1,1,100000000,510000002923,
20.506,,Segment,1,0,Image 1,1,1,100000001,510000002935,
28.1554,,Segment,1,0,Image 1,1,1,100000000,510000002953,
26.9416,,Segment,1,4,Image 1,5,1,100000000,510000002954,
54.6208,,Segment,1,2,Image 1,1,1,100000000,510000002955,
27.736,,Segment,1,7,Image 1,3,1,100000001,510000002958,
39.5017,,Segment,1,2,Image 1,1,1,100000001,510000002959,
28.4628,,Segment,1,2,Image 1,2,1,100000001,510000002960,
22.3102,,Segment,1,2,Image 1,1,1,100000001,510000002961,
