
Spine Center Intensity Max Ch=4 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
95,,Spine,4,2,Image 1,3,1,100000000,610000003139,
95,,Spine,4,2,Image 1,3,1,100000000,610000003164,
105,,Spine,4,1,Image 1,2,1,100000001,610000003186,
105,,Spine,4,1,Image 1,2,1,100000001,610000003207,
105,,Spine,4,1,Image 1,2,1,100000001,610000003228,
101,,Spine,4,6,Image 1,3,1,100000001,610000003258,
93,,Spine,4,6,Image 1,3,1,100000001,610000003282,
101,,Spine,4,6,Image 1,3,1,100000001,610000003305,
93,,Spine,4,6,Image 1,3,1,100000001,610000003326,
130,,Spine,4,0,Image 1,1,1,100000001,610000003337,
149,,Spine,4,0,Image 1,1,1,100000000,610000003348,
82,,Spine,4,0,Image 1,1,1,100000001,610000003355,
105,,Spine,4,0,Image 1,1,1,100000001,610000003365,
67,,Spine,4,4,Image 1,3,1,100000000,610000003372,
139,,Spine,4,0,Image 1,1,1,100000000,610000003384,
160,,Spine,4,0,Image 1,1,1,100000000,610000003397,
88,,Spine,4,3,Image 1,4,1,100000001,610000003404,
98,,Spine,4,0,Image 1,1,1,100000001,610000003410,
179,,Spine,4,0,Image 1,1,1,100000000,610000003420,
133,,Spine,4,0,Image 1,1,1,100000000,610000003430,
163,,Spine,4,0,Image 1,1,1,100000000,610000003440,
90,,Spine,4,6,Image 1,3,1,100000001,610000003444,
160,,Spine,4,0,Image 1,1,1,100000000,610000003454,
179,,Spine,4,0,Image 1,1,1,100000000,610000003464,
191,,Spine,4,0,Image 1,1,1,100000000,610000003475,
191,,Spine,4,0,Image 1,1,1,100000000,610000003486,
161,,Spine,4,0,Image 1,1,1,100000000,610000003495,
112,,Spine,4,0,Image 1,1,1,100000000,610000003500,
105,,Spine,4,0,Image 1,1,1,100000001,610000003507,
182,,Spine,4,0,Image 1,1,1,100000000,610000003517,
172,,Spine,4,0,Image 1,1,1,100000000,610000003525,
179,,Spine,4,0,Image 1,1,1,100000000,610000003536,
112,,Spine,4,2,Image 1,1,1,100000000,610000003539,
176,,Spine,4,0,Image 1,1,1,100000000,610000003546,
179,,Spine,4,0,Image 1,1,1,100000000,610000003555,
48,,Spine,4,4,Image 1,3,1,100000000,610000003557,
191,,Spine,4,0,Image 1,1,1,100000000,610000003567,
64,,Spine,4,1,Image 1,2,1,100000000,610000003569,
75,,Spine,4,4,Image 1,3,1,100000000,610000003571,
99,,Spine,4,1,Image 1,1,1,100000001,610000003575,
175,,Spine,4,0,Image 1,1,1,100000000,610000003585,
170,,Spine,4,1,Image 1,1,1,100000000,610000003589,
174,,Spine,4,0,Image 1,1,1,100000000,610000003597,
134,,Spine,4,0,Image 1,1,1,100000000,610000003602,
175,,Spine,4,1,Image 1,1,1,100000000,610000003608,
100,,Spine,4,2,Image 1,1,1,100000000,610000003611,
181,,Spine,4,7,Image 1,3,1,100000000,610000003619,
179,,Spine,4,0,Image 1,1,1,100000000,610000003627,
105,,Spine,4,0,Image 1,1,1,100000001,610000003633,
65,,Spine,4,6,Image 1,5,1,100000000,610000003635,
172,,Spine,4,0,Image 1,1,1,100000000,610000003642,
114,,Spine,4,6,Image 1,3,1,100000001,610000003645,
155,,Spine,4,0,Image 1,1,1,100000000,610000003651,
139,,Spine,4,0,Image 1,1,1,100000000,610000003657,
103,,Spine,4,5,Image 1,2,1,100000000,610000003660,
114,,Spine,4,3,Image 1,3,1,100000001,610000003664,
154,,Spine,4,0,Image 1,1,1,100000000,610000003671,
162,,Spine,4,2,Image 1,2,1,100000000,610000003675,
149,,Spine,4,0,Image 1,1,1,100000000,610000003680,
132,,Spine,4,2,Image 1,2,1,100000000,610000003683,
179,,Spine,4,0,Image 1,1,1,100000000,610000003691,
147,,Spine,4,0,Image 1,1,1,100000001,610000003697,
191,,Spine,4,0,Image 1,1,1,100000000,610000003704,
174,,Spine,4,1,Image 1,2,1,100000000,610000003708,
