
Spine Center Intensity Mean Ch=2 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10.2143,,Spine,2,2,Image 1,3,1,100000000,610000003139,
10.9615,,Spine,2,2,Image 1,3,1,100000000,610000003164,
0.304348,,Spine,2,1,Image 1,2,1,100000001,610000003186,
0.227273,,Spine,2,1,Image 1,2,1,100000001,610000003207,
0.227273,,Spine,2,1,Image 1,2,1,100000001,610000003228,
1,,Spine,2,6,Image 1,3,1,100000001,610000003258,
0.36,,Spine,2,6,Image 1,3,1,100000001,610000003282,
0.208333,,Spine,2,6,Image 1,3,1,100000001,610000003305,
0.318182,,Spine,2,6,Image 1,3,1,100000001,610000003326,
0.454545,,Spine,2,0,Image 1,1,1,100000001,610000003337,
0.363636,,Spine,2,0,Image 1,1,1,100000000,610000003348,
0.428571,,Spine,2,0,Image 1,1,1,100000001,610000003355,
1.27273,,Spine,2,0,Image 1,1,1,100000001,610000003365,
0.25,,Spine,2,4,Image 1,3,1,100000000,610000003372,
0,,Spine,2,0,Image 1,1,1,100000000,610000003384,
0.142857,,Spine,2,0,Image 1,1,1,100000000,610000003397,
0.25,,Spine,2,3,Image 1,4,1,100000001,610000003404,
0.333333,,Spine,2,0,Image 1,1,1,100000001,610000003410,
0.363636,,Spine,2,0,Image 1,1,1,100000000,610000003420,
0.6,,Spine,2,0,Image 1,1,1,100000000,610000003430,
0,,Spine,2,0,Image 1,1,1,100000000,610000003440,
0.2,,Spine,2,6,Image 1,3,1,100000001,610000003444,
0.181818,,Spine,2,0,Image 1,1,1,100000000,610000003454,
0.363636,,Spine,2,0,Image 1,1,1,100000000,610000003464,
0.0909091,,Spine,2,0,Image 1,1,1,100000000,610000003475,
0.363636,,Spine,2,0,Image 1,1,1,100000000,610000003486,
0.2,,Spine,2,0,Image 1,1,1,100000000,610000003495,
0,,Spine,2,0,Image 1,1,1,100000000,610000003500,
1.625,,Spine,2,0,Image 1,1,1,100000001,610000003507,
0.1,,Spine,2,0,Image 1,1,1,100000000,610000003517,
0.25,,Spine,2,0,Image 1,1,1,100000000,610000003525,
0.272727,,Spine,2,0,Image 1,1,1,100000000,610000003536,
0.25,,Spine,2,2,Image 1,1,1,100000000,610000003539,
0.375,,Spine,2,0,Image 1,1,1,100000000,610000003546,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003555,
0.333333,,Spine,2,4,Image 1,3,1,100000000,610000003557,
0.1,,Spine,2,0,Image 1,1,1,100000000,610000003567,
0.333333,,Spine,2,1,Image 1,2,1,100000000,610000003569,
0.666667,,Spine,2,4,Image 1,3,1,100000000,610000003571,
0.6,,Spine,2,1,Image 1,1,1,100000001,610000003575,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003585,
0,,Spine,2,1,Image 1,1,1,100000000,610000003589,
0.25,,Spine,2,0,Image 1,1,1,100000000,610000003597,
0.166667,,Spine,2,0,Image 1,1,1,100000000,610000003602,
0.571429,,Spine,2,1,Image 1,1,1,100000000,610000003608,
0,,Spine,2,2,Image 1,1,1,100000000,610000003611,
0.444444,,Spine,2,7,Image 1,3,1,100000000,610000003619,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003627,
2.14286,,Spine,2,0,Image 1,1,1,100000001,610000003633,
0.333333,,Spine,2,6,Image 1,5,1,100000000,610000003635,
0.428571,,Spine,2,0,Image 1,1,1,100000000,610000003642,
0.25,,Spine,2,6,Image 1,3,1,100000001,610000003645,
0.666667,,Spine,2,0,Image 1,1,1,100000000,610000003651,
0.142857,,Spine,2,0,Image 1,1,1,100000000,610000003657,
0.25,,Spine,2,5,Image 1,2,1,100000000,610000003660,
0.4,,Spine,2,3,Image 1,3,1,100000001,610000003664,
0.125,,Spine,2,0,Image 1,1,1,100000000,610000003671,
0.8,,Spine,2,2,Image 1,2,1,100000000,610000003675,
0.4,,Spine,2,0,Image 1,1,1,100000000,610000003680,
0.5,,Spine,2,2,Image 1,2,1,100000000,610000003683,
0.375,,Spine,2,0,Image 1,1,1,100000000,610000003691,
0.5,,Spine,2,0,Image 1,1,1,100000001,610000003697,
0.285714,,Spine,2,0,Image 1,1,1,100000000,610000003704,
0.4,,Spine,2,1,Image 1,2,1,100000000,610000003708,
0.5,,Spine,2,3,Image 1,2,1,100000000,610000003711,
0,,Spine,2,2,Image 1,1,1,100000000,610000003713,
0,,Spine,2,1,Image 1,1,1,100000001,610000003715,
1,,Spine,2,7,Image 1,3,1,100000001,610000003718,
0.75,,Spine,2,6,Image 1,3,1,100000001,610000003721,
3,,Spine,2,6,Image 1,2,1,100000001,610000003723,
1,,Spine,2,3,Image 1,2,1,100000001,610000003726,
0.428571,,Spine,2,0,Image 1,1,1,100000000,610000003732,
0.25,,Spine,2,4,Image 1,1,1,100000000,610000003735,
0,,Spine,2,3,Image 1,4,1,100000001,610000003737,
0.25,,Spine,2,1,Image 1,1,1,100000001,610000003740,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003746,
0.2,,Spine,2,0,Image 1,1,1,100000000,610000003751,
0.333333,,Spine,2,3,Image 1,2,1,100000000,610000003753,
0.5,,Spine,2,1,Image 1,2,1,100000000,610000003756,
0,,Spine,2,0,Image 1,1,1,100000000,610000003762,
1.33333,,Spine,2,2,Image 1,2,1,100000001,610000003764,
0,,Spine,2,0,Image 1,1,1,100000000,610000003768,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003773,
1.5,,Spine,2,0,Image 1,1,1,100000001,610000003776,
0.666667,,Spine,2,0,Image 1,1,1,100000001,610000003778,
0.25,,Spine,2,0,Image 1,1,1,100000000,610000003782,
0.5,,Spine,2,2,Image 1,2,1,100000001,610000003785,
0.333333,,Spine,2,3,Image 1,3,1,100000001,610000003789,
0,,Spine,2,0,Image 1,1,1,100000001,610000003791,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003797,
0,,Spine,2,0,Image 1,1,1,100000000,610000003804,
0.333333,,Spine,2,3,Image 1,2,1,100000000,610000003807,
0,,Spine,2,0,Image 1,1,1,100000001,610000003809,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003811,
0.4,,Spine,2,0,Image 1,1,1,100000000,610000003816,
0.333333,,Spine,2,3,Image 1,2,1,100000001,610000003818,
0,,Spine,2,0,Image 1,1,1,100000000,610000003822,
0,,Spine,2,0,Image 1,1,1,100000000,610000003825,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003828,
0.5,,Spine,2,0,Image 1,1,1,100000001,610000003832,
0.333333,,Spine,2,2,Image 1,3,1,100000001,610000003834,
1.25,,Spine,2,0,Image 1,1,1,100000001,610000003838,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003841,
0.333333,,Spine,2,2,Image 1,1,1,100000000,610000003844,
0,,Spine,2,0,Image 1,1,1,100000001,610000003848,
0.666667,,Spine,2,0,Image 1,1,1,100000001,610000003852,
0,,Spine,2,0,Image 1,1,1,100000000,610000003854,
0.666667,,Spine,2,2,Image 1,3,1,100000000,610000003856,
0.333333,,Spine,2,0,Image 1,1,1,100000000,610000003860,
0.333333,,Spine,2,5,Image 1,2,1,100000001,610000003862,
0.25,,Spine,2,0,Image 1,1,1,100000000,610000003866,
0.5,,Spine,2,3,Image 1,2,1,100000001,610000003869,
0,,Spine,2,0,Image 1,1,1,100000000,610000003873,
0,,Spine,2,1,Image 1,2,1,100000001,610000003876,
0,,Spine,2,0,Image 1,1,1,100000000,610000003879,
0.333333,,Spine,2,0,Image 1,1,1,100000001,610000003883,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003886,
1,,Spine,2,4,Image 1,1,1,100000000,610000003888,
0.333333,,Spine,2,6,Image 1,3,1,100000001,610000003890,
0,,Spine,2,0,Image 1,1,1,100000000,610000003894,
1,,Spine,2,4,Image 1,2,1,100000001,610000003898,
0,,Spine,2,0,Image 1,1,1,100000000,610000003900,
1,,Spine,2,0,Image 1,1,1,100000000,610000003903,
0,,Spine,2,0,Image 1,1,1,100000000,610000003909,
0.333333,,Spine,2,0,Image 1,1,1,100000001,610000003912,
0.333333,,Spine,2,4,Image 1,2,1,100000000,610000003914,
0.666667,,Spine,2,4,Image 1,3,1,100000000,610000003919,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003922,
1.5,,Spine,2,2,Image 1,2,1,100000001,610000003928,
0.666667,,Spine,2,2,Image 1,1,1,100000000,610000003930,
0.666667,,Spine,2,4,Image 1,2,1,100000000,610000003932,
0,,Spine,2,3,Image 1,2,1,100000000,610000003934,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003936,
0,,Spine,2,3,Image 1,3,1,100000001,610000003938,
0.333333,,Spine,2,3,Image 1,3,1,100000001,610000003940,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000003942,
0.333333,,Spine,2,1,Image 1,1,1,100000001,610000003944,
0,,Spine,2,0,Image 1,1,1,100000000,610000003953,
1.33333,,Spine,2,1,Image 1,2,1,100000001,610000003956,
0,,Spine,2,0,Image 1,1,1,100000000,610000003965,
0,,Spine,2,0,Image 1,1,1,100000000,610000003967,
0,,Spine,2,0,Image 1,1,1,100000000,610000003978,
0,,Spine,2,2,Image 1,2,1,100000000,610000003985,
0.5,,Spine,2,6,Image 1,5,1,100000000,610000003988,
1,,Spine,2,6,Image 1,5,1,100000000,610000003989,
0.5,,Spine,2,3,Image 1,3,1,100000000,610000003990,
1.5,,Spine,2,2,Image 1,3,1,100000000,610000003991,
1,,Spine,2,2,Image 1,3,1,100000000,610000003992,
0,,Spine,2,2,Image 1,3,1,100000000,610000003993,
0.5,,Spine,2,2,Image 1,3,1,100000000,610000003994,
2,,Spine,2,2,Image 1,2,1,100000000,610000003995,
0.5,,Spine,2,1,Image 1,2,1,100000000,610000003996,
0,,Spine,2,5,Image 1,2,1,100000000,610000003997,
0.5,,Spine,2,5,Image 1,2,1,100000000,610000003998,
0.5,,Spine,2,5,Image 1,2,1,100000000,610000003999,
0,,Spine,2,4,Image 1,2,1,100000000,610000004000,
0.5,,Spine,2,2,Image 1,2,1,100000000,610000004001,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000004003,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000004004,
87,,Spine,2,6,Image 1,3,1,100000000,610000004005,
1.5,,Spine,2,4,Image 1,1,1,100000000,610000004006,
0.5,,Spine,2,4,Image 1,2,1,100000000,610000004007,
0,,Spine,2,3,Image 1,2,1,100000000,610000004008,
1,,Spine,2,2,Image 1,1,1,100000000,610000004009,
0.5,,Spine,2,4,Image 1,3,1,100000000,610000004010,
0,,Spine,2,3,Image 1,2,1,100000000,610000004011,
0.5,,Spine,2,3,Image 1,2,1,100000000,610000004012,
1,,Spine,2,3,Image 1,2,1,100000000,610000004013,
0.5,,Spine,2,3,Image 1,2,1,100000000,610000004014,
0,,Spine,2,0,Image 1,1,1,100000000,610000004019,
0,,Spine,2,3,Image 1,4,1,100000001,610000004020,
0,,Spine,2,2,Image 1,2,1,100000001,610000004021,
0.5,,Spine,2,1,Image 1,2,1,100000001,610000004022,
1,,Spine,2,5,Image 1,3,1,100000001,610000004023,
0,,Spine,2,5,Image 1,2,1,100000001,610000004024,
0,,Spine,2,6,Image 1,4,1,100000001,610000004025,
0.5,,Spine,2,6,Image 1,3,1,100000001,610000004026,
0.5,,Spine,2,6,Image 1,3,1,100000001,610000004027,
0,,Spine,2,1,Image 1,1,1,100000001,610000004028,
0.5,,Spine,2,0,Image 1,1,1,100000001,610000004029,
0.5,,Spine,2,0,Image 1,1,1,100000001,610000004030,
0.5,,Spine,2,4,Image 1,2,1,100000001,610000004031,
0,,Spine,2,1,Image 1,2,1,100000001,610000004032,
0,,Spine,2,0,Image 1,1,1,100000001,610000004033,
0.5,,Spine,2,7,Image 1,3,1,100000001,610000004034,
1.5,,Spine,2,7,Image 1,3,1,100000001,610000004035,
0,,Spine,2,7,Image 1,3,1,100000001,610000004036,
0.5,,Spine,2,4,Image 1,2,1,100000001,610000004037,
0,,Spine,2,4,Image 1,2,1,100000001,610000004038,
0.5,,Spine,2,4,Image 1,3,1,100000001,610000004039,
0.5,,Spine,2,1,Image 1,1,1,100000001,610000004040,
0.5,,Spine,2,1,Image 1,1,1,100000001,610000004041,
0.5,,Spine,2,1,Image 1,1,1,100000001,610000004042,
0,,Spine,2,4,Image 1,2,1,100000001,610000004043,
1,,Spine,2,3,Image 1,2,1,100000001,610000004044,
0,,Spine,2,2,Image 1,3,1,100000001,610000004045,
0,,Spine,2,1,Image 1,2,1,100000001,610000004046,
0.5,,Spine,2,3,Image 1,2,1,100000001,610000004047,
0.5,,Spine,2,3,Image 1,2,1,100000001,610000004048,
0,,Spine,2,1,Image 1,1,1,100000001,610000004049,
