
Spine Center Intensity Min Ch=5 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,5,2,Image 1,3,1,100000000,610000003139,
0,,Spine,5,2,Image 1,3,1,100000000,610000003164,
0,,Spine,5,1,Image 1,2,1,100000001,610000003186,
0,,Spine,5,1,Image 1,2,1,100000001,610000003207,
0,,Spine,5,1,Image 1,2,1,100000001,610000003228,
0,,Spine,5,6,Image 1,3,1,100000001,610000003258,
0,,Spine,5,6,Image 1,3,1,100000001,610000003282,
0,,Spine,5,6,Image 1,3,1,100000001,610000003305,
0,,Spine,5,6,Image 1,3,1,100000001,610000003326,
0,,Spine,5,0,Image 1,1,1,100000001,610000003337,
0,,Spine,5,0,Image 1,1,1,100000000,610000003348,
0,,Spine,5,0,Image 1,1,1,100000001,610000003355,
0,,Spine,5,0,Image 1,1,1,100000001,610000003365,
0,,Spine,5,4,Image 1,3,1,100000000,610000003372,
0,,Spine,5,0,Image 1,1,1,100000000,610000003384,
0,,Spine,5,0,Image 1,1,1,100000000,610000003397,
0,,Spine,5,3,Image 1,4,1,100000001,610000003404,
0,,Spine,5,0,Image 1,1,1,100000001,610000003410,
0,,Spine,5,0,Image 1,1,1,100000000,610000003420,
0,,Spine,5,0,Image 1,1,1,100000000,610000003430,
0,,Spine,5,0,Image 1,1,1,100000000,610000003440,
0,,Spine,5,6,Image 1,3,1,100000001,610000003444,
0,,Spine,5,0,Image 1,1,1,100000000,610000003454,
0,,Spine,5,0,Image 1,1,1,100000000,610000003464,
0,,Spine,5,0,Image 1,1,1,100000000,610000003475,
0,,Spine,5,0,Image 1,1,1,100000000,610000003486,
0,,Spine,5,0,Image 1,1,1,100000000,610000003495,
0,,Spine,5,0,Image 1,1,1,100000000,610000003500,
0,,Spine,5,0,Image 1,1,1,100000001,610000003507,
0,,Spine,5,0,Image 1,1,1,100000000,610000003517,
0,,Spine,5,0,Image 1,1,1,100000000,610000003525,
0,,Spine,5,0,Image 1,1,1,100000000,610000003536,
0,,Spine,5,2,Image 1,1,1,100000000,610000003539,
0,,Spine,5,0,Image 1,1,1,100000000,610000003546,
0,,Spine,5,0,Image 1,1,1,100000000,610000003555,
0,,Spine,5,4,Image 1,3,1,100000000,610000003557,
0,,Spine,5,0,Image 1,1,1,100000000,610000003567,
0,,Spine,5,1,Image 1,2,1,100000000,610000003569,
0,,Spine,5,4,Image 1,3,1,100000000,610000003571,
0,,Spine,5,1,Image 1,1,1,100000001,610000003575,
0,,Spine,5,0,Image 1,1,1,100000000,610000003585,
0,,Spine,5,1,Image 1,1,1,100000000,610000003589,
0,,Spine,5,0,Image 1,1,1,100000000,610000003597,
0,,Spine,5,0,Image 1,1,1,100000000,610000003602,
0,,Spine,5,1,Image 1,1,1,100000000,610000003608,
0,,Spine,5,2,Image 1,1,1,100000000,610000003611,
0,,Spine,5,7,Image 1,3,1,100000000,610000003619,
0,,Spine,5,0,Image 1,1,1,100000000,610000003627,
0,,Spine,5,0,Image 1,1,1,100000001,610000003633,
0,,Spine,5,6,Image 1,5,1,100000000,610000003635,
0,,Spine,5,0,Image 1,1,1,100000000,610000003642,
0,,Spine,5,6,Image 1,3,1,100000001,610000003645,
0,,Spine,5,0,Image 1,1,1,100000000,610000003651,
0,,Spine,5,0,Image 1,1,1,100000000,610000003657,
0,,Spine,5,5,Image 1,2,1,100000000,610000003660,
0,,Spine,5,3,Image 1,3,1,100000001,610000003664,
0,,Spine,5,0,Image 1,1,1,100000000,610000003671,
0,,Spine,5,2,Image 1,2,1,100000000,610000003675,
0,,Spine,5,0,Image 1,1,1,100000000,610000003680,
0,,Spine,5,2,Image 1,2,1,100000000,610000003683,
0,,Spine,5,0,Image 1,1,1,100000000,610000003691,
0,,Spine,5,0,Image 1,1,1,100000001,610000003697,
0,,Spine,5,0,Image 1,1,1,100000000,610000003704,
