
Spine Center Number of Voxel Ch=5 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
28,,Spine,5,2,Image 1,3,1,100000000,610000003139,
26,,Spine,5,2,Image 1,3,1,100000000,610000003164,
23,,Spine,5,1,Image 1,2,1,100000001,610000003186,
22,,Spine,5,1,Image 1,2,1,100000001,610000003207,
22,,Spine,5,1,Image 1,2,1,100000001,610000003228,
31,,Spine,5,6,Image 1,3,1,100000001,610000003258,
25,,Spine,5,6,Image 1,3,1,100000001,610000003282,
24,,Spine,5,6,Image 1,3,1,100000001,610000003305,
22,,Spine,5,6,Image 1,3,1,100000001,610000003326,
11,,Spine,5,0,Image 1,1,1,100000001,610000003337,
11,,Spine,5,0,Image 1,1,1,100000000,610000003348,
7,,Spine,5,0,Image 1,1,1,100000001,610000003355,
11,,Spine,5,0,Image 1,1,1,100000001,610000003365,
8,,Spine,5,4,Image 1,3,1,100000000,610000003372,
13,,Spine,5,0,Image 1,1,1,100000000,610000003384,
14,,Spine,5,0,Image 1,1,1,100000000,610000003397,
8,,Spine,5,3,Image 1,4,1,100000001,610000003404,
6,,Spine,5,0,Image 1,1,1,100000001,610000003410,
11,,Spine,5,0,Image 1,1,1,100000000,610000003420,
10,,Spine,5,0,Image 1,1,1,100000000,610000003430,
11,,Spine,5,0,Image 1,1,1,100000000,610000003440,
5,,Spine,5,6,Image 1,3,1,100000001,610000003444,
11,,Spine,5,0,Image 1,1,1,100000000,610000003454,
11,,Spine,5,0,Image 1,1,1,100000000,610000003464,
11,,Spine,5,0,Image 1,1,1,100000000,610000003475,
11,,Spine,5,0,Image 1,1,1,100000000,610000003486,
10,,Spine,5,0,Image 1,1,1,100000000,610000003495,
5,,Spine,5,0,Image 1,1,1,100000000,610000003500,
8,,Spine,5,0,Image 1,1,1,100000001,610000003507,
10,,Spine,5,0,Image 1,1,1,100000000,610000003517,
8,,Spine,5,0,Image 1,1,1,100000000,610000003525,
11,,Spine,5,0,Image 1,1,1,100000000,610000003536,
4,,Spine,5,2,Image 1,1,1,100000000,610000003539,
8,,Spine,5,0,Image 1,1,1,100000000,610000003546,
10,,Spine,5,0,Image 1,1,1,100000000,610000003555,
3,,Spine,5,4,Image 1,3,1,100000000,610000003557,
10,,Spine,5,0,Image 1,1,1,100000000,610000003567,
3,,Spine,5,1,Image 1,2,1,100000000,610000003569,
3,,Spine,5,4,Image 1,3,1,100000000,610000003571,
5,,Spine,5,1,Image 1,1,1,100000001,610000003575,
10,,Spine,5,0,Image 1,1,1,100000000,610000003585,
5,,Spine,5,1,Image 1,1,1,100000000,610000003589,
8,,Spine,5,0,Image 1,1,1,100000000,610000003597,
6,,Spine,5,0,Image 1,1,1,100000000,610000003602,
7,,Spine,5,1,Image 1,1,1,100000000,610000003608,
4,,Spine,5,2,Image 1,1,1,100000000,610000003611,
9,,Spine,5,7,Image 1,3,1,100000000,610000003619,
9,,Spine,5,0,Image 1,1,1,100000000,610000003627,
7,,Spine,5,0,Image 1,1,1,100000001,610000003633,
3,,Spine,5,6,Image 1,5,1,100000000,610000003635,
7,,Spine,5,0,Image 1,1,1,100000000,610000003642,
4,,Spine,5,6,Image 1,3,1,100000001,610000003645,
6,,Spine,5,0,Image 1,1,1,100000000,610000003651,
7,,Spine,5,0,Image 1,1,1,100000000,610000003657,
