
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
52.9296,,Spine,1,2,Image 1,3,1,100000000,610000003139,
53.1159,,Spine,1,2,Image 1,3,1,100000000,610000003164,
39.0454,,Spine,1,1,Image 1,2,1,100000001,610000003186,
39.506,,Spine,1,1,Image 1,2,1,100000001,610000003207,
37.9339,,Spine,1,1,Image 1,2,1,100000001,610000003228,
39.4559,,Spine,1,6,Image 1,3,1,100000001,610000003258,
43.8934,,Spine,1,6,Image 1,3,1,100000001,610000003282,
43.8955,,Spine,1,6,Image 1,3,1,100000001,610000003305,
45.0092,,Spine,1,6,Image 1,3,1,100000001,610000003326,
88.4661,,Spine,1,0,Image 1,1,1,100000001,610000003337,
70.5033,,Spine,1,0,Image 1,1,1,100000000,610000003348,
53.0218,,Spine,1,0,Image 1,1,1,100000001,610000003355,
75.7717,,Spine,1,0,Image 1,1,1,100000001,610000003365,
41.7368,,Spine,1,4,Image 1,3,1,100000000,610000003372,
89.92,,Spine,1,0,Image 1,1,1,100000000,610000003384,
102.278,,Spine,1,0,Image 1,1,1,100000000,610000003397,
57.0982,,Spine,1,3,Image 1,4,1,100000001,610000003404,
60.2019,,Spine,1,0,Image 1,1,1,100000001,610000003410,
124.313,,Spine,1,0,Image 1,1,1,100000000,610000003420,
116.805,,Spine,1,0,Image 1,1,1,100000000,610000003430,
111.118,,Spine,1,0,Image 1,1,1,100000000,610000003440,
52.3934,,Spine,1,6,Image 1,3,1,100000001,610000003444,
111.251,,Spine,1,0,Image 1,1,1,100000000,610000003454,
125.285,,Spine,1,0,Image 1,1,1,100000000,610000003464,
134.661,,Spine,1,0,Image 1,1,1,100000000,610000003475,
131.083,,Spine,1,0,Image 1,1,1,100000000,610000003486,
109.12,,Spine,1,0,Image 1,1,1,100000000,610000003495,
88.3678,,Spine,1,0,Image 1,1,1,100000000,610000003500,
79.5586,,Spine,1,0,Image 1,1,1,100000001,610000003507,
141.371,,Spine,1,0,Image 1,1,1,100000000,610000003517,
126.172,,Spine,1,0,Image 1,1,1,100000000,610000003525,
143.493,,Spine,1,0,Image 1,1,1,100000000,610000003536,
57.1277,,Spine,1,2,Image 1,1,1,100000000,610000003539,
100.27,,Spine,1,0,Image 1,1,1,100000000,610000003546,
125.855,,Spine,1,0,Image 1,1,1,100000000,610000003555,
36.8919,,Spine,1,4,Image 1,3,1,100000000,610000003557,
136.079,,Spine,1,0,Image 1,1,1,100000000,610000003567,
44.8816,,Spine,1,1,Image 1,2,1,100000000,610000003569,
45.358,,Spine,1,4,Image 1,3,1,100000000,610000003571,
46.0522,,Spine,1,1,Image 1,1,1,100000001,610000003575,
141.857,,Spine,1,0,Image 1,1,1,100000000,610000003585,
79.8968,,Spine,1,1,Image 1,1,1,100000000,610000003589,
116.071,,Spine,1,0,Image 1,1,1,100000000,610000003597,
106.333,,Spine,1,0,Image 1,1,1,100000000,610000003602,
79.5194,,Spine,1,1,Image 1,1,1,100000000,610000003608,
54.8841,,Spine,1,2,Image 1,1,1,100000000,610000003611,
82.7754,,Spine,1,7,Image 1,3,1,100000000,610000003619,
124.634,,Spine,1,0,Image 1,1,1,100000000,610000003627,
80.67,,Spine,1,0,Image 1,1,1,100000001,610000003633,
48.4776,,Spine,1,6,Image 1,5,1,100000000,610000003635,
134.779,,Spine,1,0,Image 1,1,1,100000000,610000003642,
49.9489,,Spine,1,6,Image 1,3,1,100000001,610000003645,
124.323,,Spine,1,0,Image 1,1,1,100000000,610000003651,
113.192,,Spine,1,0,Image 1,1,1,100000000,610000003657,
82.7078,,Spine,1,5,Image 1,2,1,100000000,610000003660,
66.8302,,Spine,1,3,Image 1,3,1,100000001,610000003664,
125.106,,Spine,1,0,Image 1,1,1,100000000,610000003671,
90.8566,,Spine,1,2,Image 1,2,1,100000000,610000003675,
134.075,,Spine,1,0,Image 1,1,1,100000000,610000003680,
74.5443,,Spine,1,2,Image 1,2,1,100000000,610000003683,
157.689,,Spine,1,0,Image 1,1,1,100000000,610000003691,
87.8364,,Spine,1,0,Image 1,1,1,100000001,610000003697,
151.913,,Spine,1,0,Image 1,1,1,100000000,610000003704,
60.0981,,Spine,1,1,Image 1,2,1,100000000,610000003708,
90.5523,,Spine,1,3,Image 1,2,1,100000000,610000003711,
52.3514,,Spine,1,2,Image 1,1,1,100000000,610000003713,
69.8557,,Spine,1,1,Image 1,1,1,100000001,610000003715,
57.6788,,Spine,1,7,Image 1,3,1,100000001,610000003718,
55.8207,,Spine,1,6,Image 1,3,1,100000001,610000003721,
60.4393,,Spine,1,6,Image 1,2,1,100000001,610000003723,
73.2093,,Spine,1,3,Image 1,2,1,100000001,610000003726,
125.009,,Spine,1,0,Image 1,1,1,100000000,610000003732,
64.2691,,Spine,1,4,Image 1,1,1,100000000,610000003735,
50.236,,Spine,1,3,Image 1,4,1,100000001,610000003737,
89.2242,,Spine,1,1,Image 1,1,1,100000001,610000003740,
118.156,,Spine,1,0,Image 1,1,1,100000000,610000003746,
139.806,,Spine,1,0,Image 1,1,1,100000000,610000003751,
44.3377,,Spine,1,3,Image 1,2,1,100000000,610000003753,
86.3608,,Spine,1,1,Image 1,2,1,100000000,610000003756,
101.741,,Spine,1,0,Image 1,1,1,100000000,610000003762,
54.5299,,Spine,1,2,Image 1,2,1,100000001,610000003764,
82.9877,,Spine,1,0,Image 1,1,1,100000000,610000003768,
