
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,1,12,Image 1,5,1,100000000,610000004162,
0,,Spine,1,11,Image 1,5,1,100000000,610000004165,
0,,Spine,1,0,Image 1,1,1,100000002,610000004168,
0,,Spine,1,0,Image 1,1,1,100000000,610000004178,
0,,Spine,1,5,Image 1,3,1,100000002,610000004183,
0,,Spine,1,3,Image 1,2,1,100000001,610000004186,
0,,Spine,1,0,Image 1,1,1,100000000,610000004191,
0,,Spine,1,5,Image 1,2,1,100000000,610000004194,
0,,Spine,1,4,Image 1,2,1,100000001,610000004196,
0,,Spine,1,8,Image 1,2,1,100000000,610000004198,
0,,Spine,1,0,Image 1,1,1,100000002,610000004200,
0,,Spine,1,5,Image 1,3,1,100000002,610000004202,
0,,Spine,1,3,Image 1,2,1,100000001,610000004205,
0,,Spine,1,6,Image 1,2,1,100000000,610000004207,
0,,Spine,1,0,Image 1,1,1,100000000,610000004210,
0,,Spine,1,0,Image 1,1,1,100000000,610000004212,
0,,Spine,1,0,Image 1,1,1,100000000,610000004215,
0,,Spine,1,12,Image 1,3,1,100000000,610000004224,
0,,Spine,1,0,Image 1,1,1,100000000,610000004231,
0,,Spine,1,0,Image 1,1,1,100000002,610000004235,
0,,Spine,1,0,Image 1,1,1,100000002,610000004239,
0,,Spine,1,0,Image 1,1,1,100000000,610000004241,
0,,Spine,1,0,Image 1,1,1,100000000,610000004246,
1,,Spine,1,0,Image 1,1,1,100000000,610000004248,
0,,Spine,1,0,Image 1,1,1,100000000,610000004251,
0,,Spine,1,0,Image 1,1,1,100000000,610000004253,
0,,Spine,1,0,Image 1,1,1,100000002,610000004257,
0,,Spine,1,0,Image 1,1,1,100000000,610000004260,
0,,Spine,1,0,Image 1,1,1,100000000,610000004263,
1,,Spine,1,0,Image 1,1,1,100000002,610000004267,
0,,Spine,1,13,Image 1,4,1,100000000,610000004303,
0,,Spine,1,13,Image 1,4,1,100000000,610000004304,
0,,Spine,1,14,Image 1,5,1,100000000,610000004305,
1,,Spine,1,17,Image 1,3,1,100000000,610000004306,
0,,Spine,1,17,Image 1,4,1,100000000,610000004307,
0,,Spine,1,14,Image 1,4,1,100000000,610000004308,
0,,Spine,1,8,Image 1,2,1,100000000,610000004309,
1,,Spine,1,6,Image 1,2,1,100000000,610000004310,
0,,Spine,1,1,Image 1,1,1,100000000,610000004311,
1,,Spine,1,1,Image 1,2,1,100000000,610000004312,
0,,Spine,1,8,Image 1,1,1,100000000,610000004313,
39,,Spine,1,4,Image 1,2,1,100000000,610000004314,
0,,Spine,1,3,Image 1,1,1,100000000,610000004315,
1,,Spine,1,4,Image 1,2,1,100000000,610000004316,
1,,Spine,1,0,Image 1,1,1,100000000,610000004317,
0,,Spine,1,0,Image 1,1,1,100000000,610000004318,
0,,Spine,1,14,Image 1,6,1,100000000,610000004328,
0,,Spine,1,11,Image 1,5,1,100000000,610000004329,
1,,Spine,1,10,Image 1,6,1,100000000,610000004330,
0,,Spine,1,6,Image 1,3,1,100000000,610000004331,
27,,Spine,1,7,Image 1,2,1,100000000,610000004332,
0,,Spine,1,5,Image 1,2,1,100000000,610000004333,
2,,Spine,1,4,Image 1,1,1,100000000,610000004334,
0,,Spine,1,2,Image 1,1,1,100000000,610000004335,
0,,Spine,1,0,Image 1,1,1,100000000,610000004338,
0,,Spine,1,0,Image 1,1,1,100000000,610000004339,
1,,Spine,1,6,Image 1,2,1,100000001,610000004345,
2,,Spine,1,9,Image 1,5,1,100000001,610000004346,
0,,Spine,1,4,Image 1,3,1,100000001,610000004347,
0,,Spine,1,1,Image 1,1,1,100000001,610000004348,
0,,Spine,1,1,Image 1,2,1,100000001,610000004349,
2,,Spine,1,3,Image 1,3,1,100000002,610000004350,
163,,Spine,1,4,Image 1,3,1,100000002,610000004355,
5,,Spine,1,11,Image 1,6,1,100000002,610000004356,
1,,Spine,1,9,Image 1,5,1,100000002,610000004357,
1,,Spine,1,3,Image 1,3,1,100000002,610000004358,
2,,Spine,1,2,Image 1,1,1,100000002,610000004359,
0,,Spine,1,0,Image 1,1,1,100000002,610000004361,
0,,Spine,1,0,Image 1,1,1,100000002,610000004362,
1,,Spine,1,0,Image 1,1,1,100000002,610000004363,
