
Spine Intensity Median Ch=5 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.00390625,,Spine,5,12,Image 1,5,1,100000000,610000004162,
1.00391,,Spine,5,11,Image 1,5,1,100000000,610000004165,
0.00390625,,Spine,5,0,Image 1,1,1,100000002,610000004168,
0.00195312,,Spine,5,0,Image 1,1,1,100000000,610000004178,
1.00391,,Spine,5,5,Image 1,3,1,100000002,610000004183,
0.503906,,Spine,5,3,Image 1,2,1,100000001,610000004186,
0.00195312,,Spine,5,0,Image 1,1,1,100000000,610000004191,
0.00390625,,Spine,5,5,Image 1,2,1,100000000,610000004194,
1.00391,,Spine,5,4,Image 1,2,1,100000001,610000004196,
0.00390625,,Spine,5,8,Image 1,2,1,100000000,610000004198,
0.00195312,,Spine,5,0,Image 1,1,1,100000002,610000004200,
1.00391,,Spine,5,5,Image 1,3,1,100000002,610000004202,
1.00391,,Spine,5,3,Image 1,2,1,100000001,610000004205,
1.00391,,Spine,5,6,Image 1,2,1,100000000,610000004207,
0.00390625,,Spine,5,0,Image 1,1,1,100000000,610000004210,
0.00195312,,Spine,5,0,Image 1,1,1,100000000,610000004212,
0.00195312,,Spine,5,0,Image 1,1,1,100000000,610000004215,
0.00390625,,Spine,5,12,Image 1,3,1,100000000,610000004224,
0.00390625,,Spine,5,0,Image 1,1,1,100000000,610000004231,
0.00390625,,Spine,5,0,Image 1,1,1,100000002,610000004235,
0.00390625,,Spine,5,0,Image 1,1,1,100000002,610000004239,
0.00390625,,Spine,5,0,Image 1,1,1,100000000,610000004241,
0.00195312,,Spine,5,0,Image 1,1,1,100000000,610000004246,
1.00391,,Spine,5,0,Image 1,1,1,100000000,610000004248,
0.00390625,,Spine,5,0,Image 1,1,1,100000000,610000004251,
1.01562,,Spine,5,0,Image 1,1,1,100000000,610000004253,
0.00195312,,Spine,5,0,Image 1,1,1,100000002,610000004257,
1.00781,,Spine,5,0,Image 1,1,1,100000000,610000004260,
0.000976562,,Spine,5,0,Image 1,1,1,100000000,610000004263,
0.00195312,,Spine,5,0,Image 1,1,1,100000002,610000004267,
0.00195312,,Spine,5,13,Image 1,4,1,100000000,610000004303,
0.00195312,,Spine,5,13,Image 1,4,1,100000000,610000004304,
1.00391,,Spine,5,14,Image 1,5,1,100000000,610000004305,
0.00390625,,Spine,5,17,Image 1,3,1,100000000,610000004306,
0.00195312,,Spine,5,17,Image 1,4,1,100000000,610000004307,
0.00195312,,Spine,5,14,Image 1,4,1,100000000,610000004308,
0.00195312,,Spine,5,8,Image 1,2,1,100000000,610000004309,
0.00195312,,Spine,5,6,Image 1,2,1,100000000,610000004310,
1.00391,,Spine,5,1,Image 1,1,1,100000000,610000004311,
1.00391,,Spine,5,1,Image 1,2,1,100000000,610000004312,
1.00391,,Spine,5,8,Image 1,1,1,100000000,610000004313,
113.125,,Spine,5,4,Image 1,2,1,100000000,610000004314,
0.00195312,,Spine,5,3,Image 1,1,1,100000000,610000004315,
0.501953,,Spine,5,4,Image 1,2,1,100000000,610000004316,
1.00391,,Spine,5,0,Image 1,1,1,100000000,610000004317,
1.00195,,Spine,5,0,Image 1,1,1,100000000,610000004318,
1.00391,,Spine,5,14,Image 1,6,1,100000000,610000004328,
0.00195312,,Spine,5,11,Image 1,5,1,100000000,610000004329,
0.00390625,,Spine,5,10,Image 1,6,1,100000000,610000004330,
1.00195,,Spine,5,6,Image 1,3,1,100000000,610000004331,
71.25,,Spine,5,7,Image 1,2,1,100000000,610000004332,
1.00781,,Spine,5,5,Image 1,2,1,100000000,610000004333,
2.00781,,Spine,5,4,Image 1,1,1,100000000,610000004334,
0.503906,,Spine,5,2,Image 1,1,1,100000000,610000004335,
0.00390625,,Spine,5,0,Image 1,1,1,100000000,610000004338,
0.00390625,,Spine,5,0,Image 1,1,1,100000000,610000004339,
0.00195312,,Spine,5,6,Image 1,2,1,100000001,610000004345,
1.00195,,Spine,5,9,Image 1,5,1,100000001,610000004346,
1.00195,,Spine,5,4,Image 1,3,1,100000001,610000004347,
1.00391,,Spine,5,1,Image 1,1,1,100000001,610000004348,
1.00195,,Spine,5,1,Image 1,2,1,100000001,610000004349,
20.125,,Spine,5,3,Image 1,3,1,100000002,610000004350,
46.25,,Spine,5,4,Image 1,3,1,100000002,610000004355,
13.0312,,Spine,5,11,Image 1,6,1,100000002,610000004356,
0.00195312,,Spine,5,9,Image 1,5,1,100000002,610000004357,
1.00195,,Spine,5,3,Image 1,3,1,100000002,610000004358,
0.00390625,,Spine,5,2,Image 1,1,1,100000002,610000004359,
0.00195312,,Spine,5,0,Image 1,1,1,100000002,610000004361,
0.00390625,,Spine,5,0,Image 1,1,1,100000002,610000004362,
1.00195,,Spine,5,0,Image 1,1,1,100000002,610000004363,
