
Spine Terminal Pt Time Index
 ==================== 
Spine Terminal Pt Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Spine,12,5,1,100000000,610000004162,
1,,Spine,11,5,1,100000000,610000004165,
1,,Spine,0,1,1,100000002,610000004168,
1,,Spine,,,1,,610000004171,
1,,Spine,5,3,1,100000002,610000004183,
1,,Spine,3,2,1,100000001,610000004186,
1,,Spine,0,1,1,100000000,610000004191,
1,,Spine,5,2,1,100000000,610000004194,
1,,Spine,4,2,1,100000001,610000004196,
1,,Spine,8,2,1,100000000,610000004198,
1,,Spine,5,3,1,100000002,610000004202,
1,,Spine,3,2,1,100000001,610000004205,
1,,Spine,6,2,1,100000000,610000004207,
1,,Spine,12,3,1,100000000,610000004224,
1,,Spine,,,1,,610000004230,
1,,Spine,0,1,1,100000002,610000004235,
1,,Spine,0,1,1,100000002,610000004239,
1,,Spine,0,1,1,100000002,610000004257,
1,,Spine,6,2,1,100000001,610000004345,
1,,Spine,9,5,1,100000001,610000004346,
1,,Spine,4,3,1,100000001,610000004347,
1,,Spine,1,1,1,100000001,610000004348,
1,,Spine,1,2,1,100000001,610000004349,
1,,Spine,1,2,1,,610000004368,
1,,Spine,3,3,1,,610000004368,
1,,Spine,1,1,1,,610000004369,
1,,Spine,2,1,1,,610000004369,
1,,Spine,6,2,1,,610000004370,
1,,Spine,3,3,1,,610000004370,
1,,Spine,8,2,1,,610000004371,
1,,Spine,11,6,1,,610000004371,
1,,Spine,9,5,1,,610000004372,
1,,Spine,17,3,1,,610000004372,
1,,Spine,4,3,1,,610000004373,
1,,Spine,17,4,1,,610000004373,
1,,Spine,0,1,1,,610000004374,
1,,Spine,14,4,1,,610000004374,
1,,Spine,14,5,1,,610000004375,
1,,Spine,0,1,1,,610000004375,
1,,Spine,0,1,1,,610000004376,
1,,Spine,13,4,1,,610000004376,
1,,Spine,13,4,1,,610000004377,
1,,Spine,2,1,1,,610000004378,
1,,Spine,5,2,1,,610000004379,
1,,Spine,4,1,1,,610000004380,
1,,Spine,7,2,1,,610000004381,
1,,Spine,6,3,1,,610000004382,
1,,Spine,14,6,1,,610000004383,
1,,Spine,11,5,1,,610000004384,
1,,Spine,10,6,1,,610000004385,
1,,Spine,0,1,1,,610000004386,
1,,Spine,4,2,1,,610000004387,
1,,Spine,3,1,1,,610000004388,
1,,Spine,4,2,1,,610000004389,
1,,Spine,8,1,1,,610000004390,
1,,Spine,0,1,1,,610000004391,
1,,Spine,0,1,1,,610000004392,
1,,Spine,0,1,1,,610000004393,
