
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
19.4556,,Segment,1,9,Image 1,3,1,100000000,510000000091,
55.2,,Segment,1,8,Image 1,3,1,100000000,510000000105,
64,,Segment,1,7,Image 1,3,1,100000000,510000000120,
74,,Segment,1,6,Image 1,2,1,100000000,510000000124,
49.1724,,Segment,1,5,Image 1,2,1,100000000,510000000152,
44.2857,,Segment,1,4,Image 1,2,1,100000000,510000000158,
55.2,,Segment,1,3,Image 1,2,1,100000000,510000000182,
32.5,,Segment,1,2,Image 1,2,1,100000000,510000000185,
39.381,,Segment,1,1,Image 1,2,1,100000000,510000000226,
88.9697,,Segment,1,0,Image 1,1,1,100000000,510000000258,
20.0213,,Segment,1,9,Image 1,4,1,100000000,510000000375,
36.2609,,Segment,1,8,Image 1,5,1,100000000,510000000420,
45.5435,,Segment,1,7,Image 1,4,1,100000000,510000000465,
93.25,,Segment,1,6,Image 1,3,1,100000000,510000000480,
19.2759,,Segment,1,5,Image 1,3,1,100000000,510000000537,
47.625,,Segment,1,0,Image 1,1,1,100000001,510000000545,
48.7619,,Segment,1,9,Image 1,5,1,100000000,510000000629,
22.6087,,Segment,1,8,Image 1,4,1,100000000,510000000651,
49.8947,,Segment,1,8,Image 1,4,1,100000000,510000000669,
77.375,,Segment,1,6,Image 1,5,1,100000000,510000000676,
23.4194,,Segment,1,5,Image 1,4,1,100000000,510000000768,
42,,Segment,1,4,Image 1,3,1,100000000,510000000770,
87.25,,Segment,1,6,Image 1,4,1,100000000,510000000777,
26.6538,,Segment,1,2,Image 1,3,1,100000002,510000000802,
40.8125,,Segment,1,1,Image 1,2,1,100000002,510000000865,
88.1429,,Segment,1,0,Image 1,1,1,100000002,510000000877,
31.1781,,Segment,1,2,Image 1,2,1,100000002,510000000952,
99,,Segment,1,1,Image 1,1,1,100000002,510000000955,
39.2444,,Segment,1,0,Image 1,1,1,100000002,510000001004,
63.8571,,Segment,1,10,Image 1,5,1,100000000,510000001010,
95.4444,,Segment,1,10,Image 1,4,1,100000000,510000001019,
28.8387,,Segment,1,5,Image 1,3,1,100000001,510000001050,
18.12,,Segment,1,4,Image 1,2,1,100000001,510000001074,
70.3333,,Segment,1,3,Image 1,1,1,100000001,510000001085,
97,,Segment,1,2,Image 1,1,1,100000001,510000001090,
67.25,,Segment,1,1,Image 1,1,1,100000001,510000001093,
71.9412,,Segment,1,0,Image 1,1,1,100000001,510000001110,
48.6667,,Segment,1,8,Image 1,4,1,100000000,510000001134,
77.7826,,Segment,1,7,Image 1,3,1,100000000,510000001179,
64.8,,Segment,1,8,Image 1,3,1,100000000,510000001183,
55.1154,,Segment,1,0,Image 1,1,1,100000002,510000001240,
55,,Segment,1,6,Image 1,4,1,100000000,510000001242,
35.3774,,Segment,1,3,Image 1,3,1,100000002,510000001294,
60.5333,,Segment,1,2,Image 1,2,1,100000002,510000001308,
83.25,,Segment,1,0,Image 1,1,1,100000002,510000001320,
73.8696,,Segment,1,5,Image 1,3,1,100000002,510000001342,
100,,Segment,1,4,Image 1,3,1,100000002,510000001344,
20.9706,,Segment,1,3,Image 1,2,1,100000002,510000001411,
73,,Segment,1,2,Image 1,1,1,100000002,510000001413,
