
Spine Center Intensity Sum Ch=4 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
62,,Spine,4,6,Image 1,3,1,100000000,610000002782,
0,,Spine,4,9,Image 1,4,1,100000000,610000002802,
816,,Spine,4,1,Image 1,2,1,100000002,610000002830,
215,,Spine,4,3,Image 1,3,1,100000002,610000002839,
411,,Spine,4,3,Image 1,2,1,100000000,610000002858,
429,,Spine,4,3,Image 1,4,1,100000000,610000002866,
442,,Spine,4,3,Image 1,4,1,100000000,610000002873,
289,,Spine,4,3,Image 1,4,1,100000000,610000002879,
177,,Spine,4,4,Image 1,4,1,100000000,610000002884,
0,,Spine,4,3,Image 1,2,1,100000002,610000002888,
927,,Spine,4,0,Image 1,1,1,100000001,610000002910,
822,,Spine,4,0,Image 1,1,1,100000001,610000002931,
248,,Spine,4,3,Image 1,4,1,100000000,610000002937,
507,,Spine,4,0,Image 1,1,1,100000001,610000002951,
768,,Spine,4,9,Image 1,5,1,100000000,610000002966,
796,,Spine,4,9,Image 1,5,1,100000000,610000002981,
732,,Spine,4,9,Image 1,5,1,100000000,610000002995,
185,,Spine,4,1,Image 1,1,1,100000002,610000003003,
519,,Spine,4,3,Image 1,2,1,100000001,610000003016,
427,,Spine,4,3,Image 1,2,1,100000001,610000003028,
250,,Spine,4,5,Image 1,3,1,100000000,610000003039,
173,,Spine,4,2,Image 1,1,1,100000000,610000003045,
511,,Spine,4,9,Image 1,5,1,100000000,610000003053,
650,,Spine,4,8,Image 1,3,1,100000000,610000003066,
577,,Spine,4,8,Image 1,3,1,100000000,610000003079,
518,,Spine,4,8,Image 1,3,1,100000000,610000003091,
556,,Spine,4,8,Image 1,3,1,100000000,610000003103,
339,,Spine,4,8,Image 1,3,1,100000000,610000003114,
342,,Spine,4,2,Image 1,1,1,100000000,610000003121,
249,,Spine,4,1,Image 1,2,1,100000002,610000003128,
468,,Spine,4,3,Image 1,1,1,100000002,610000003137,
337,,Spine,4,1,Image 1,1,1,100000000,610000003144,
284,,Spine,4,1,Image 1,1,1,100000000,610000003150,
40,,Spine,4,7,Image 1,3,1,100000000,610000003154,
468,,Spine,4,4,Image 1,3,1,100000000,610000003163,
405,,Spine,4,4,Image 1,3,1,100000000,610000003171,
461,,Spine,4,0,Image 1,1,1,100000001,610000003178,
229,,Spine,4,0,Image 1,1,1,100000001,610000003183,
902,,Spine,4,9,Image 1,3,1,100000000,610000003195,
924,,Spine,4,9,Image 1,3,1,100000000,610000003207,
803,,Spine,4,9,Image 1,3,1,100000000,610000003217,
731,,Spine,4,9,Image 1,3,1,100000000,610000003226,
523,,Spine,4,9,Image 1,3,1,100000000,610000003234,
376,,Spine,4,9,Image 1,3,1,100000000,610000003240,
209,,Spine,4,9,Image 1,3,1,100000000,610000003243,
166,,Spine,4,3,Image 1,2,1,100000001,610000003245,
187,,Spine,4,2,Image 1,1,1,100000000,610000003249,
240,,Spine,4,3,Image 1,2,1,100000000,610000003255,
166,,Spine,4,3,Image 1,2,1,100000000,610000003260,
155,,Spine,4,0,Image 1,1,1,100000000,610000003263,
520,,Spine,4,1,Image 1,1,1,100000002,610000003275,
615,,Spine,4,1,Image 1,1,1,100000002,610000003286,
427,,Spine,4,2,Image 1,2,1,100000001,610000003290,
125,,Spine,4,4,Image 1,1,1,100000001,610000003294,
342,,Spine,4,2,Image 1,2,1,100000002,610000003298,
174,,Spine,4,2,Image 1,2,1,100000001,610000003301,
454,,Spine,4,0,Image 1,1,1,100000001,610000003306,
228,,Spine,4,1,Image 1,1,1,100000002,610000003309,
242,,Spine,4,0,Image 1,1,1,100000002,610000003312,
174,,Spine,4,0,Image 1,1,1,100000001,610000003315,
227,,Spine,4,8,Image 1,5,1,100000000,610000003318,
375,,Spine,4,3,Image 1,2,1,100000001,610000003321,
218,,Spine,4,0,Image 1,1,1,100000001,610000003325,
262,,Spine,4,1,Image 1,1,1,100000002,610000003328,
144,,Spine,4,0,Image 1,1,1,100000001,610000003330,
113,,Spine,4,0,Image 1,1,1,100000001,610000003334,
371,,Spine,4,2,Image 1,1,1,100000002,610000003338,
378,,Spine,4,2,Image 1,2,1,100000002,610000003343,
231,,Spine,4,3,Image 1,2,1,100000001,610000003346,
291,,Spine,4,4,Image 1,1,1,100000000,610000003352,
155,,Spine,4,0,Image 1,1,1,100000000,610000003354,
246,,Spine,4,4,Image 1,1,1,100000000,610000003360,
219,,Spine,4,9,Image 1,5,1,100000000,610000003383,
184,,Spine,4,9,Image 1,5,1,100000000,610000003384,
250,,Spine,4,9,Image 1,5,1,100000000,610000003385,
216,,Spine,4,10,Image 1,4,1,100000000,610000003386,
254,,Spine,4,8,Image 1,4,1,100000000,610000003387,
145,,Spine,4,8,Image 1,2,1,100000000,610000003388,
209,,Spine,4,8,Image 1,2,1,100000000,610000003389,
207,,Spine,4,8,Image 1,5,1,100000000,610000003390,
119,,Spine,4,7,Image 1,4,1,100000000,610000003391,
123,,Spine,4,8,Image 1,4,1,100000000,610000003392,
359,,Spine,4,7,Image 1,3,1,100000000,610000003393,
207,,Spine,4,7,Image 1,3,1,100000000,610000003394,
179,,Spine,4,4,Image 1,1,1,100000000,610000003395,
145,,Spine,4,4,Image 1,1,1,100000000,610000003396,
252,,Spine,4,0,Image 1,1,1,100000000,610000003397,
180,,Spine,4,4,Image 1,3,1,100000000,610000003399,
244,,Spine,4,2,Image 1,3,1,100000000,610000003400,
145,,Spine,4,0,Image 1,1,1,100000001,610000003401,
181,,Spine,4,4,Image 1,2,1,100000001,610000003402,
143,,Spine,4,3,Image 1,2,1,100000001,610000003403,
189,,Spine,4,5,Image 1,2,1,100000001,610000003404,
257,,Spine,4,5,Image 1,2,1,100000001,610000003405,
110,,Spine,4,5,Image 1,3,1,100000001,610000003406,
89,,Spine,4,3,Image 1,2,1,100000002,610000003407,
151,,Spine,4,2,Image 1,2,1,100000002,610000003408,
152,,Spine,4,2,Image 1,1,1,100000002,610000003410,
184,,Spine,4,2,Image 1,1,1,100000002,610000003411,
42,,Spine,4,0,Image 1,1,1,100000002,610000003412,
205,,Spine,4,3,Image 1,3,1,100000002,610000003413,
96,,Spine,4,3,Image 1,3,1,100000002,610000003414,
80,,Spine,4,1,Image 1,1,1,100000002,610000003415,
14,,Spine,4,1,Image 1,1,1,100000002,610000003416,
136,,Spine,4,1,Image 1,1,1,100000002,610000003417,
131,,Spine,4,3,Image 1,1,1,100000002,610000003418,
34,,Spine,4,1,Image 1,1,1,100000002,610000003419,
123,,Spine,4,0,Image 1,1,1,100000002,610000003420,
