
Spine Center Number of Voxel Ch=5 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24,,Spine,5,6,Image 1,3,1,100000000,610000002782,
20,,Spine,5,9,Image 1,4,1,100000000,610000002802,
29,,Spine,5,1,Image 1,2,1,100000002,610000002830,
10,,Spine,5,3,Image 1,3,1,100000002,610000002839,
20,,Spine,5,3,Image 1,2,1,100000000,610000002858,
9,,Spine,5,3,Image 1,4,1,100000000,610000002866,
8,,Spine,5,3,Image 1,4,1,100000000,610000002873,
7,,Spine,5,3,Image 1,4,1,100000000,610000002879,
6,,Spine,5,4,Image 1,4,1,100000000,610000002884,
5,,Spine,5,3,Image 1,2,1,100000002,610000002888,
22,,Spine,5,0,Image 1,1,1,100000001,610000002910,
21,,Spine,5,0,Image 1,1,1,100000001,610000002931,
7,,Spine,5,3,Image 1,4,1,100000000,610000002937,
14,,Spine,5,0,Image 1,1,1,100000001,610000002951,
16,,Spine,5,9,Image 1,5,1,100000000,610000002966,
16,,Spine,5,9,Image 1,5,1,100000000,610000002981,
15,,Spine,5,9,Image 1,5,1,100000000,610000002995,
9,,Spine,5,1,Image 1,1,1,100000002,610000003003,
14,,Spine,5,3,Image 1,2,1,100000001,610000003016,
13,,Spine,5,3,Image 1,2,1,100000001,610000003028,
12,,Spine,5,5,Image 1,3,1,100000000,610000003039,
7,,Spine,5,2,Image 1,1,1,100000000,610000003045,
9,,Spine,5,9,Image 1,5,1,100000000,610000003053,
14,,Spine,5,8,Image 1,3,1,100000000,610000003066,
14,,Spine,5,8,Image 1,3,1,100000000,610000003079,
13,,Spine,5,8,Image 1,3,1,100000000,610000003091,
13,,Spine,5,8,Image 1,3,1,100000000,610000003103,
12,,Spine,5,8,Image 1,3,1,100000000,610000003114,
8,,Spine,5,2,Image 1,1,1,100000000,610000003121,
8,,Spine,5,1,Image 1,2,1,100000002,610000003128,
10,,Spine,5,3,Image 1,1,1,100000002,610000003137,
8,,Spine,5,1,Image 1,1,1,100000000,610000003144,
7,,Spine,5,1,Image 1,1,1,100000000,610000003150,
5,,Spine,5,7,Image 1,3,1,100000000,610000003154,
10,,Spine,5,4,Image 1,3,1,100000000,610000003163,
9,,Spine,5,4,Image 1,3,1,100000000,610000003171,
7,,Spine,5,0,Image 1,1,1,100000001,610000003178,
5,,Spine,5,0,Image 1,1,1,100000001,610000003183,
13,,Spine,5,9,Image 1,3,1,100000000,610000003195,
13,,Spine,5,9,Image 1,3,1,100000000,610000003207,
11,,Spine,5,9,Image 1,3,1,100000000,610000003217,
10,,Spine,5,9,Image 1,3,1,100000000,610000003226,
9,,Spine,5,9,Image 1,3,1,100000000,610000003234,
7,,Spine,5,9,Image 1,3,1,100000000,610000003240,
4,,Spine,5,9,Image 1,3,1,100000000,610000003243,
3,,Spine,5,3,Image 1,2,1,100000001,610000003245,
5,,Spine,5,2,Image 1,1,1,100000000,610000003249,
6,,Spine,5,3,Image 1,2,1,100000000,610000003255,
5,,Spine,5,3,Image 1,2,1,100000000,610000003260,
4,,Spine,5,0,Image 1,1,1,100000000,610000003263,
12,,Spine,5,1,Image 1,1,1,100000002,610000003275,
11,,Spine,5,1,Image 1,1,1,100000002,610000003286,
5,,Spine,5,2,Image 1,2,1,100000001,610000003290,
4,,Spine,5,4,Image 1,1,1,100000001,610000003294,
5,,Spine,5,2,Image 1,2,1,100000002,610000003298,
4,,Spine,5,2,Image 1,2,1,100000001,610000003301,
5,,Spine,5,0,Image 1,1,1,100000001,610000003306,
4,,Spine,5,1,Image 1,1,1,100000002,610000003309,
4,,Spine,5,0,Image 1,1,1,100000002,610000003312,
4,,Spine,5,0,Image 1,1,1,100000001,610000003315,
4,,Spine,5,8,Image 1,5,1,100000000,610000003318,
4,,Spine,5,3,Image 1,2,1,100000001,610000003321,
3,,Spine,5,0,Image 1,1,1,100000001,610000003325,
3,,Spine,5,1,Image 1,1,1,100000002,610000003328,
2,,Spine,5,0,Image 1,1,1,100000001,610000003330,
2,,Spine,5,0,Image 1,1,1,100000001,610000003334,
4,,Spine,5,2,Image 1,1,1,100000002,610000003338,
3,,Spine,5,2,Image 1,2,1,100000002,610000003343,
3,,Spine,5,3,Image 1,2,1,100000001,610000003346,
3,,Spine,5,4,Image 1,1,1,100000000,610000003352,
2,,Spine,5,0,Image 1,1,1,100000000,610000003354,
3,,Spine,5,4,Image 1,1,1,100000000,610000003360,
2,,Spine,5,9,Image 1,5,1,100000000,610000003383,
2,,Spine,5,9,Image 1,5,1,100000000,610000003384,
2,,Spine,5,9,Image 1,5,1,100000000,610000003385,
2,,Spine,5,10,Image 1,4,1,100000000,610000003386,
2,,Spine,5,8,Image 1,4,1,100000000,610000003387,
2,,Spine,5,8,Image 1,2,1,100000000,610000003388,
2,,Spine,5,8,Image 1,2,1,100000000,610000003389,
2,,Spine,5,8,Image 1,5,1,100000000,610000003390,
2,,Spine,5,7,Image 1,4,1,100000000,610000003391,
2,,Spine,5,8,Image 1,4,1,100000000,610000003392,
2,,Spine,5,7,Image 1,3,1,100000000,610000003393,
2,,Spine,5,7,Image 1,3,1,100000000,610000003394,
2,,Spine,5,4,Image 1,1,1,100000000,610000003395,
2,,Spine,5,4,Image 1,1,1,100000000,610000003396,
2,,Spine,5,0,Image 1,1,1,100000000,610000003397,
2,,Spine,5,4,Image 1,3,1,100000000,610000003399,
2,,Spine,5,2,Image 1,3,1,100000000,610000003400,
2,,Spine,5,0,Image 1,1,1,100000001,610000003401,
2,,Spine,5,4,Image 1,2,1,100000001,610000003402,
2,,Spine,5,3,Image 1,2,1,100000001,610000003403,
2,,Spine,5,5,Image 1,2,1,100000001,610000003404,
2,,Spine,5,5,Image 1,2,1,100000001,610000003405,
2,,Spine,5,5,Image 1,3,1,100000001,610000003406,
2,,Spine,5,3,Image 1,2,1,100000002,610000003407,
2,,Spine,5,2,Image 1,2,1,100000002,610000003408,
2,,Spine,5,2,Image 1,1,1,100000002,610000003410,
2,,Spine,5,2,Image 1,1,1,100000002,610000003411,
2,,Spine,5,0,Image 1,1,1,100000002,610000003412,
2,,Spine,5,3,Image 1,3,1,100000002,610000003413,
2,,Spine,5,3,Image 1,3,1,100000002,610000003414,
2,,Spine,5,1,Image 1,1,1,100000002,610000003415,
2,,Spine,5,1,Image 1,1,1,100000002,610000003416,
2,,Spine,5,1,Image 1,1,1,100000002,610000003417,
2,,Spine,5,3,Image 1,1,1,100000002,610000003418,
2,,Spine,5,1,Image 1,1,1,100000002,610000003419,
2,,Spine,5,0,Image 1,1,1,100000002,610000003420,
