
Spine Center Intensity Max Ch=3 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
162,,Spine,3,6,Image 1,4,1,100000002,610000004153,
162,,Spine,3,6,Image 1,4,1,100000002,610000004169,
153,,Spine,3,6,Image 1,4,1,100000002,610000004184,
96,,Spine,3,6,Image 1,4,1,100000002,610000004198,
178,,Spine,3,6,Image 1,4,1,100000002,610000004212,
85,,Spine,3,6,Image 1,4,1,100000002,610000004225,
64,,Spine,3,4,Image 1,1,1,100000000,610000004231,
107,,Spine,3,4,Image 1,1,1,100000000,610000004236,
68,,Spine,3,4,Image 1,1,1,100000000,610000004240,
116,,Spine,3,7,Image 1,3,1,100000001,610000004243,
91,,Spine,3,1,Image 1,2,1,100000001,610000004248,
144,,Spine,3,1,Image 1,2,1,100000001,610000004255,
54,,Spine,3,1,Image 1,2,1,100000001,610000004259,
110,,Spine,3,0,Image 1,1,1,100000002,610000004270,
157,,Spine,3,0,Image 1,1,1,100000000,610000004278,
166,,Spine,3,0,Image 1,1,1,100000002,610000004287,
148,,Spine,3,3,Image 1,2,1,100000001,610000004293,
102,,Spine,3,5,Image 1,3,1,100000001,610000004295,
136,,Spine,3,2,Image 1,2,1,100000002,610000004298,
91,,Spine,3,5,Image 1,1,1,100000001,610000004301,
131,,Spine,3,1,Image 1,2,1,100000001,610000004309,
143,,Spine,3,3,Image 1,2,1,100000001,610000004314,
142,,Spine,3,1,Image 1,2,1,100000001,610000004323,
136,,Spine,3,2,Image 1,2,1,100000002,610000004325,
130,,Spine,3,1,Image 1,2,1,100000001,610000004332,
127,,Spine,3,0,Image 1,1,1,100000002,610000004338,
113,,Spine,3,2,Image 1,1,1,100000002,610000004340,
113,,Spine,3,2,Image 1,1,1,100000001,610000004342,
61,,Spine,3,4,Image 1,4,1,100000000,610000004345,
112,,Spine,3,3,Image 1,2,1,100000000,610000004347,
116,,Spine,3,3,Image 1,3,1,100000000,610000004351,
147,,Spine,3,0,Image 1,1,1,100000002,610000004355,
132,,Spine,3,0,Image 1,1,1,100000002,610000004359,
66,,Spine,3,6,Image 1,5,1,100000001,610000004361,
128,,Spine,3,0,Image 1,1,1,100000002,610000004364,
135,,Spine,3,4,Image 1,2,1,100000002,610000004366,
160,,Spine,3,5,Image 1,1,1,100000000,610000004370,
60,,Spine,3,1,Image 1,2,1,100000000,610000004372,
125,,Spine,3,1,Image 1,2,1,100000001,610000004376,
136,,Spine,3,0,Image 1,1,1,100000002,610000004379,
136,,Spine,3,0,Image 1,1,1,100000000,610000004383,
117,,Spine,3,0,Image 1,1,1,100000002,610000004388,
144,,Spine,3,0,Image 1,1,1,100000002,610000004392,
157,,Spine,3,0,Image 1,1,1,100000002,610000004394,
188,,Spine,3,1,Image 1,1,1,100000002,610000004396,
177,,Spine,3,1,Image 1,1,1,100000001,610000004398,
169,,Spine,3,6,Image 1,5,1,100000000,610000004400,
108,,Spine,3,4,Image 1,4,1,100000000,610000004402,
96,,Spine,3,0,Image 1,1,1,100000002,610000004404,
135,,Spine,3,0,Image 1,1,1,100000000,610000004410,
129,,Spine,3,1,Image 1,2,1,100000001,610000004414,
133,,Spine,3,0,Image 1,1,1,100000002,610000004418,
170,,Spine,3,1,Image 1,2,1,100000001,610000004422,
155,,Spine,3,0,Image 1,1,1,100000002,610000004425,
145,,Spine,3,0,Image 1,1,1,100000002,610000004427,
160,,Spine,3,0,Image 1,1,1,100000002,610000004429,
124,,Spine,3,0,Image 1,1,1,100000002,610000004436,
138,,Spine,3,0,Image 1,1,1,100000002,610000004440,
88,,Spine,3,3,Image 1,2,1,100000001,610000004442,
146,,Spine,3,0,Image 1,1,1,100000002,610000004456,
155,,Spine,3,5,Image 1,4,1,100000001,610000004460,
156,,Spine,3,1,Image 1,2,1,100000001,610000004466,
79,,Spine,3,0,Image 1,1,1,100000000,610000004486,
142,,Spine,3,0,Image 1,1,1,100000000,610000004493,
68,,Spine,3,4,Image 1,3,1,100000000,610000004494,
116,,Spine,3,3,Image 1,3,1,100000000,610000004495,
192,,Spine,3,0,Image 1,1,1,100000000,610000004496,
66,,Spine,3,5,Image 1,4,1,100000000,610000004497,
72,,Spine,3,7,Image 1,1,1,100000000,610000004498,
160,,Spine,3,5,Image 1,1,1,100000000,610000004499,
81,,Spine,3,5,Image 1,2,1,100000000,610000004500,
42,,Spine,3,5,Image 1,3,1,100000000,610000004501,
50,,Spine,3,4,Image 1,4,1,100000000,610000004502,
158,,Spine,3,4,Image 1,3,1,100000000,610000004503,
130,,Spine,3,1,Image 1,1,1,100000000,610000004504,
100,,Spine,3,0,Image 1,1,1,100000000,610000004506,
30,,Spine,3,2,Image 1,2,1,100000001,610000004507,
139,,Spine,3,7,Image 1,3,1,100000001,610000004508,
86,,Spine,3,7,Image 1,3,1,100000001,610000004509,
172,,Spine,3,5,Image 1,1,1,100000001,610000004510,
167,,Spine,3,5,Image 1,1,1,100000001,610000004511,
84,,Spine,3,5,Image 1,1,1,100000001,610000004512,
39,,Spine,3,6,Image 1,3,1,100000001,610000004513,
95,,Spine,3,6,Image 1,3,1,100000001,610000004514,
120,,Spine,3,3,Image 1,2,1,100000001,610000004515,
178,,Spine,3,2,Image 1,1,1,100000001,610000004516,
86,,Spine,3,2,Image 1,2,1,100000001,610000004517,
139,,Spine,3,1,Image 1,1,1,100000001,610000004518,
126,,Spine,3,1,Image 1,1,1,100000001,610000004519,
87,,Spine,3,1,Image 1,1,1,100000001,610000004520,
177,,Spine,3,1,Image 1,1,1,100000001,610000004521,
55,,Spine,3,5,Image 1,4,1,100000001,610000004524,
117,,Spine,3,5,Image 1,4,1,100000001,610000004525,
102,,Spine,3,5,Image 1,3,1,100000001,610000004526,
94,,Spine,3,7,Image 1,3,1,100000001,610000004527,
155,,Spine,3,6,Image 1,4,1,100000001,610000004528,
176,,Spine,3,6,Image 1,4,1,100000001,610000004529,
102,,Spine,3,5,Image 1,3,1,100000001,610000004530,
21,,Spine,3,5,Image 1,4,1,100000001,610000004531,
143,,Spine,3,3,Image 1,2,1,100000001,610000004532,
22,,Spine,3,2,Image 1,2,1,100000001,610000004533,
116,,Spine,3,0,Image 1,1,1,100000001,610000004534,
106,,Spine,3,1,Image 1,2,1,100000001,610000004535,
57,,Spine,3,2,Image 1,2,1,100000002,610000004536,
71,,Spine,3,2,Image 1,3,1,100000002,610000004546,
