
Spine Intensity Sum Ch=2 Img=1
 ==================== 
Spine Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
326,,Spine,2,6,Image 1,4,1,100000002,610000004153,
348,,Spine,2,6,Image 1,4,1,100000002,610000004169,
181,,Spine,2,6,Image 1,4,1,100000002,610000004184,
182,,Spine,2,6,Image 1,4,1,100000002,610000004198,
116,,Spine,2,6,Image 1,4,1,100000002,610000004212,
89,,Spine,2,6,Image 1,4,1,100000002,610000004225,
1348,,Spine,2,4,Image 1,1,1,100000000,610000004231,
1270,,Spine,2,4,Image 1,1,1,100000000,610000004236,
606,,Spine,2,4,Image 1,1,1,100000000,610000004240,
92,,Spine,2,7,Image 1,3,1,100000001,610000004243,
3820,,Spine,2,1,Image 1,2,1,100000001,610000004248,
3622,,Spine,2,1,Image 1,2,1,100000001,610000004255,
1599,,Spine,2,1,Image 1,2,1,100000001,610000004259,
471,,Spine,2,0,Image 1,1,1,100000002,610000004270,
1084,,Spine,2,0,Image 1,1,1,100000000,610000004278,
162,,Spine,2,0,Image 1,1,1,100000002,610000004287,
286,,Spine,2,3,Image 1,2,1,100000001,610000004293,
6878,,Spine,2,5,Image 1,3,1,100000001,610000004295,
149,,Spine,2,2,Image 1,2,1,100000002,610000004298,
176,,Spine,2,5,Image 1,1,1,100000001,610000004301,
148,,Spine,2,1,Image 1,2,1,100000001,610000004309,
251,,Spine,2,3,Image 1,2,1,100000001,610000004314,
147,,Spine,2,1,Image 1,2,1,100000001,610000004323,
111,,Spine,2,2,Image 1,2,1,100000002,610000004325,
156,,Spine,2,1,Image 1,2,1,100000001,610000004332,
410,,Spine,2,0,Image 1,1,1,100000002,610000004338,
147,,Spine,2,2,Image 1,1,1,100000002,610000004340,
71,,Spine,2,2,Image 1,1,1,100000001,610000004342,
141,,Spine,2,4,Image 1,4,1,100000000,610000004345,
45,,Spine,2,3,Image 1,2,1,100000000,610000004347,
124,,Spine,2,3,Image 1,3,1,100000000,610000004351,
206,,Spine,2,0,Image 1,1,1,100000002,610000004355,
32,,Spine,2,0,Image 1,1,1,100000002,610000004359,
59,,Spine,2,6,Image 1,5,1,100000001,610000004361,
545,,Spine,2,0,Image 1,1,1,100000002,610000004364,
117,,Spine,2,4,Image 1,2,1,100000002,610000004366,
161,,Spine,2,5,Image 1,1,1,100000000,610000004370,
69,,Spine,2,1,Image 1,2,1,100000000,610000004372,
7527,,Spine,2,1,Image 1,2,1,100000001,610000004376,
63,,Spine,2,0,Image 1,1,1,100000002,610000004379,
421,,Spine,2,0,Image 1,1,1,100000000,610000004383,
11,,Spine,2,0,Image 1,1,1,100000002,610000004388,
301,,Spine,2,0,Image 1,1,1,100000002,610000004392,
26,,Spine,2,0,Image 1,1,1,100000002,610000004394,
308,,Spine,2,1,Image 1,1,1,100000002,610000004396,
174,,Spine,2,1,Image 1,1,1,100000001,610000004398,
147,,Spine,2,6,Image 1,5,1,100000000,610000004400,
63,,Spine,2,4,Image 1,4,1,100000000,610000004402,
305,,Spine,2,0,Image 1,1,1,100000002,610000004404,
98,,Spine,2,0,Image 1,1,1,100000000,610000004410,
229,,Spine,2,1,Image 1,2,1,100000001,610000004414,
234,,Spine,2,0,Image 1,1,1,100000002,610000004418,
105,,Spine,2,1,Image 1,2,1,100000001,610000004422,
36,,Spine,2,0,Image 1,1,1,100000002,610000004425,
88,,Spine,2,0,Image 1,1,1,100000002,610000004427,
151,,Spine,2,0,Image 1,1,1,100000002,610000004429,
59,,Spine,2,0,Image 1,1,1,100000002,610000004436,
230,,Spine,2,0,Image 1,1,1,100000002,610000004440,
126,,Spine,2,3,Image 1,2,1,100000001,610000004442,
56,,Spine,2,0,Image 1,1,1,100000002,610000004456,
332,,Spine,2,5,Image 1,4,1,100000001,610000004460,
80,,Spine,2,1,Image 1,2,1,100000001,610000004466,
141,,Spine,2,0,Image 1,1,1,100000000,610000004486,
62,,Spine,2,0,Image 1,1,1,100000000,610000004493,
3889,,Spine,2,4,Image 1,3,1,100000000,610000004494,
109,,Spine,2,3,Image 1,3,1,100000000,610000004495,
231,,Spine,2,0,Image 1,1,1,100000000,610000004496,
38,,Spine,2,5,Image 1,4,1,100000000,610000004497,
99,,Spine,2,7,Image 1,1,1,100000000,610000004498,
108,,Spine,2,5,Image 1,1,1,100000000,610000004499,
58,,Spine,2,5,Image 1,2,1,100000000,610000004500,
39,,Spine,2,5,Image 1,3,1,100000000,610000004501,
123,,Spine,2,4,Image 1,4,1,100000000,610000004502,
58,,Spine,2,4,Image 1,3,1,100000000,610000004503,
110,,Spine,2,1,Image 1,1,1,100000000,610000004504,
14756,,Spine,2,0,Image 1,1,1,100000000,610000004506,
90,,Spine,2,2,Image 1,2,1,100000001,610000004507,
109,,Spine,2,7,Image 1,3,1,100000001,610000004508,
76,,Spine,2,7,Image 1,3,1,100000001,610000004509,
170,,Spine,2,5,Image 1,1,1,100000001,610000004510,
241,,Spine,2,5,Image 1,1,1,100000001,610000004511,
108,,Spine,2,5,Image 1,1,1,100000001,610000004512,
50,,Spine,2,6,Image 1,3,1,100000001,610000004513,
72,,Spine,2,6,Image 1,3,1,100000001,610000004514,
86,,Spine,2,3,Image 1,2,1,100000001,610000004515,
247,,Spine,2,2,Image 1,1,1,100000001,610000004516,
112,,Spine,2,2,Image 1,2,1,100000001,610000004517,
174,,Spine,2,1,Image 1,1,1,100000001,610000004518,
754,,Spine,2,1,Image 1,1,1,100000001,610000004519,
1153,,Spine,2,1,Image 1,1,1,100000001,610000004520,
140,,Spine,2,1,Image 1,1,1,100000001,610000004521,
89,,Spine,2,5,Image 1,4,1,100000001,610000004524,
76,,Spine,2,5,Image 1,4,1,100000001,610000004525,
107,,Spine,2,5,Image 1,3,1,100000001,610000004526,
304,,Spine,2,7,Image 1,3,1,100000001,610000004527,
11090,,Spine,2,6,Image 1,4,1,100000001,610000004528,
8073,,Spine,2,6,Image 1,4,1,100000001,610000004529,
6411,,Spine,2,5,Image 1,3,1,100000001,610000004530,
41,,Spine,2,5,Image 1,4,1,100000001,610000004531,
160,,Spine,2,3,Image 1,2,1,100000001,610000004532,
29,,Spine,2,2,Image 1,2,1,100000001,610000004533,
83,,Spine,2,0,Image 1,1,1,100000001,610000004534,
53,,Spine,2,1,Image 1,2,1,100000001,610000004535,
97,,Spine,2,2,Image 1,2,1,100000002,610000004536,
78,,Spine,2,2,Image 1,3,1,100000002,610000004546,
