
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,6,Image 1,5,1,100000005,510000000009,
134,,Segment,3,5,Image 1,4,1,100000005,510000000066,
132,,Segment,3,4,Image 1,3,1,100000005,510000000112,
137,,Segment,3,3,Image 1,2,1,100000005,510000000114,
110,,Segment,3,2,Image 1,1,1,100000005,510000000116,
126,,Segment,3,1,Image 1,1,1,100000005,510000000122,
149,,Segment,3,0,Image 1,1,1,100000005,510000000138,
17,,Segment,3,6,Image 1,4,1,100000005,510000000152,
100,,Segment,3,8,Image 1,4,1,100000004,510000000186,
102,,Segment,3,7,Image 1,3,1,100000004,510000000190,
72,,Segment,3,6,Image 1,2,1,100000004,510000000192,
108,,Segment,3,5,Image 1,2,1,100000004,510000000216,
87,,Segment,3,4,Image 1,2,1,100000004,510000000250,
135,,Segment,3,3,Image 1,1,1,100000004,510000000257,
135,,Segment,3,2,Image 1,1,1,100000004,510000000265,
101,,Segment,3,1,Image 1,1,1,100000004,510000000278,
103,,Segment,3,0,Image 1,1,1,100000004,510000000293,
181,,Segment,3,5,Image 1,5,1,100000004,510000000338,
93,,Segment,3,4,Image 1,4,1,100000004,510000000355,
141,,Segment,3,3,Image 1,3,1,100000004,510000000435,
96,,Segment,3,2,Image 1,3,1,100000004,510000000445,
149,,Segment,3,1,Image 1,2,1,100000004,510000000478,
113,,Segment,3,0,Image 1,1,1,100000004,510000000483,
200,,Segment,3,1,Image 1,1,1,100000003,510000000519,
199,,Segment,3,0,Image 1,1,1,100000003,510000000557,
86,,Segment,3,5,Image 1,5,1,100000004,510000000628,
128,,Segment,3,4,Image 1,4,1,100000004,510000000633,
128,,Segment,3,3,Image 1,4,1,100000004,510000000641,
89,,Segment,3,2,Image 1,3,1,100000004,510000000693,
123,,Segment,3,1,Image 1,2,1,100000004,510000000703,
148,,Segment,3,0,Image 1,1,1,100000004,510000000718,
176,,Segment,3,16,Image 1,6,1,100000005,510000000763,
131,,Segment,3,15,Image 1,5,1,100000005,510000000777,
151,,Segment,3,14,Image 1,5,1,100000005,510000000781,
133,,Segment,3,13,Image 1,5,1,100000005,510000000808,
111,,Segment,3,12,Image 1,4,1,100000005,510000000812,
132,,Segment,3,11,Image 1,3,1,100000005,510000000814,
137,,Segment,3,10,Image 1,3,1,100000005,510000000821,
72,,Segment,3,9,Image 1,3,1,100000005,510000000823,
85,,Segment,3,8,Image 1,3,1,100000005,510000000848,
158,,Segment,3,7,Image 1,2,1,100000005,510000000868,
140,,Segment,3,6,Image 1,2,1,100000005,510000000893,
117,,Segment,3,5,Image 1,2,1,100000005,510000000895,
144,,Segment,3,4,Image 1,2,1,100000005,510000000925,
158,,Segment,3,3,Image 1,1,1,100000005,510000000928,
145,,Segment,3,1,Image 1,1,1,100000005,510000000943,
145,,Segment,3,0,Image 1,1,1,100000005,510000000948,
