
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
62.1712,°,Spine,0,1,1,100000006,610000011236,
67.9762,°,Spine,6,2,1,100000005,610000011270,
66.8845,°,Spine,5,2,1,100000001,610000011273,
100.281,°,Spine,5,4,1,100000004,610000011298,
90.696,°,Spine,2,2,1,100000004,610000011304,
92.3776,°,Spine,7,3,1,100000000,610000011306,
61.9393,°,Spine,13,7,1,100000001,610000011323,
78.2463,°,Spine,4,2,1,100000003,610000011327,
70.9568,°,Spine,5,4,1,100000004,610000011329,
90.925,°,Spine,9,4,1,100000005,610000011333,
84.6971,°,Spine,0,1,1,100000003,610000011347,
70.9901,°,Spine,0,1,1,100000003,610000011357,
81.0987,°,Spine,1,1,1,100000004,610000011371,
61.476,°,Spine,0,1,1,100000000,610000011418,
76.2398,°,Spine,5,2,1,100000004,610000011429,
27.7938,°,Spine,1,2,1,100000000,610000011433,
129.446,°,Spine,6,1,1,100000000,610000011441,
79.2311,°,Spine,5,2,1,100000001,610000011445,
70.3284,°,Spine,4,2,1,100000000,610000011453,
42.797,°,Spine,1,2,1,100000000,610000011457,
97.6495,°,Spine,5,5,1,100000004,610000011461,
70.8886,°,Spine,4,3,1,100000003,610000011466,
68.0024,°,Spine,4,2,1,100000005,610000011480,
80.1129,°,Spine,0,1,1,100000005,610000011482,
82.2272,°,Spine,13,5,1,100000001,610000011489,
83.0265,°,Spine,3,1,1,100000000,610000011491,
75.8157,°,Spine,2,2,1,100000003,610000011493,
84.8646,°,Spine,7,3,1,100000005,610000011495,
38.5499,°,Spine,0,1,1,100000001,610000011499,
12.5098,°,Spine,0,1,1,100000005,610000011508,
93.5833,°,Spine,7,2,1,100000005,610000011510,
81.0912,°,Spine,0,1,1,100000006,610000011520,
85.9282,°,Spine,3,1,1,100000002,610000011523,
76.309,°,Spine,1,1,1,100000004,610000011528,
71.4525,°,Spine,9,4,1,100000006,610000011532,
89.4965,°,Spine,10,3,1,100000005,610000011541,
