
Spine Part Max Diameter Ground
 ==================== 
Spine Part Max Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.09337,µm,Spine,Spine Part Max Diameter,7,4,1,100000005,610000011232,
1.46991,µm,Spine,Spine Part Max Diameter,0,1,1,100000006,610000011236,
0.945111,µm,Spine,Spine Part Max Diameter,4,1,1,100000004,610000011248,
1.09922,µm,Spine,Spine Part Max Diameter,7,2,1,100000005,610000011255,
1.20398,µm,Spine,Spine Part Max Diameter,9,5,1,100000006,610000011263,
1.20398,µm,Spine,Spine Part Max Diameter,9,5,1,100000006,610000011268,
1.34497,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011270,
1.01415,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000011273,
0.945111,µm,Spine,Spine Part Max Diameter,4,1,1,100000004,610000011281,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011289,
0.994177,µm,Spine,Spine Part Max Diameter,5,4,1,100000004,610000011296,
0.858778,µm,Spine,Spine Part Max Diameter,5,4,1,100000004,610000011298,
0.778901,µm,Spine,Spine Part Max Diameter,8,4,1,100000006,610000011300,
0.833333,µm,Spine,Spine Part Max Diameter,2,2,1,100000004,610000011304,
0.888804,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000011306,
0.625,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011311,
0.945111,µm,Spine,Spine Part Max Diameter,4,1,1,100000004,610000011318,
1.20398,µm,Spine,Spine Part Max Diameter,9,5,1,100000006,610000011320,
0.833333,µm,Spine,Spine Part Max Diameter,13,7,1,100000001,610000011323,
0.934159,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011327,
0.825982,µm,Spine,Spine Part Max Diameter,5,4,1,100000004,610000011329,
1.51042,µm,Spine,Spine Part Max Diameter,9,4,1,100000005,610000011333,
1.39538,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000011339,
1.19985,µm,Spine,Spine Part Max Diameter,15,2,1,100000001,610000011343,
0.988541,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000011347,
0.956068,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000011351,
1.14452,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000011354,
1.21228,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000011357,
0.90481,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011361,
1.83635,µm,Spine,Spine Part Max Diameter,2,1,1,100000004,610000011364,
1.09922,µm,Spine,Spine Part Max Diameter,7,2,1,100000005,610000011368,
1.13917,µm,Spine,Spine Part Max Diameter,1,1,1,100000004,610000011371,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011378,
1.39538,µm,Spine,Spine Part Max Diameter,5,3,1,100000001,610000011383,
0.731583,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000011387,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011394,
0.625,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011400,
0.991503,µm,Spine,Spine Part Max Diameter,2,3,1,100000006,610000011406,
1.26313,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011409,
2.22463,µm,Spine,Spine Part Max Diameter,4,2,1,100000006,610000011412,
1.37138,µm,Spine,Spine Part Max Diameter,0,1,1,100000006,610000011415,
0.977436,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011418,
1.41374,µm,Spine,Spine Part Max Diameter,4,3,1,100000006,610000011422,
1.45833,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011427,
1.03524,µm,Spine,Spine Part Max Diameter,5,2,1,100000004,610000011429,
1.27592,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000011433,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011438,
1.16543,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000011441,
1.36529,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000011445,
1.48929,µm,Spine,Spine Part Max Diameter,9,4,1,100000002,610000011450,
0.773729,µm,Spine,Spine Part Max Diameter,4,2,1,100000000,610000011453,
0.930961,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000011457,
0.964162,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011459,
0.634484,µm,Spine,Spine Part Max Diameter,5,5,1,100000004,610000011461,
0.945111,µm,Spine,Spine Part Max Diameter,4,1,1,100000004,610000011464,
1.28161,µm,Spine,Spine Part Max Diameter,4,3,1,100000003,610000011466,
1.1792,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011472,
1.45833,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011478,
1.31965,µm,Spine,Spine Part Max Diameter,4,2,1,100000005,610000011480,
1.93456,µm,Spine,Spine Part Max Diameter,0,1,1,100000005,610000011482,
1.71719,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011487,
0.833471,µm,Spine,Spine Part Max Diameter,13,5,1,100000001,610000011489,
0.990415,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000011491,
1.03694,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000011493,
1.17156,µm,Spine,Spine Part Max Diameter,7,3,1,100000005,610000011495,
1.23517,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011499,
1.30843,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011505,
0.86933,µm,Spine,Spine Part Max Diameter,0,1,1,100000005,610000011508,
1.06272,µm,Spine,Spine Part Max Diameter,7,2,1,100000005,610000011510,
0.921513,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011513,
0.833333,µm,Spine,Spine Part Max Diameter,5,1,1,100000006,610000011516,
1.3275,µm,Spine,Spine Part Max Diameter,0,1,1,100000006,610000011520,
0.98192,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000011523,
2.17335,µm,Spine,Spine Part Max Diameter,1,1,1,100000004,610000011528,
1.45833,µm,Spine,Spine Part Max Diameter,9,4,1,100000006,610000011532,
1.41374,µm,Spine,Spine Part Max Diameter,4,3,1,100000006,610000011535,
1.14452,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000011538,
1.20182,µm,Spine,Spine Part Max Diameter,10,3,1,100000005,610000011541,
0.875651,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011546,
1.02433,µm,Spine,Spine Part Max Diameter,4,1,1,100000006,610000011548,
1.06607,µm,Spine,Spine Part Max Diameter,5,2,1,100000005,610000011550,
1.41116,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000011552,
1.05687,µm,Spine,Spine Part Max Diameter,14,2,1,100000001,610000011555,
1.35184,µm,Spine,Spine Part Max Diameter,5,4,1,100000001,610000011557,
1.05712,µm,Spine,Spine Part Max Diameter,13,5,1,100000005,610000011559,
0.978975,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000011561,
0.926501,µm,Spine,Spine Part Max Diameter,1,2,1,100000003,610000011563,
1.07117,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000011569,
2.4424,µm,Spine,Spine Part Max Diameter,1,1,1,100000005,610000011575,
1.26823,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011577,
1.00852,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011580,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011584,
2.03395,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011586,
0.893155,µm,Spine,Spine Part Max Diameter,7,3,1,100000003,610000011588,
1.33065,µm,Spine,Spine Part Max Diameter,4,2,1,100000005,610000011591,
1.64981,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000011593,
1.22042,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000011595,
1.12217,µm,Spine,Spine Part Max Diameter,3,3,1,100000005,610000011597,
1.40473,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011602,
0.898438,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011608,
1.30208,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000011611,
0.80649,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011614,
1.15236,µm,Spine,Spine Part Max Diameter,5,2,1,100000005,610000011617,
1.54678,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011620,
1.8246,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011622,
0.833333,µm,Spine,Spine Part Max Diameter,2,3,1,100000000,610000011632,
1.42709,µm,Spine,Spine Part Max Diameter,6,2,1,100000005,610000011635,
0.833333,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011637,
1.40473,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000011639,
1.55599,µm,Spine,Spine Part Max Diameter,4,2,1,100000006,610000011641,
1.36125,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011645,
0.507812,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011648,
1.04167,µm,Spine,Spine Part Max Diameter,5,4,1,100000005,610000011652,
1.61715,µm,Spine,Spine Part Max Diameter,1,1,1,100000005,610000011656,
1.2904,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000011659,
1.40038,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011661,
1.09337,µm,Spine,Spine Part Max Diameter,7,4,1,100000005,610000011665,
1.45833,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011670,
1.20397,µm,Spine,Spine Part Max Diameter,4,2,1,100000005,610000011673,
1.25,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011678,
0.625,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000011680,
0.859889,µm,Spine,Spine Part Max Diameter,2,1,1,100000006,610000011700,
0.90726,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011705,
1.18126,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011716,
0.93869,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000011718,
1.66667,µm,Spine,Spine Part Max Diameter,4,2,1,100000003,610000011728,
1.53545,µm,Spine,Spine Part Max Diameter,1,1,1,100000004,610000011760,
0.887037,µm,Spine,Spine Part Max Diameter,8,3,1,100000006,610000011764,
0.975951,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011820,
1.12026,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011821,
0.572917,µm,Spine,Spine Part Max Diameter,5,4,1,100000000,610000011822,
0.833333,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000011823,
0.754905,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000011824,
1.30993,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000011825,
0.936935,µm,Spine,Spine Part Max Diameter,5,2,1,100000000,610000011826,
0.894927,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000011827,
0.933941,µm,Spine,Spine Part Max Diameter,3,3,1,100000000,610000011828,
1.17349,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000011829,
0.989282,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000011830,
1.05264,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000011831,
0.926653,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000011832,
0.833333,µm,Spine,Spine Part Max Diameter,15,5,1,100000001,610000011834,
0.903731,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011835,
0.706239,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000011836,
0.896591,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000011837,
0.89446,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000011838,
1.27314,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000011839,
1.27314,µm,Spine,Spine Part Max Diameter,11,3,1,100000001,610000011840,
1.17904,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000011841,
