
Spine Center Intensity Sum Ch=5 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Spine,5,2,Image 1,1,1,100000002,610000005120,
13,,Spine,5,1,Image 1,1,1,100000001,610000005127,
12,,Spine,5,1,Image 1,1,1,100000001,610000005134,
1,,Spine,5,3,Image 1,3,1,100000001,610000005137,
13,,Spine,5,3,Image 1,2,1,100000001,610000005143,
11,,Spine,5,9,Image 1,7,1,100000001,610000005148,
7,,Spine,5,4,Image 1,3,1,100000000,610000005151,
6,,Spine,5,1,Image 1,1,1,100000002,610000005154,
6,,Spine,5,2,Image 1,1,1,100000002,610000005156,
23,,Spine,5,1,Image 1,2,1,100000002,610000005158,
2,,Spine,5,8,Image 1,3,1,100000000,610000005163,
19,,Spine,5,2,Image 1,2,1,100000000,610000005167,
4,,Spine,5,6,Image 1,3,1,100000000,610000005170,
10,,Spine,5,0,Image 1,1,1,100000000,610000005172,
13,,Spine,5,1,Image 1,2,1,100000002,610000005174,
14,,Spine,5,5,Image 1,2,1,100000000,610000005176,
5,,Spine,5,0,Image 1,1,1,100000002,610000005178,
6,,Spine,5,2,Image 1,1,1,100000000,610000005181,
11,,Spine,5,0,Image 1,1,1,100000001,610000005184,
11,,Spine,5,9,Image 1,7,1,100000000,610000005186,
4,,Spine,5,0,Image 1,1,1,100000001,610000005189,
16,,Spine,5,2,Image 1,2,1,100000000,610000005192,
8,,Spine,5,0,Image 1,1,1,100000000,610000005198,
28,,Spine,5,3,Image 1,3,1,100000000,610000005200,
17,,Spine,5,11,Image 1,7,1,100000001,610000005202,
5,,Spine,5,0,Image 1,1,1,100000000,610000005204,
86,,Spine,5,2,Image 1,1,1,100000002,610000005207,
8,,Spine,5,3,Image 1,2,1,100000001,610000005211,
10,,Spine,5,5,Image 1,3,1,100000000,610000005213,
4,,Spine,5,1,Image 1,1,1,100000001,610000005215,
16,,Spine,5,9,Image 1,7,1,100000001,610000005219,
9,,Spine,5,6,Image 1,3,1,100000001,610000005222,
8,,Spine,5,6,Image 1,3,1,100000000,610000005233,
6,,Spine,5,10,Image 1,4,1,100000000,610000005236,
18,,Spine,5,3,Image 1,2,1,100000002,610000005238,
6,,Spine,5,10,Image 1,4,1,100000000,610000005240,
3,,Spine,5,3,Image 1,2,1,100000001,610000005242,
