
Spine Terminal Pt Position Z
 ==================== 
Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1552.23,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000005120,
1552.23,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000005127,
1551.73,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000005134,
1555.73,µm,Spine,Spine Terminal Pt Position,3,3,1,100000001,610000005137,
1556.72,µm,Spine,Spine Terminal Pt Position,3,2,1,100000001,610000005143,
1540.23,µm,Spine,Spine Terminal Pt Position,9,7,1,100000001,610000005148,
1554.23,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000005151,
1540.23,µm,Spine,Spine Terminal Pt Position,1,1,1,100000002,610000005154,
1547.73,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000005156,
1540.23,µm,Spine,Spine Terminal Pt Position,1,2,1,100000002,610000005158,
1553.23,µm,Spine,Spine Terminal Pt Position,8,3,1,100000000,610000005163,
1558.23,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000005167,
1541.7,µm,Spine,Spine Terminal Pt Position,6,3,1,100000000,610000005170,
1540.73,µm,Spine,Spine Terminal Pt Position,1,2,1,100000002,610000005174,
1542.23,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000005176,
1540.23,µm,Spine,Spine Terminal Pt Position,0,1,1,100000002,610000005178,
1547.73,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000005181,
1553.73,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000005184,
1551.73,µm,Spine,Spine Terminal Pt Position,9,7,1,100000000,610000005186,
1554.23,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000005189,
1557.73,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000005192,
1545.73,µm,Spine,Spine Terminal Pt Position,3,3,1,100000000,610000005200,
1548.73,µm,Spine,Spine Terminal Pt Position,11,7,1,100000001,610000005202,
1540.23,µm,Spine,Spine Terminal Pt Position,2,1,1,100000002,610000005207,
1554.73,µm,Spine,Spine Terminal Pt Position,3,2,1,100000001,610000005211,
1543.73,µm,Spine,Spine Terminal Pt Position,5,3,1,100000000,610000005213,
1554.73,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000005215,
1540.4,µm,Spine,Spine Terminal Pt Position,9,7,1,100000001,610000005219,
1553.73,µm,Spine,Spine Terminal Pt Position,6,3,1,100000001,610000005222,
1554.73,µm,Spine,Spine Terminal Pt Position,6,3,1,100000000,610000005233,
1540.23,µm,Spine,Spine Terminal Pt Position,10,4,1,100000000,610000005236,
1554.23,µm,Spine,Spine Terminal Pt Position,3,2,1,100000002,610000005238,
1542.23,µm,Spine,Spine Terminal Pt Position,10,4,1,100000000,610000005240,
1556.73,µm,Spine,Spine Terminal Pt Position,3,2,1,100000001,610000005242,
1545.73,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000005244,
1544.23,µm,Spine,Spine Terminal Pt Position,4,2,1,100000000,610000005246,
1554.73,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000005248,
1554.23,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000005250,
1555.23,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000005252,
1544.73,µm,Spine,Spine Terminal Pt Position,4,2,1,100000000,610000005254,
1542.73,µm,Spine,Spine Terminal Pt Position,8,3,1,100000001,610000005258,
1548.73,µm,Spine,Spine Terminal Pt Position,8,6,1,100000001,610000005270,
1549.43,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000005272,
1550.73,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000005274,
1544.73,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000005277,
1540.73,µm,Spine,Spine Terminal Pt Position,6,3,1,100000000,610000005297,
1544.73,µm,Spine,Spine Terminal Pt Position,4,2,1,100000001,610000005348,
1547.87,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000005464,
1556.73,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000005464,
1541.73,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000005464,
1555.73,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000005465,
1540.55,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000005465,
1543.48,µm,Spine,Spine Terminal Pt Position,3,3,1,,610000005465,
1540.41,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000005466,
1557.23,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000005466,
1544.23,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000005467,
1543.23,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000005467,
1540.38,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000005468,
1541.23,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000005468,
1543.23,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000005468,
1542.68,µm,Spine,Spine Terminal Pt Position,11,3,1,,610000005469,
1540.73,µm,Spine,Spine Terminal Pt Position,7,4,1,,610000005469,
1541.23,µm,Spine,Spine Terminal Pt Position,10,2,1,,610000005470,
1543.73,µm,Spine,Spine Terminal Pt Position,7,4,1,,610000005470,
1557.23,µm,Spine,Spine Terminal Pt Position,9,5,1,,610000005471,
1549.26,µm,Spine,Spine Terminal Pt Position,13,9,1,,610000005471,
1556.23,µm,Spine,Spine Terminal Pt Position,9,5,1,,610000005472,
1549.39,µm,Spine,Spine Terminal Pt Position,13,9,1,,610000005472,
1552.23,µm,Spine,Spine Terminal Pt Position,10,6,1,,610000005473,
1555.63,µm,Spine,Spine Terminal Pt Position,9,5,1,,610000005473,
1549.73,µm,Spine,Spine Terminal Pt Position,9,6,1,,610000005474,
1554.23,µm,Spine,Spine Terminal Pt Position,10,7,1,,610000005474,
1554.73,µm,Spine,Spine Terminal Pt Position,9,7,1,,610000005475,
1552.22,µm,Spine,Spine Terminal Pt Position,8,6,1,,610000005475,
1554.73,µm,Spine,Spine Terminal Pt Position,10,6,1,,610000005476,
1551.73,µm,Spine,Spine Terminal Pt Position,9,7,1,,610000005476,
1556.73,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000005477,
1551.73,µm,Spine,Spine Terminal Pt Position,9,7,1,,610000005477,
1557.23,µm,Spine,Spine Terminal Pt Position,4,4,1,,610000005478,
1551.23,µm,Spine,Spine Terminal Pt Position,13,8,1,,610000005478,
1554.73,µm,Spine,Spine Terminal Pt Position,4,4,1,,610000005479,
1554.73,µm,Spine,Spine Terminal Pt Position,11,9,1,,610000005479,
1546.26,µm,Spine,Spine Terminal Pt Position,9,6,1,,610000005480,
1556.63,µm,Spine,Spine Terminal Pt Position,12,9,1,,610000005480,
1552.73,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000005481,
1540.23,µm,Spine,Spine Terminal Pt Position,9,7,1,,610000005481,
1550.23,µm,Spine,Spine Terminal Pt Position,1,2,1,,610000005482,
1552.23,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000005482,
1548.69,µm,Spine,Spine Terminal Pt Position,9,3,1,,610000005483,
1551.23,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000005483,
1549.23,µm,Spine,Spine Terminal Pt Position,9,3,1,,610000005484,
1547.67,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000005484,
1547.73,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000005485,
1544.5,µm,Spine,Spine Terminal Pt Position,9,4,1,,610000005485,
1553.23,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000005486,
1546.23,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000005486,
1553.73,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000005487,
1555.23,µm,Spine,Spine Terminal Pt Position,4,4,1,,610000005487,
1557.73,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000005488,
1556.23,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000005488,
1556.73,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000005489,
1556.03,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000005489,
1549.23,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000005490,
1551.23,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000005491,
1542.73,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000005492,
1547.23,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000005493,
1541.73,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000005494,
1549.56,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000005495,
