
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.92087,,Segment,2,3,Image 1,2,1,100000004,510000000027,
0.471405,,Segment,2,2,Image 1,1,1,100000004,510000000029,
0.832993,,Segment,2,1,Image 1,1,1,100000004,510000000035,
1,,Segment,2,0,Image 1,1,1,100000004,510000000048,
16.5943,,Segment,2,21,Image 1,7,1,100000001,510000000095,
59.7493,,Segment,2,20,Image 1,6,1,100000001,510000000110,
7.83786,,Segment,2,19,Image 1,6,1,100000001,510000000118,
2,,Segment,2,18,Image 1,6,1,100000001,510000000121,
3.75185,,Segment,2,17,Image 1,6,1,100000001,510000000144,
1.6,,Segment,2,16,Image 1,5,1,100000001,510000000178,
2.17212,,Segment,2,15,Image 1,4,1,100000001,510000000217,
0.707107,,Segment,2,14,Image 1,3,1,100000001,510000000220,
2.78089,,Segment,2,13,Image 1,3,1,100000001,510000000249,
1.24722,,Segment,2,12,Image 1,3,1,100000001,510000000251,
36.1288,,Segment,2,11,Image 1,3,1,100000001,510000000283,
1.67631,,Segment,2,9,Image 1,3,1,100000001,510000000293,
1.19226,,Segment,2,8,Image 1,3,1,100000001,510000000303,
0.687184,,Segment,2,7,Image 1,3,1,100000001,510000000308,
3.06179,,Segment,2,6,Image 1,3,1,100000001,510000000341,
1.0274,,Segment,2,5,Image 1,3,1,100000001,510000000352,
14.0086,,Segment,2,4,Image 1,3,1,100000001,510000000356,
8.08378,,Segment,2,3,Image 1,2,1,100000001,510000000395,
1.28,,Segment,2,2,Image 1,1,1,100000001,510000000419,
9.12816,,Segment,2,1,Image 1,1,1,100000001,510000000441,
2.78263,,Segment,2,0,Image 1,1,1,100000001,510000000469,
58.4473,,Segment,2,23,Image 1,7,1,100000001,510000000487,
0.942809,,Segment,2,22,Image 1,6,1,100000001,510000000489,
10.2723,,Segment,2,21,Image 1,6,1,100000001,510000000499,
1.58114,,Segment,2,24,Image 1,7,1,100000001,510000000502,
