
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,3,2,1,100000004,510000000027,
0,,Segment,2,1,1,100000004,510000000029,
0,,Segment,1,1,1,100000004,510000000035,
0,,Segment,0,1,1,100000004,510000000048,
0,,Segment,21,7,1,100000001,510000000095,
0,,Segment,20,6,1,100000001,510000000110,
0,,Segment,19,6,1,100000001,510000000118,
0,,Segment,18,6,1,100000001,510000000121,
0,,Segment,17,6,1,100000001,510000000144,
0,,Segment,16,5,1,100000001,510000000178,
0,,Segment,15,4,1,100000001,510000000217,
0,,Segment,14,3,1,100000001,510000000220,
0,,Segment,13,3,1,100000001,510000000249,
0,,Segment,12,3,1,100000001,510000000251,
0,,Segment,11,3,1,100000001,510000000283,
0,,Segment,9,3,1,100000001,510000000293,
0,,Segment,8,3,1,100000001,510000000303,
0,,Segment,7,3,1,100000001,510000000308,
0,,Segment,6,3,1,100000001,510000000341,
0,,Segment,5,3,1,100000001,510000000352,
0,,Segment,4,3,1,100000001,510000000356,
1,,Segment,3,2,1,100000001,510000000395,
2,,Segment,2,1,1,100000001,510000000419,
1,,Segment,1,1,1,100000001,510000000441,
0,,Segment,0,1,1,100000001,510000000469,
0,,Segment,23,7,1,100000001,510000000487,
0,,Segment,22,6,1,100000001,510000000489,
0,,Segment,21,6,1,100000001,510000000499,
0,,Segment,24,7,1,100000001,510000000502,
0,,Segment,24,6,1,100000001,510000000505,
0,,Segment,22,7,1,100000001,510000000507,
0,,Segment,20,8,1,100000001,510000000513,
0,,Segment,19,7,1,100000001,510000000526,
0,,Segment,18,7,1,100000001,510000000541,
0,,Segment,20,7,1,100000001,510000000546,
0,,Segment,13,6,1,100000001,510000000559,
0,,Segment,12,5,1,100000001,510000000579,
0,,Segment,11,4,1,100000001,510000000588,
1,,Segment,10,4,1,100000001,510000000603,
0,,Segment,9,4,1,100000001,510000000620,
0,,Segment,17,5,1,100000001,510000000642,
0,,Segment,14,6,1,100000001,510000000661,
0,,Segment,13,5,1,100000001,510000000666,
0,,Segment,12,4,1,100000001,510000000673,
3,,Segment,3,2,1,100000002,510000000704,
0,,Segment,2,2,1,100000002,510000000765,
4,,Segment,1,1,1,100000002,510000000792,
0,,Segment,0,1,1,100000002,510000000800,
0,,Segment,3,3,1,100000002,510000000813,
0,,Segment,8,7,1,100000001,510000000826,
0,,Segment,7,6,1,100000001,510000000833,
0,,Segment,5,4,1,100000001,510000000853,
0,,Segment,4,3,1,100000001,510000000857,
0,,Segment,3,2,1,100000001,510000000909,
1,,Segment,2,1,1,100000001,510000000921,
0,,Segment,1,1,1,100000001,510000000923,
0,,Segment,0,1,1,100000001,510000000943,
0,,Segment,8,6,1,100000001,510000000945,
0,,Segment,16,5,1,100000001,510000000981,
0,,Segment,15,4,1,100000001,510000001009,
0,,Segment,14,4,1,100000001,510000001046,
0,,Segment,16,4,1,100000001,510000001061,
4,,Segment,6,4,1,100000001,510000001124,
1,,Segment,13,6,1,100000001,510000001139,
1,,Segment,12,5,1,100000001,510000001154,
0,,Segment,11,5,1,100000001,510000001206,
0,,Segment,14,6,1,100000001,510000001211,
2,,Segment,13,5,1,100000001,510000001223,
0,,Segment,14,5,1,100000001,510000001225,
0,,Segment,6,4,1,100000001,510000001231,
0,,Segment,7,5,1,100000001,510000001233,
0,,Segment,5,2,1,100000001,510000001237,
0,,Segment,5,3,1,100000001,510000001241,
0,,Segment,5,3,1,100000001,510000001244,
0,,Segment,15,5,1,100000001,510000001260,
0,,Segment,12,6,1,100000001,510000001275,
0,,Segment,14,6,1,100000001,510000001318,
1,,Segment,13,5,1,100000001,510000001330,
0,,Segment,7,6,1,100000000,510000001348,
0,,Segment,6,5,1,100000000,510000001358,
0,,Segment,5,5,1,100000000,510000001376,
1,,Segment,4,4,1,100000000,510000001381,
0,,Segment,3,3,1,100000000,510000001383,
0,,Segment,2,3,1,100000000,510000001424,
3,,Segment,1,2,1,100000000,510000001437,
0,,Segment,0,1,1,100000000,510000001445,
0,,Segment,6,6,1,100000000,510000001474,
0,,Segment,5,4,1,100000001,510000001493,
1,,Segment,2,3,1,100000001,510000001531,
0,,Segment,1,2,1,100000001,510000001538,
4,,Segment,0,1,1,100000001,510000001549,
0,,Segment,12,2,1,100000003,510000001570,
0,,Segment,11,2,1,100000003,510000001579,
1,,Segment,10,1,1,100000003,510000001583,
0,,Segment,9,1,1,100000003,510000001601,
1,,Segment,8,1,1,100000003,510000001614,
1,,Segment,7,1,1,100000003,510000001624,
0,,Segment,6,1,1,100000003,510000001632,
0,,Segment,5,1,1,100000003,510000001638,
1,,Segment,4,1,1,100000003,510000001656,
0,,Segment,3,1,1,100000003,510000001664,
0,,Segment,2,1,1,100000003,510000001667,
0,,Segment,1,1,1,100000003,510000001673,
0,,Segment,0,1,1,100000003,510000001685,
0,,Segment,12,4,1,100000001,510000001719,
0,,Segment,13,4,1,100000001,510000001729,
0,,Segment,15,3,1,100000001,510000001731,
0,,Segment,14,5,1,100000001,510000001749,
1,,Segment,14,5,1,100000001,510000001774,
0,,Segment,13,4,1,100000001,510000001779,
0,,Segment,13,4,1,100000001,510000001781,
1,,Segment,10,4,1,100000001,510000001790,
0,,Segment,10,5,1,100000001,510000001796,
0,,Segment,11,4,1,100000001,510000001799,
0,,Segment,8,4,1,100000001,510000001813,
0,,Segment,7,4,1,100000001,510000001821,
0,,Segment,4,2,1,100000001,510000001823,
0,,Segment,17,2,1,100000003,510000001915,
0,,Segment,16,1,1,100000003,510000001923,
1,,Segment,15,1,1,100000003,510000001932,
2,,Segment,13,1,1,100000003,510000001971,
0,,Segment,11,1,1,100000003,510000001988,
0,,Segment,3,3,1,100000003,510000002019,
0,,Segment,1,2,1,100000003,510000002037,
4,,Segment,0,1,1,100000003,510000002048,
0,,Segment,3,4,1,100000003,510000002072,
0,,Segment,2,3,1,100000003,510000002095,
0,,Segment,1,2,1,100000003,510000002128,
0,,Segment,0,1,1,100000003,510000002134,
0,,Segment,4,4,1,100000003,510000002139,
0,,Segment,3,3,1,100000003,510000002143,
0,,Segment,4,3,1,100000003,510000002146,
0,,Segment,2,2,1,100000002,510000002169,
0,,Segment,1,1,1,100000002,510000002212,
0,,Segment,0,1,1,100000002,510000002224,
3,,Segment,4,2,1,100000003,510000002241,
1,,Segment,3,2,1,100000003,510000002289,
1,,Segment,2,1,1,100000003,510000002308,
0,,Segment,1,1,1,100000003,510000002314,
0,,Segment,2,1,1,100000002,510000002334,
0,,Segment,15,3,1,100000003,510000002351,
0,,Segment,14,2,1,100000003,510000002368,
1,,Segment,13,2,1,100000003,510000002441,
0,,Segment,8,1,1,100000000,510000002498,
0,,Segment,7,1,1,100000000,510000002508,
0,,Segment,6,1,1,100000000,510000002512,
0,,Segment,5,1,1,100000000,510000002515,
0,,Segment,4,1,1,100000000,510000002526,
0,,Segment,3,1,1,100000000,510000002553,
3,,Segment,2,1,1,100000000,510000002577,
0,,Segment,1,1,1,100000000,510000002581,
0,,Segment,0,1,1,100000000,510000002596,
1,,Segment,6,3,1,100000000,510000002642,
0,,Segment,5,2,1,100000000,510000002648,
0,,Segment,4,1,1,100000000,510000002653,
1,,Segment,3,1,1,100000000,510000002662,
1,,Segment,2,1,1,100000000,510000002670,
0,,Segment,1,1,1,100000000,510000002679,
1,,Segment,0,1,1,100000000,510000002699,
0,,Segment,3,3,1,100000002,510000002718,
0,,Segment,2,2,1,100000002,510000002740,
0,,Segment,1,1,1,100000002,510000002745,
1,,Segment,0,1,1,100000002,510000002770,
0,,Segment,3,3,1,100000002,510000002838,
0,,Segment,1,2,1,100000002,510000002853,
0,,Segment,0,1,1,100000002,510000002879,
1,,Segment,9,5,1,100000000,510000002901,
1,,Segment,8,4,1,100000000,510000002917,
0,,Segment,7,3,1,100000000,510000002923,
0,,Segment,6,2,1,100000000,510000002926,
3,,Segment,5,1,1,100000000,510000002963,
0,,Segment,9,4,1,100000000,510000002968,
0,,Segment,8,4,1,100000000,510000002980,
0,,Segment,7,3,1,100000000,510000003032,
0,,Segment,5,2,1,100000000,510000003042,
0,,Segment,4,2,1,100000002,510000003057,
0,,Segment,3,1,1,100000002,510000003089,
0,,Segment,2,1,1,100000002,510000003110,
0,,Segment,6,5,1,100000003,510000003115,
1,,Segment,5,5,1,100000003,510000003127,
0,,Segment,4,4,1,100000003,510000003144,
0,,Segment,2,2,1,100000003,510000003158,
0,,Segment,6,6,1,100000003,510000003161,
2,,Segment,5,4,1,100000003,510000003167,
0,,Segment,6,2,1,100000000,510000003179,
0,,Segment,5,1,1,100000000,510000003183,
1,,Segment,4,1,1,100000000,510000003224,
3,,Segment,3,1,1,100000000,510000003252,
1,,Segment,2,1,1,100000000,510000003255,
0,,Segment,1,1,1,100000000,510000003258,
0,,Segment,4,2,1,100000000,510000003274,
2,,Segment,8,4,1,100000003,510000003294,
0,,Segment,7,3,1,100000003,510000003300,
0,,Segment,6,3,1,100000003,510000003312,
0,,Segment,5,3,1,100000003,510000003331,
0,,Segment,4,2,1,100000003,510000003375,
0,,Segment,3,1,1,100000003,510000003377,
0,,Segment,2,1,1,100000003,510000003382,
0,,Segment,1,1,1,100000003,510000003385,
0,,Segment,9,4,1,100000001,510000003433,
0,,Segment,8,3,1,100000001,510000003448,
0,,Segment,7,3,1,100000001,510000003462,
1,,Segment,6,3,1,100000001,510000003485,
0,,Segment,5,3,1,100000001,510000003487,
0,,Segment,4,3,1,100000001,510000003490,
0,,Segment,3,3,1,100000001,510000003499,
1,,Segment,2,3,1,100000001,510000003506,
0,,Segment,1,2,1,100000001,510000003509,
0,,Segment,0,1,1,100000001,510000003527,
1,,Segment,4,3,1,100000003,510000003546,
0,,Segment,3,3,1,100000003,510000003554,
0,,Segment,2,2,1,100000003,510000003559,
0,,Segment,4,4,1,100000003,510000003561,
0,,Segment,10,4,1,100000003,510000003564,
0,,Segment,9,3,1,100000003,510000003580,
0,,Segment,8,2,1,100000003,510000003659,
1,,Segment,7,1,1,100000003,510000003662,
0,,Segment,6,1,1,100000003,510000003667,
2,,Segment,3,1,1,100000003,510000003689,
0,,Segment,2,1,1,100000003,510000003704,
0,,Segment,1,1,1,100000003,510000003708,
1,,Segment,0,1,1,100000003,510000003721,
0,,Segment,10,3,1,100000003,510000003725,
0,,Segment,9,2,1,100000003,510000003727,
0,,Segment,1,2,1,100000002,510000003736,
0,,Segment,9,4,1,100000000,510000003750,
0,,Segment,8,4,1,100000000,510000003763,
0,,Segment,7,3,1,100000000,510000003773,
0,,Segment,6,2,1,100000000,510000003795,
0,,Segment,5,2,1,100000000,510000003819,
1,,Segment,5,5,1,100000001,510000003829,
0,,Segment,4,4,1,100000001,510000003870,
1,,Segment,3,4,1,100000001,510000003884,
0,,Segment,5,4,1,100000001,510000003898,
0,,Segment,4,2,1,100000002,510000003901,
1,,Segment,3,2,1,100000002,510000003917,
0,,Segment,4,3,1,100000002,510000003919,
2,,Segment,7,2,1,100000003,510000003971,
1,,Segment,12,3,1,100000003,510000003999,
0,,Segment,11,2,1,100000003,510000004003,
0,,Segment,10,2,1,100000003,510000004008,
0,,Segment,9,2,1,100000003,510000004025,
0,,Segment,8,3,1,100000001,510000004035,
0,,Segment,7,2,1,100000001,510000004049,
0,,Segment,6,2,1,100000001,510000004069,
0,,Segment,4,1,1,100000001,510000004072,
0,,Segment,2,3,1,100000003,510000004077,
0,,Segment,1,2,1,100000003,510000004105,
0,,Segment,0,1,1,100000003,510000004121,
0,,Segment,10,2,1,100000000,510000004126,
0,,Segment,9,2,1,100000000,510000004145,
0,,Segment,8,2,1,100000000,510000004148,
1,,Segment,7,2,1,100000000,510000004158,
0,,Segment,6,2,1,100000000,510000004174,
0,,Segment,9,3,1,100000000,510000004180,
0,,Segment,8,3,1,100000000,510000004182,
1,,Segment,3,2,1,100000003,510000004197,
0,,Segment,11,1,1,100000000,510000004205,
0,,Segment,10,1,1,100000000,510000004209,
0,,Segment,9,1,1,100000000,510000004212,
0,,Segment,8,1,1,100000000,510000004215,
0,,Segment,7,1,1,100000000,510000004256,
0,,Segment,6,1,1,100000000,510000004279,
0,,Segment,1,1,1,100000002,510000004287,
0,,Segment,0,1,1,100000002,510000004311,
0,,Segment,1,2,1,100000002,510000004313,
5,,Segment,2,2,1,100000001,510000004322,
1,,Segment,1,1,1,100000001,510000004334,
0,,Segment,2,1,1,100000001,510000004336,
0,,Segment,20,2,1,100000003,510000004355,
0,,Segment,19,1,1,100000003,510000004357,
0,,Segment,17,1,1,100000003,510000004373,
1,,Segment,18,2,1,100000003,510000004394,
0,,Segment,20,1,1,100000003,510000004400,
1,,Segment,19,2,1,100000003,510000004404,
0,,Segment,16,2,1,100000003,510000004409,
0,,Segment,15,2,1,100000003,510000004469,
0,,Segment,17,2,1,100000003,510000004482,
1,,Segment,16,2,1,100000003,510000004490,
0,,Segment,15,2,1,100000003,510000004504,
0,,Segment,13,3,1,100000003,510000004526,
2,,Segment,12,3,1,100000003,510000004542,
0,,Segment,11,2,1,100000003,510000004545,
2,,Segment,10,2,1,100000003,510000004557,
0,,Segment,17,3,1,100000003,510000004561,
0,,Segment,16,3,1,100000003,510000004577,
0,,Segment,15,3,1,100000003,510000004590,
0,,Segment,14,3,1,100000003,510000004603,
0,,Segment,15,4,1,100000003,510000004609,
1,,Segment,14,4,1,100000003,510000004620,
1,,Segment,13,3,1,100000003,510000004664,
0,,Segment,12,2,1,100000003,510000004676,
0,,Segment,8,3,1,100000003,510000004778,
0,,Segment,14,5,1,100000003,510000004790,
0,,Segment,14,2,1,100000003,510000004804,
0,,Segment,12,2,1,100000000,510000004814,
0,,Segment,11,2,1,100000000,510000004831,
1,,Segment,11,3,1,100000003,510000004890,
0,,Segment,10,3,1,100000003,510000004896,
0,,Segment,12,4,1,100000003,510000004910,
1,,Segment,11,3,1,100000003,510000004936,
0,,Segment,9,2,1,100000000,510000004945,
1,,Segment,8,2,1,100000000,510000004959,
0,,Segment,9,3,1,100000000,510000004963,
0,,Segment,10,2,1,100000000,510000004971,
0,,Segment,13,3,1,100000003,510000004977,
0,,Segment,12,3,1,100000003,510000004982,
0,,Segment,4,1,1,100000002,510000004992,
0,,Segment,1,1,1,100000002,510000005002,
0,,Segment,10,6,1,100000000,510000005018,
0,,Segment,9,6,1,100000000,510000005034,
