
Spine Intensity Mean Ch=3 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
33.9726,,Spine,3,3,Image 1,2,1,100000002,610000008330,
37.419,,Spine,3,6,Image 1,3,1,100000001,610000008342,
31.642,,Spine,3,13,Image 1,5,1,100000001,610000008350,
42.1831,,Spine,3,13,Image 1,5,1,100000001,610000008354,
26.2143,,Spine,3,5,Image 1,5,1,100000001,610000008360,
56.59,,Spine,3,3,Image 1,1,1,100000000,610000008367,
30.9423,,Spine,3,6,Image 1,4,1,100000001,610000008370,
36.5385,,Spine,3,2,Image 1,1,1,100000003,610000008372,
56.5667,,Spine,3,0,Image 1,1,1,100000003,610000008380,
57.15,,Spine,3,5,Image 1,4,1,100000000,610000008387,
73.4739,,Spine,3,0,Image 1,1,1,100000000,610000008393,
74.3189,,Spine,3,1,Image 1,1,1,100000000,610000008401,
31.0825,,Spine,3,0,Image 1,1,1,100000003,610000008403,
22.6633,,Spine,3,14,Image 1,4,1,100000003,610000008405,
53.1649,,Spine,3,7,Image 1,2,1,100000000,610000008409,
31.7059,,Spine,3,6,Image 1,4,1,100000001,610000008411,
47.0875,,Spine,3,7,Image 1,2,1,100000000,610000008414,
33.6486,,Spine,3,9,Image 1,5,1,100000000,610000008416,
44.0929,,Spine,3,2,Image 1,1,1,100000000,610000008420,
38.2674,,Spine,3,2,Image 1,1,1,100000002,610000008422,
45.5792,,Spine,3,12,Image 1,3,1,100000003,610000008426,
65.8046,,Spine,3,0,Image 1,1,1,100000003,610000008431,
77.3975,,Spine,3,0,Image 1,1,1,100000000,610000008436,
76.6778,,Spine,3,0,Image 1,1,1,100000003,610000008441,
40.3388,,Spine,3,0,Image 1,1,1,100000002,610000008444,
50.6,,Spine,3,0,Image 1,1,1,100000000,610000008448,
55.75,,Spine,3,3,Image 1,4,1,100000001,610000008450,
71.0385,,Spine,3,2,Image 1,2,1,100000004,610000008454,
53.0312,,Spine,3,13,Image 1,1,1,100000003,610000008456,
72.1408,,Spine,3,0,Image 1,1,1,100000003,610000008460,
60.9172,,Spine,3,1,Image 1,1,1,100000003,610000008464,
42.7037,,Spine,3,4,Image 1,5,1,100000001,610000008466,
105.609,,Spine,3,0,Image 1,1,1,100000003,610000008474,
42.1398,,Spine,3,2,Image 1,2,1,100000004,610000008476,
93.1929,,Spine,3,0,Image 1,1,1,100000001,610000008479,
71.7619,,Spine,3,0,Image 1,1,1,100000003,610000008481,
44.4087,,Spine,3,11,Image 1,3,1,100000003,610000008483,
