
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Spine,2,0,Image 1,1,1,100000003,610000000862,
2,,Spine,2,0,Image 1,1,1,100000000,610000000864,
3,,Spine,2,7,Image 1,4,1,100000001,610000000867,
5,,Spine,2,0,Image 1,1,1,100000001,610000000869,
9,,Spine,2,0,Image 1,1,1,100000001,610000000871,
1,,Spine,2,2,Image 1,3,1,100000002,610000000874,
4,,Spine,2,0,Image 1,1,1,100000002,610000000876,
7,,Spine,2,0,Image 1,1,1,100000000,610000000880,
5,,Spine,2,0,Image 1,1,1,100000001,610000000883,
17,,Spine,2,0,Image 1,1,1,100000000,610000000885,
5,,Spine,2,0,Image 1,1,1,100000000,610000000887,
8,,Spine,2,0,Image 1,1,1,100000001,610000000891,
1,,Spine,2,0,Image 1,1,1,100000001,610000000894,
21,,Spine,2,0,Image 1,1,1,100000000,610000000896,
11,,Spine,2,0,Image 1,1,1,100000000,610000000898,
10,,Spine,2,0,Image 1,1,1,100000000,610000000902,
1,,Spine,2,0,Image 1,1,1,100000001,610000000906,
4,,Spine,2,0,Image 1,1,1,100000000,610000000910,
2,,Spine,2,0,Image 1,1,1,100000000,610000000914,
13,,Spine,2,0,Image 1,1,1,100000000,610000000917,
4,,Spine,2,0,Image 1,1,1,100000000,610000000921,
0,,Spine,2,0,Image 1,1,1,100000000,610000000925,
9,,Spine,2,0,Image 1,1,1,100000001,610000000927,
6,,Spine,2,0,Image 1,1,1,100000000,610000000930,
2,,Spine,2,0,Image 1,1,1,100000000,610000000933,
5,,Spine,2,0,Image 1,1,1,100000001,610000000936,
11,,Spine,2,0,Image 1,1,1,100000003,610000000939,
7,,Spine,2,0,Image 1,1,1,100000000,610000000945,
3,,Spine,2,0,Image 1,1,1,100000000,610000000948,
1,,Spine,2,0,Image 1,1,1,100000000,610000000950,
6,,Spine,2,0,Image 1,1,1,100000000,610000000954,
5,,Spine,2,0,Image 1,1,1,100000001,610000000958,
1,,Spine,2,0,Image 1,1,1,100000001,610000000960,
10,,Spine,2,0,Image 1,1,1,100000000,610000000962,
8,,Spine,2,0,Image 1,1,1,100000000,610000000965,
16,,Spine,2,0,Image 1,1,1,100000000,610000000968,
10,,Spine,2,3,Image 1,2,1,100000001,610000000973,
11,,Spine,2,0,Image 1,1,1,100000000,610000000976,
10,,Spine,2,0,Image 1,1,1,100000000,610000000989,
3,,Spine,2,0,Image 1,1,1,100000000,610000000993,
12,,Spine,2,0,Image 1,1,1,100000000,610000000998,
1,,Spine,2,0,Image 1,1,1,100000000,610000001009,
5,,Spine,2,0,Image 1,1,1,100000000,610000001017,
1,,Spine,2,0,Image 1,1,1,100000000,610000001029,
7,,Spine,2,0,Image 1,1,1,100000000,610000001030,
13,,Spine,2,0,Image 1,1,1,100000000,610000001033,
1,,Spine,2,7,Image 1,4,1,100000001,610000001037,
5,,Spine,2,7,Image 1,4,1,100000001,610000001038,
5,,Spine,2,3,Image 1,2,1,100000001,610000001039,
11,,Spine,2,3,Image 1,2,1,100000001,610000001040,
1,,Spine,2,4,Image 1,2,1,100000001,610000001041,
6,,Spine,2,5,Image 1,2,1,100000001,610000001042,
3,,Spine,2,3,Image 1,1,1,100000001,610000001043,
4,,Spine,2,1,Image 1,1,1,100000001,610000001044,
8,,Spine,2,1,Image 1,1,1,100000001,610000001045,
0,,Spine,2,1,Image 1,1,1,100000001,610000001046,
4,,Spine,2,2,Image 1,3,1,100000001,610000001047,
4,,Spine,2,0,Image 1,1,1,100000001,610000001050,
4,,Spine,2,0,Image 1,1,1,100000001,610000001051,
5,,Spine,2,0,Image 1,1,1,100000001,610000001052,
11,,Spine,2,0,Image 1,1,1,100000001,610000001054,
12,,Spine,2,2,Image 1,3,1,100000002,610000001060,
10,,Spine,2,2,Image 1,3,1,100000002,610000001061,
6,,Spine,2,2,Image 1,3,1,100000002,610000001062,
7,,Spine,2,3,Image 1,1,1,100000002,610000001063,
0,,Spine,2,0,Image 1,1,1,100000002,610000001064,
9,,Spine,2,0,Image 1,1,1,100000002,610000001065,
6,,Spine,2,0,Image 1,1,1,100000002,610000001066,
2,,Spine,2,0,Image 1,1,1,100000002,610000001067,
2,,Spine,2,0,Image 1,1,1,100000002,610000001068,
