
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
32.224,°,Segment,1,1,1,100000005,510000001718,
0,°,Segment,0,1,1,100000005,510000001762,
90.83,°,Segment,1,2,1,100000005,510000001768,
5.77872,°,Segment,2,3,1,100000005,510000001793,
21.4697,°,Segment,1,2,1,100000005,510000001795,
0,°,Segment,0,1,1,100000005,510000001836,
47.6181,°,Segment,1,1,1,100000005,510000001853,
62.867,°,Segment,1,1,1,100000003,510000001861,
0,°,Segment,0,1,1,100000003,510000001867,
89.4205,°,Segment,1,2,1,100000003,510000001894,
0,°,Segment,0,1,1,100000003,510000001904,
42.7137,°,Segment,5,3,1,100000005,510000001958,
3.21784,°,Segment,4,3,1,100000005,510000001969,
4.86289,°,Segment,3,2,1,100000005,510000001985,
18.5062,°,Segment,1,1,1,100000005,510000001994,
0,°,Segment,0,1,1,100000005,510000002000,
21.8114,°,Segment,3,2,1,100000003,510000002041,
10.9342,°,Segment,2,1,1,100000003,510000002058,
0,°,Segment,0,1,1,100000003,510000002086,
14.7497,°,Segment,7,5,1,100000005,510000002128,
27.1901,°,Segment,6,4,1,100000005,510000002131,
21.6253,°,Segment,3,3,1,100000004,510000002148,
13.2642,°,Segment,2,3,1,100000004,510000002150,
19.6466,°,Segment,1,2,1,100000004,510000002160,
0,°,Segment,0,1,1,100000004,510000002205,
23.8787,°,Segment,4,4,1,100000004,510000002211,
91.3382,°,Segment,3,4,1,100000004,510000002217,
83.7123,°,Segment,4,5,1,100000004,510000002220,
70.8585,°,Segment,7,4,1,100000005,510000002226,
53.3134,°,Segment,3,1,1,100000003,510000002229,
31.7538,°,Segment,1,1,1,100000005,510000002270,
0,°,Segment,0,1,1,100000005,510000002289,
71.3153,°,Segment,2,2,1,100000004,510000002293,
81.4246,°,Segment,1,2,1,100000003,510000002298,
78.9912,°,Segment,2,2,1,100000003,510000002301,
62.0188,°,Segment,1,1,1,100000004,510000002308,
29.3722,°,Segment,2,1,1,100000004,510000002316,
11.1073,°,Segment,1,1,1,100000004,510000002323,
0,°,Segment,0,1,1,100000004,510000002325,
69.297,°,Segment,1,2,1,100000005,510000002361,
17.5198,°,Segment,1,1,1,100000004,510000002368,
0,°,Segment,0,1,1,100000004,510000002373,
77.0075,°,Segment,4,2,1,100000005,510000002376,
82.7787,°,Segment,2,2,1,100000004,510000002379,
68.2905,°,Segment,3,1,1,100000005,510000002381,
75.2101,°,Segment,1,2,1,100000004,510000002383,
91.8896,°,Segment,2,2,1,100000005,510000002386,
0,°,Segment,0,1,1,100000003,510000002401,
0,°,Segment,0,1,1,100000004,510000002434,
5.01868,°,Segment,1,2,1,100000005,510000002438,
0,°,Segment,0,1,1,100000005,510000002440,
92.5924,°,Segment,1,2,1,100000005,510000002442,
87.9466,°,Segment,1,2,1,100000004,510000002446,
0,°,Segment,0,1,1,100000003,510000002450,
0,°,Segment,0,1,1,100000003,510000002483,
0,°,Segment,0,1,1,100000003,510000002512,
0,°,Segment,0,1,1,100000005,510000002522,
18.3825,°,Segment,1,1,1,100000003,510000002537,
72.6041,°,Segment,2,2,1,100000005,510000002539,
4.07107,°,Segment,2,1,1,100000005,510000002540,
95.9014,°,Segment,5,4,1,100000005,510000002541,
102.387,°,Segment,6,5,1,100000005,510000002542,
63.9389,°,Segment,1,1,1,100000005,510000002543,
