
Segment Center Intensity Max Ch=4 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,1,Image 1,1,1,100000005,510000001718,
0,,Segment,4,0,Image 1,1,1,100000005,510000001762,
0,,Segment,4,1,Image 1,2,1,100000005,510000001768,
39,,Segment,4,2,Image 1,3,1,100000005,510000001793,
0,,Segment,4,1,Image 1,2,1,100000005,510000001795,
0,,Segment,4,0,Image 1,1,1,100000005,510000001836,
0,,Segment,4,1,Image 1,1,1,100000005,510000001853,
0,,Segment,4,1,Image 1,1,1,100000003,510000001861,
0,,Segment,4,0,Image 1,1,1,100000003,510000001867,
0,,Segment,4,1,Image 1,2,1,100000003,510000001894,
0,,Segment,4,0,Image 1,1,1,100000003,510000001904,
0,,Segment,4,5,Image 1,3,1,100000005,510000001958,
0,,Segment,4,4,Image 1,3,1,100000005,510000001969,
0,,Segment,4,3,Image 1,2,1,100000005,510000001985,
0,,Segment,4,1,Image 1,1,1,100000005,510000001994,
0,,Segment,4,0,Image 1,1,1,100000005,510000002000,
0,,Segment,4,3,Image 1,2,1,100000003,510000002041,
0,,Segment,4,2,Image 1,1,1,100000003,510000002058,
0,,Segment,4,0,Image 1,1,1,100000003,510000002086,
0,,Segment,4,7,Image 1,5,1,100000005,510000002128,
0,,Segment,4,6,Image 1,4,1,100000005,510000002131,
0,,Segment,4,3,Image 1,3,1,100000004,510000002148,
0,,Segment,4,2,Image 1,3,1,100000004,510000002150,
0,,Segment,4,1,Image 1,2,1,100000004,510000002160,
0,,Segment,4,0,Image 1,1,1,100000004,510000002205,
0,,Segment,4,4,Image 1,4,1,100000004,510000002211,
0,,Segment,4,3,Image 1,4,1,100000004,510000002217,
0,,Segment,4,4,Image 1,5,1,100000004,510000002220,
0,,Segment,4,7,Image 1,4,1,100000005,510000002226,
0,,Segment,4,3,Image 1,1,1,100000003,510000002229,
0,,Segment,4,1,Image 1,1,1,100000005,510000002270,
0,,Segment,4,0,Image 1,1,1,100000005,510000002289,
0,,Segment,4,2,Image 1,2,1,100000004,510000002293,
0,,Segment,4,1,Image 1,2,1,100000003,510000002298,
0,,Segment,4,2,Image 1,2,1,100000003,510000002301,
0,,Segment,4,1,Image 1,1,1,100000004,510000002308,
0,,Segment,4,2,Image 1,1,1,100000004,510000002316,
0,,Segment,4,1,Image 1,1,1,100000004,510000002323,
0,,Segment,4,0,Image 1,1,1,100000004,510000002325,
0,,Segment,4,1,Image 1,2,1,100000005,510000002361,
0,,Segment,4,1,Image 1,1,1,100000004,510000002368,
0,,Segment,4,0,Image 1,1,1,100000004,510000002373,
0,,Segment,4,4,Image 1,2,1,100000005,510000002376,
0,,Segment,4,2,Image 1,2,1,100000004,510000002379,
0,,Segment,4,3,Image 1,1,1,100000005,510000002381,
0,,Segment,4,1,Image 1,2,1,100000004,510000002383,
0,,Segment,4,2,Image 1,2,1,100000005,510000002386,
0,,Segment,4,0,Image 1,1,1,100000003,510000002401,
0,,Segment,4,0,Image 1,1,1,100000004,510000002434,
0,,Segment,4,1,Image 1,2,1,100000005,510000002438,
0,,Segment,4,0,Image 1,1,1,100000005,510000002440,
0,,Segment,4,1,Image 1,2,1,100000005,510000002442,
77,,Segment,4,1,Image 1,2,1,100000004,510000002446,
0,,Segment,4,0,Image 1,1,1,100000003,510000002450,
0,,Segment,4,0,Image 1,1,1,100000003,510000002483,
0,,Segment,4,0,Image 1,1,1,100000003,510000002512,
0,,Segment,4,0,Image 1,1,1,100000005,510000002522,
0,,Segment,4,1,Image 1,1,1,100000003,510000002537,
0,,Segment,4,2,Image 1,2,1,100000005,510000002539,
0,,Segment,4,2,Image 1,1,1,100000005,510000002540,
0,,Segment,4,5,Image 1,4,1,100000005,510000002541,
0,,Segment,4,6,Image 1,5,1,100000005,510000002542,
0,,Segment,4,1,Image 1,1,1,100000005,510000002543,
