
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.172165,0.177369,0.162334,µm,Spine,Spine Part Min Diameter,0,1,1,100000004,610000002675,
0.318437,0.176972,0.275207,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002678,
0.324668,0.243501,0.324668,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002686,
0.177705,0.166264,0.179538,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002690,
0.173622,0.471528,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002693,
0.387781,0.522095,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002700,
0.342773,0.490183,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002703,
0.322669,0.416815,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002706,
0.243501,0.382273,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002711,
0.222092,0.273652,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002714,
0.437318,0.443501,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002723,
0.162334,0.547563,0.243501,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002727,
0.364549,0.285869,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000002729,
0.333289,0.513257,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002732,
0.176873,0.177553,0.169773,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002738,
0.462427,0.86762,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002742,
0.413154,0.329562,0.446973,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002747,
0.162334,0.249773,0.173417,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002751,
0.285609,0.331936,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002754,
0.242342,0.435879,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002760,
0.254915,0.254915,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002762,
0.333289,0.513257,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000005,610000002764,
