
Spine Center Intensity Max Ch=2 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
45,,Spine,2,4,Image 1,2,1,100000001,610000000944,
53,,Spine,2,0,Image 1,1,1,100000000,610000000949,
79,,Spine,2,5,Image 1,2,1,100000001,610000000951,
33,,Spine,2,1,Image 1,1,1,100000001,610000000953,
59,,Spine,2,1,Image 1,1,1,100000001,610000000958,
43,,Spine,2,3,Image 1,2,1,100000001,610000000960,
7,,Spine,2,1,Image 1,1,1,100000001,610000000962,
63,,Spine,2,3,Image 1,2,1,100000001,610000000964,
29,,Spine,2,1,Image 1,1,1,100000001,610000000966,
32,,Spine,2,0,Image 1,1,1,100000001,610000000969,
55,,Spine,2,1,Image 1,1,1,100000001,610000000974,
34,,Spine,2,6,Image 1,2,1,100000000,610000000976,
17,,Spine,2,1,Image 1,1,1,100000001,610000000978,
54,,Spine,2,2,Image 1,1,1,100000000,610000000981,
31,,Spine,2,1,Image 1,1,1,100000001,610000000983,
60,,Spine,2,0,Image 1,1,1,100000001,610000000985,
31,,Spine,2,0,Image 1,1,1,100000000,610000000987,
60,,Spine,2,0,Image 1,1,1,100000001,610000000989,
22,,Spine,2,1,Image 1,1,1,100000001,610000000992,
39,,Spine,2,3,Image 1,2,1,100000001,610000000995,
49,,Spine,2,0,Image 1,1,1,100000000,610000000998,
40,,Spine,2,4,Image 1,2,1,100000001,610000001001,
50,,Spine,2,0,Image 1,1,1,100000000,610000001004,
39,,Spine,2,1,Image 1,1,1,100000001,610000001009,
47,,Spine,2,1,Image 1,1,1,100000000,610000001014,
48,,Spine,2,0,Image 1,1,1,100000000,610000001017,
13,,Spine,2,1,Image 1,1,1,100000001,610000001020,
36,,Spine,2,6,Image 1,3,1,100000000,610000001023,
45,,Spine,2,0,Image 1,1,1,100000000,610000001030,
37,,Spine,2,1,Image 1,1,1,100000001,610000001032,
39,,Spine,2,0,Image 1,1,1,100000000,610000001034,
59,,Spine,2,1,Image 1,1,1,100000001,610000001043,
26,,Spine,2,6,Image 1,2,1,100000000,610000001059,
36,,Spine,2,6,Image 1,2,1,100000000,610000001060,
72,,Spine,2,6,Image 1,2,1,100000000,610000001061,
19,,Spine,2,3,Image 1,1,1,100000000,610000001062,
42,,Spine,2,1,Image 1,1,1,100000000,610000001063,
54,,Spine,2,2,Image 1,1,1,100000000,610000001067,
20,,Spine,2,0,Image 1,1,1,100000000,610000001068,
40,,Spine,2,1,Image 1,2,1,100000000,610000001069,
28,,Spine,2,6,Image 1,3,1,100000001,610000001074,
28,,Spine,2,6,Image 1,3,1,100000001,610000001075,
16,,Spine,2,6,Image 1,3,1,100000001,610000001076,
30,,Spine,2,4,Image 1,2,1,100000001,610000001077,
62,,Spine,2,3,Image 1,1,1,100000001,610000001078,
58,,Spine,2,3,Image 1,2,1,100000001,610000001079,
44,,Spine,2,3,Image 1,2,1,100000001,610000001080,
30,,Spine,2,3,Image 1,2,1,100000001,610000001081,
38,,Spine,2,2,Image 1,1,1,100000001,610000001082,
65,,Spine,2,2,Image 1,1,1,100000001,610000001083,
56,,Spine,2,2,Image 1,1,1,100000001,610000001084,
49,,Spine,2,1,Image 1,1,1,100000001,610000001086,
31,,Spine,2,0,Image 1,1,1,100000001,610000001087,
35,,Spine,2,2,Image 1,1,1,100000001,610000001088,
48,,Spine,2,1,Image 1,1,1,100000001,610000001089,
64,,Spine,2,1,Image 1,1,1,100000001,610000001090,
51,,Spine,2,0,Image 1,1,1,100000001,610000001091,
