
Spine Center Number of Voxel Ch=2 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
9,,Spine,2,4,Image 1,2,1,100000001,610000000944,
4,,Spine,2,0,Image 1,1,1,100000000,610000000949,
3,,Spine,2,5,Image 1,2,1,100000001,610000000951,
3,,Spine,2,1,Image 1,1,1,100000001,610000000953,
5,,Spine,2,1,Image 1,1,1,100000001,610000000958,
3,,Spine,2,3,Image 1,2,1,100000001,610000000960,
2,,Spine,2,1,Image 1,1,1,100000001,610000000962,
3,,Spine,2,3,Image 1,2,1,100000001,610000000964,
2,,Spine,2,1,Image 1,1,1,100000001,610000000966,
3,,Spine,2,0,Image 1,1,1,100000001,610000000969,
5,,Spine,2,1,Image 1,1,1,100000001,610000000974,
3,,Spine,2,6,Image 1,2,1,100000000,610000000976,
2,,Spine,2,1,Image 1,1,1,100000001,610000000978,
4,,Spine,2,2,Image 1,1,1,100000000,610000000981,
2,,Spine,2,1,Image 1,1,1,100000001,610000000983,
3,,Spine,2,0,Image 1,1,1,100000001,610000000985,
2,,Spine,2,0,Image 1,1,1,100000000,610000000987,
3,,Spine,2,0,Image 1,1,1,100000001,610000000989,
2,,Spine,2,1,Image 1,1,1,100000001,610000000992,
3,,Spine,2,3,Image 1,2,1,100000001,610000000995,
3,,Spine,2,0,Image 1,1,1,100000000,610000000998,
3,,Spine,2,4,Image 1,2,1,100000001,610000001001,
3,,Spine,2,0,Image 1,1,1,100000000,610000001004,
3,,Spine,2,1,Image 1,1,1,100000001,610000001009,
4,,Spine,2,1,Image 1,1,1,100000000,610000001014,
3,,Spine,2,0,Image 1,1,1,100000000,610000001017,
2,,Spine,2,1,Image 1,1,1,100000001,610000001020,
3,,Spine,2,6,Image 1,3,1,100000000,610000001023,
2,,Spine,2,0,Image 1,1,1,100000000,610000001030,
2,,Spine,2,1,Image 1,1,1,100000001,610000001032,
3,,Spine,2,0,Image 1,1,1,100000000,610000001034,
2,,Spine,2,1,Image 1,1,1,100000001,610000001043,
2,,Spine,2,6,Image 1,2,1,100000000,610000001059,
2,,Spine,2,6,Image 1,2,1,100000000,610000001060,
2,,Spine,2,6,Image 1,2,1,100000000,610000001061,
2,,Spine,2,3,Image 1,1,1,100000000,610000001062,
2,,Spine,2,1,Image 1,1,1,100000000,610000001063,
2,,Spine,2,2,Image 1,1,1,100000000,610000001067,
2,,Spine,2,0,Image 1,1,1,100000000,610000001068,
2,,Spine,2,1,Image 1,2,1,100000000,610000001069,
2,,Spine,2,6,Image 1,3,1,100000001,610000001074,
2,,Spine,2,6,Image 1,3,1,100000001,610000001075,
2,,Spine,2,6,Image 1,3,1,100000001,610000001076,
2,,Spine,2,4,Image 1,2,1,100000001,610000001077,
2,,Spine,2,3,Image 1,1,1,100000001,610000001078,
2,,Spine,2,3,Image 1,2,1,100000001,610000001079,
2,,Spine,2,3,Image 1,2,1,100000001,610000001080,
2,,Spine,2,3,Image 1,2,1,100000001,610000001081,
2,,Spine,2,2,Image 1,1,1,100000001,610000001082,
2,,Spine,2,2,Image 1,1,1,100000001,610000001083,
2,,Spine,2,2,Image 1,1,1,100000001,610000001084,
2,,Spine,2,1,Image 1,1,1,100000001,610000001086,
2,,Spine,2,0,Image 1,1,1,100000001,610000001087,
2,,Spine,2,2,Image 1,1,1,100000001,610000001088,
2,,Spine,2,1,Image 1,1,1,100000001,610000001089,
2,,Spine,2,1,Image 1,1,1,100000001,610000001090,
2,,Spine,2,0,Image 1,1,1,100000001,610000001091,
