
Spine Number of Voxel Ch=4 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
168,,Spine,4,4,Image 1,2,1,100000001,610000000944,
81,,Spine,4,0,Image 1,1,1,100000000,610000000949,
111,,Spine,4,5,Image 1,2,1,100000001,610000000951,
91,,Spine,4,1,Image 1,1,1,100000001,610000000953,
73,,Spine,4,1,Image 1,1,1,100000001,610000000958,
65,,Spine,4,3,Image 1,2,1,100000001,610000000960,
20,,Spine,4,1,Image 1,1,1,100000001,610000000962,
80,,Spine,4,3,Image 1,2,1,100000001,610000000964,
91,,Spine,4,1,Image 1,1,1,100000001,610000000966,
86,,Spine,4,0,Image 1,1,1,100000001,610000000969,
245,,Spine,4,1,Image 1,1,1,100000001,610000000974,
55,,Spine,4,6,Image 1,2,1,100000000,610000000976,
46,,Spine,4,1,Image 1,1,1,100000001,610000000978,
519,,Spine,4,2,Image 1,1,1,100000000,610000000981,
109,,Spine,4,1,Image 1,1,1,100000001,610000000983,
343,,Spine,4,0,Image 1,1,1,100000001,610000000985,
68,,Spine,4,0,Image 1,1,1,100000000,610000000987,
363,,Spine,4,0,Image 1,1,1,100000001,610000000989,
39,,Spine,4,1,Image 1,1,1,100000001,610000000992,
50,,Spine,4,3,Image 1,2,1,100000001,610000000995,
153,,Spine,4,0,Image 1,1,1,100000000,610000000998,
132,,Spine,4,4,Image 1,2,1,100000001,610000001001,
142,,Spine,4,0,Image 1,1,1,100000000,610000001004,
61,,Spine,4,1,Image 1,1,1,100000001,610000001009,
745,,Spine,4,1,Image 1,1,1,100000000,610000001014,
99,,Spine,4,0,Image 1,1,1,100000000,610000001017,
96,,Spine,4,1,Image 1,1,1,100000001,610000001020,
112,,Spine,4,6,Image 1,3,1,100000000,610000001023,
78,,Spine,4,0,Image 1,1,1,100000000,610000001030,
240,,Spine,4,1,Image 1,1,1,100000001,610000001032,
81,,Spine,4,0,Image 1,1,1,100000000,610000001034,
44,,Spine,4,1,Image 1,1,1,100000001,610000001043,
95,,Spine,4,6,Image 1,2,1,100000000,610000001059,
44,,Spine,4,6,Image 1,2,1,100000000,610000001060,
50,,Spine,4,6,Image 1,2,1,100000000,610000001061,
80,,Spine,4,3,Image 1,1,1,100000000,610000001062,
126,,Spine,4,1,Image 1,1,1,100000000,610000001063,
437,,Spine,4,2,Image 1,1,1,100000000,610000001067,
87,,Spine,4,0,Image 1,1,1,100000000,610000001068,
163,,Spine,4,1,Image 1,2,1,100000000,610000001069,
54,,Spine,4,6,Image 1,3,1,100000001,610000001074,
43,,Spine,4,6,Image 1,3,1,100000001,610000001075,
65,,Spine,4,6,Image 1,3,1,100000001,610000001076,
108,,Spine,4,4,Image 1,2,1,100000001,610000001077,
123,,Spine,4,3,Image 1,1,1,100000001,610000001078,
78,,Spine,4,3,Image 1,2,1,100000001,610000001079,
59,,Spine,4,3,Image 1,2,1,100000001,610000001080,
99,,Spine,4,3,Image 1,2,1,100000001,610000001081,
91,,Spine,4,2,Image 1,1,1,100000001,610000001082,
68,,Spine,4,2,Image 1,1,1,100000001,610000001083,
113,,Spine,4,2,Image 1,1,1,100000001,610000001084,
42,,Spine,4,1,Image 1,1,1,100000001,610000001086,
54,,Spine,4,0,Image 1,1,1,100000001,610000001087,
66,,Spine,4,2,Image 1,1,1,100000001,610000001088,
101,,Spine,4,1,Image 1,1,1,100000001,610000001089,
48,,Spine,4,1,Image 1,1,1,100000001,610000001090,
134,,Spine,4,0,Image 1,1,1,100000001,610000001091,
