
Spine Volume
 ==================== 
Spine Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.0493456,µm^3,Spine,4,2,1,100000001,610000000944,
0.0267826,µm^3,Spine,0,1,1,100000000,610000000949,
0.014738,µm^3,Spine,5,2,1,100000001,610000000951,
0.0198983,µm^3,Spine,1,1,1,100000001,610000000953,
0.0251562,µm^3,Spine,1,1,1,100000001,610000000958,
0.00719381,µm^3,Spine,3,2,1,100000001,610000000960,
0.00476519,µm^3,Spine,1,1,1,100000001,610000000962,
0.0140434,µm^3,Spine,3,2,1,100000001,610000000964,
0.0305616,µm^3,Spine,1,1,1,100000001,610000000966,
0.0112355,µm^3,Spine,0,1,1,100000001,610000000969,
0.0564106,µm^3,Spine,1,1,1,100000001,610000000974,
0.0108453,µm^3,Spine,6,2,1,100000000,610000000976,
0.012488,µm^3,Spine,1,1,1,100000001,610000000978,
0.0336006,µm^3,Spine,2,1,1,100000000,610000000981,
0.0234773,µm^3,Spine,1,1,1,100000001,610000000983,
0.0485088,µm^3,Spine,0,1,1,100000001,610000000985,
0.00895957,µm^3,Spine,0,1,1,100000000,610000000987,
0.0304636,µm^3,Spine,0,1,1,100000001,610000000989,
0.00972283,µm^3,Spine,1,1,1,100000001,610000000992,
0.0100621,µm^3,Spine,3,2,1,100000001,610000000995,
0.0338491,µm^3,Spine,0,1,1,100000000,610000000998,
0.0310465,µm^3,Spine,4,2,1,100000001,610000001001,
0.0176306,µm^3,Spine,0,1,1,100000000,610000001004,
0.0191443,µm^3,Spine,1,1,1,100000001,610000001009,
0.0253071,µm^3,Spine,1,1,1,100000000,610000001014,
0.0108515,µm^3,Spine,0,1,1,100000000,610000001017,
0.010309,µm^3,Spine,1,1,1,100000001,610000001020,
0.0335117,µm^3,Spine,6,3,1,100000000,610000001023,
0.00764611,µm^3,Spine,0,1,1,100000000,610000001030,
0.0443869,µm^3,Spine,1,1,1,100000001,610000001032,
0.0086062,µm^3,Spine,0,1,1,100000000,610000001034,
0.0116636,µm^3,Spine,1,1,1,100000001,610000001043,
0.0147856,µm^3,Spine,6,2,1,100000000,610000001059,
0.00839945,µm^3,Spine,6,2,1,100000000,610000001060,
0.00656081,µm^3,Spine,6,2,1,100000000,610000001061,
0.0128618,µm^3,Spine,3,1,1,100000000,610000001062,
0.0309485,µm^3,Spine,1,1,1,100000000,610000001063,
0.0426068,µm^3,Spine,2,1,1,100000000,610000001067,
0.0160949,µm^3,Spine,0,1,1,100000000,610000001068,
0.0374711,µm^3,Spine,1,2,1,100000000,610000001069,
0.00870116,µm^3,Spine,6,3,1,100000001,610000001074,
0.00753323,µm^3,Spine,6,3,1,100000001,610000001075,
0.0105281,µm^3,Spine,6,3,1,100000001,610000001076,
0.0189259,µm^3,Spine,4,2,1,100000001,610000001077,
0.0223899,µm^3,Spine,3,1,1,100000001,610000001078,
0.00487521,µm^3,Spine,3,2,1,100000001,610000001079,
0.00379814,µm^3,Spine,3,2,1,100000001,610000001080,
0.0117311,µm^3,Spine,3,2,1,100000001,610000001081,
0.0153836,µm^3,Spine,2,1,1,100000001,610000001082,
0.00435163,µm^3,Spine,2,1,1,100000001,610000001083,
0.013465,µm^3,Spine,2,1,1,100000001,610000001084,
0.00249374,µm^3,Spine,1,1,1,100000001,610000001086,
0.00688505,µm^3,Spine,0,1,1,100000001,610000001087,
0.0172007,µm^3,Spine,2,1,1,100000001,610000001088,
0.010093,µm^3,Spine,1,1,1,100000001,610000001089,
0.00455406,µm^3,Spine,1,1,1,100000001,610000001090,
0.0153003,µm^3,Spine,0,1,1,100000001,610000001091,
