
Spine Attachment Pt Position X
 ==================== 
Spine Attachment Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
6005.83,µm,Spine,Spine Attachment Pt Position,4,2,1,100000003,610000002444,
5970.38,µm,Spine,Spine Attachment Pt Position,6,2,1,100000001,610000002447,
6007.97,µm,Spine,Spine Attachment Pt Position,5,2,1,100000003,610000002455,
5965.6,µm,Spine,Spine Attachment Pt Position,9,3,1,100000001,610000002459,
5973.22,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000002469,
5973.66,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000002476,
5983.6,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000002494,
5991.75,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000002496,
5970.53,µm,Spine,Spine Attachment Pt Position,6,2,1,100000001,610000002498,
5974.81,µm,Spine,Spine Attachment Pt Position,5,3,1,100000001,610000002505,
5969.5,µm,Spine,Spine Attachment Pt Position,8,4,1,100000001,610000002509,
5978.08,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000002538,
5994.87,µm,Spine,Spine Attachment Pt Position,5,4,1,100000002,610000002541,
5994.15,µm,Spine,Spine Attachment Pt Position,4,4,1,100000002,610000002543,
5983.51,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000002559,
5993.2,µm,Spine,Spine Attachment Pt Position,2,3,1,100000002,610000002563,
5969.82,µm,Spine,Spine Attachment Pt Position,6,2,1,100000001,610000002573,
5978.19,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000002575,
5985.93,µm,Spine,Spine Attachment Pt Position,2,1,1,100000002,610000002584,
5970.48,µm,Spine,Spine Attachment Pt Position,9,4,1,100000001,610000002598,
5969.1,µm,Spine,Spine Attachment Pt Position,8,2,1,100000001,610000002615,
5995.29,µm,Spine,Spine Attachment Pt Position,8,5,1,100000002,610000002628,
5991.32,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000002630,
5994.49,µm,Spine,Spine Attachment Pt Position,4,3,1,100000002,610000002641,
5995.21,µm,Spine,Spine Attachment Pt Position,5,4,1,100000002,610000002667,
5981.91,µm,Spine,Spine Attachment Pt Position,6,4,1,100000002,610000002682,
6008.01,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000002784,
5975.43,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002784,
5974.72,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000002784,
5979.66,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000002785,
5992.08,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002785,
5972.87,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000002785,
6008.17,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000002786,
5977.52,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000002786,
5965.79,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000002786,
5991.79,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002786,
5975.78,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000002787,
6004.18,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000002787,
5969.2,µm,Spine,Spine Attachment Pt Position,8,3,1,,610000002787,
5992.22,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000002787,
5992.46,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000002788,
5975.82,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000002788,
5971.19,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000002788,
5995.17,µm,Spine,Spine Attachment Pt Position,7,4,1,,610000002789,
5975.9,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000002789,
5970.04,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000002789,
5995.07,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000002790,
5977.12,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000002790,
5995.03,µm,Spine,Spine Attachment Pt Position,6,4,1,,610000002791,
5970.23,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000002791,
5977.07,µm,Spine,Spine Attachment Pt Position,8,4,1,,610000002791,
5993.73,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000002792,
