
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Spine,4,4,Image 1,2,1,100000003,610000002444,
4,,Spine,4,6,Image 1,2,1,100000001,610000002447,
5,,Spine,4,0,Image 1,1,1,100000000,610000002452,
4,,Spine,4,5,Image 1,2,1,100000003,610000002455,
4,,Spine,4,9,Image 1,3,1,100000001,610000002459,
3,,Spine,4,0,Image 1,1,1,100000002,610000002462,
4,,Spine,4,0,Image 1,1,1,100000001,610000002466,
4,,Spine,4,0,Image 1,1,1,100000000,610000002469,
4,,Spine,4,0,Image 1,1,1,100000002,610000002473,
3,,Spine,4,5,Image 1,2,1,100000001,610000002476,
4,,Spine,4,0,Image 1,1,1,100000002,610000002480,
6,,Spine,4,6,Image 1,3,1,100000002,610000002485,
4,,Spine,4,0,Image 1,1,1,100000002,610000002488,
4,,Spine,4,0,Image 1,1,1,100000000,610000002492,
3,,Spine,4,3,Image 1,2,1,100000002,610000002494,
3,,Spine,4,0,Image 1,1,1,100000002,610000002496,
3,,Spine,4,6,Image 1,2,1,100000001,610000002498,
6,,Spine,4,6,Image 1,4,1,100000002,610000002503,
3,,Spine,4,5,Image 1,3,1,100000001,610000002505,
4,,Spine,4,8,Image 1,4,1,100000001,610000002509,
3,,Spine,4,3,Image 1,2,1,100000002,610000002511,
4,,Spine,4,0,Image 1,1,1,100000001,610000002515,
3,,Spine,4,0,Image 1,1,1,100000002,610000002518,
3,,Spine,4,0,Image 1,1,1,100000000,610000002521,
4,,Spine,4,0,Image 1,1,1,100000003,610000002525,
3,,Spine,4,5,Image 1,3,1,100000000,610000002527,
3,,Spine,4,0,Image 1,1,1,100000001,610000002530,
3,,Spine,4,0,Image 1,1,1,100000001,610000002533,
2,,Spine,4,0,Image 1,1,1,100000002,610000002536,
3,,Spine,4,10,Image 1,4,1,100000000,610000002538,
3,,Spine,4,5,Image 1,4,1,100000002,610000002541,
3,,Spine,4,4,Image 1,4,1,100000002,610000002543,
3,,Spine,4,0,Image 1,1,1,100000000,610000002547,
4,,Spine,4,0,Image 1,1,1,100000002,610000002551,
6,,Spine,4,6,Image 1,3,1,100000002,610000002557,
3,,Spine,4,3,Image 1,2,1,100000002,610000002559,
2,,Spine,4,0,Image 1,1,1,100000000,610000002561,
3,,Spine,4,2,Image 1,3,1,100000002,610000002563,
3,,Spine,4,4,Image 1,3,1,100000002,610000002568,
4,,Spine,4,6,Image 1,4,1,100000002,610000002571,
3,,Spine,4,6,Image 1,2,1,100000001,610000002573,
3,,Spine,4,10,Image 1,4,1,100000000,610000002575,
5,,Spine,4,6,Image 1,3,1,100000002,610000002580,
3,,Spine,4,11,Image 1,6,1,100000000,610000002582,
3,,Spine,4,2,Image 1,1,1,100000002,610000002584,
2,,Spine,4,0,Image 1,1,1,100000001,610000002586,
2,,Spine,4,0,Image 1,1,1,100000000,610000002588,
2,,Spine,4,0,Image 1,1,1,100000000,610000002590,
2,,Spine,4,0,Image 1,1,1,100000003,610000002592,
3,,Spine,4,0,Image 1,1,1,100000002,610000002595,
3,,Spine,4,9,Image 1,4,1,100000001,610000002598,
2,,Spine,4,0,Image 1,1,1,100000002,610000002601,
4,,Spine,4,0,Image 1,1,1,100000002,610000002606,
2,,Spine,4,0,Image 1,1,1,100000002,610000002609,
3,,Spine,4,11,Image 1,6,1,100000000,610000002612,
3,,Spine,4,8,Image 1,2,1,100000001,610000002615,
4,,Spine,4,0,Image 1,1,1,100000003,610000002618,
2,,Spine,4,0,Image 1,1,1,100000001,610000002620,
2,,Spine,4,0,Image 1,1,1,100000000,610000002623,
2,,Spine,4,0,Image 1,1,1,100000000,610000002626,
3,,Spine,4,8,Image 1,5,1,100000002,610000002628,
3,,Spine,4,0,Image 1,1,1,100000002,610000002630,
2,,Spine,4,0,Image 1,1,1,100000002,610000002632,
2,,Spine,4,0,Image 1,1,1,100000001,610000002635,
3,,Spine,4,0,Image 1,1,1,100000002,610000002638,
3,,Spine,4,4,Image 1,3,1,100000002,610000002641,
3,,Spine,4,3,Image 1,1,1,100000000,610000002644,
3,,Spine,4,0,Image 1,1,1,100000002,610000002650,
2,,Spine,4,0,Image 1,1,1,100000002,610000002652,
3,,Spine,4,0,Image 1,1,1,100000002,610000002658,
3,,Spine,4,0,Image 1,1,1,100000002,610000002661,
3,,Spine,4,5,Image 1,4,1,100000002,610000002667,
2,,Spine,4,0,Image 1,1,1,100000002,610000002669,
4,,Spine,4,6,Image 1,3,1,100000002,610000002679,
3,,Spine,4,6,Image 1,4,1,100000002,610000002682,
2,,Spine,4,11,Image 1,6,1,100000000,610000002713,
2,,Spine,4,11,Image 1,5,1,100000000,610000002714,
2,,Spine,4,10,Image 1,4,1,100000000,610000002715,
2,,Spine,4,10,Image 1,4,1,100000000,610000002716,
2,,Spine,4,8,Image 1,4,1,100000000,610000002717,
2,,Spine,4,8,Image 1,4,1,100000000,610000002718,
2,,Spine,4,8,Image 1,4,1,100000000,610000002719,
2,,Spine,4,6,Image 1,4,1,100000000,610000002720,
2,,Spine,4,6,Image 1,4,1,100000000,610000002721,
2,,Spine,4,6,Image 1,4,1,100000000,610000002722,
2,,Spine,4,5,Image 1,3,1,100000000,610000002723,
2,,Spine,4,6,Image 1,2,1,100000000,610000002724,
2,,Spine,4,0,Image 1,1,1,100000000,610000002725,
2,,Spine,4,0,Image 1,1,1,100000000,610000002727,
2,,Spine,4,6,Image 1,3,1,100000001,610000002733,
2,,Spine,4,9,Image 1,3,1,100000001,610000002734,
2,,Spine,4,8,Image 1,3,1,100000001,610000002735,
2,,Spine,4,7,Image 1,3,1,100000001,610000002736,
2,,Spine,4,7,Image 1,3,1,100000001,610000002737,
2,,Spine,4,6,Image 1,2,1,100000001,610000002738,
2,,Spine,4,6,Image 1,2,1,100000001,610000002739,
2,,Spine,4,6,Image 1,2,1,100000001,610000002740,
