
Spine Part Length Head
 ==================== 
Spine Part Length Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.08125,µm,Spine,Spine Part Length,4,2,1,100000003,610000002444,
0.092072,µm,Spine,Spine Part Length,6,2,1,100000001,610000002447,
0.564291,µm,Spine,Spine Part Length,0,1,1,100000000,610000002452,
0.1078,µm,Spine,Spine Part Length,5,2,1,100000003,610000002455,
0.08125,µm,Spine,Spine Part Length,9,3,1,100000001,610000002459,
0.348105,µm,Spine,Spine Part Length,0,1,1,100000002,610000002462,
0.272047,µm,Spine,Spine Part Length,0,1,1,100000001,610000002466,
0.105469,µm,Spine,Spine Part Length,0,1,1,100000000,610000002469,
0.327515,µm,Spine,Spine Part Length,0,1,1,100000002,610000002473,
0.147324,µm,Spine,Spine Part Length,5,2,1,100000001,610000002476,
0.132723,µm,Spine,Spine Part Length,0,1,1,100000002,610000002480,
0.294098,µm,Spine,Spine Part Length,6,3,1,100000002,610000002485,
0.131731,µm,Spine,Spine Part Length,0,1,1,100000002,610000002488,
0.272398,µm,Spine,Spine Part Length,0,1,1,100000000,610000002492,
0.116581,µm,Spine,Spine Part Length,3,2,1,100000002,610000002494,
0.0964339,µm,Spine,Spine Part Length,0,1,1,100000002,610000002496,
0.105394,µm,Spine,Spine Part Length,6,2,1,100000001,610000002498,
0.320797,µm,Spine,Spine Part Length,6,4,1,100000002,610000002503,
0.16334,µm,Spine,Spine Part Length,5,3,1,100000001,610000002505,
0.105674,µm,Spine,Spine Part Length,8,4,1,100000001,610000002509,
0.08125,µm,Spine,Spine Part Length,3,2,1,100000002,610000002511,
0.460214,µm,Spine,Spine Part Length,0,1,1,100000001,610000002515,
0.52726,µm,Spine,Spine Part Length,0,1,1,100000002,610000002518,
0.24877,µm,Spine,Spine Part Length,0,1,1,100000000,610000002521,
0.323582,µm,Spine,Spine Part Length,0,1,1,100000003,610000002525,
0.115158,µm,Spine,Spine Part Length,5,3,1,100000000,610000002527,
0.499098,µm,Spine,Spine Part Length,0,1,1,100000001,610000002530,
0.203261,µm,Spine,Spine Part Length,0,1,1,100000001,610000002533,
0.192365,µm,Spine,Spine Part Length,0,1,1,100000002,610000002536,
0.123535,µm,Spine,Spine Part Length,10,4,1,100000000,610000002538,
0.0970091,µm,Spine,Spine Part Length,5,4,1,100000002,610000002541,
0.08125,µm,Spine,Spine Part Length,4,4,1,100000002,610000002543,
0.274709,µm,Spine,Spine Part Length,0,1,1,100000000,610000002547,
0.279064,µm,Spine,Spine Part Length,0,1,1,100000002,610000002551,
0.261036,µm,Spine,Spine Part Length,6,3,1,100000002,610000002557,
0.0837891,µm,Spine,Spine Part Length,3,2,1,100000002,610000002559,
0.114117,µm,Spine,Spine Part Length,0,1,1,100000000,610000002561,
0.119617,µm,Spine,Spine Part Length,2,3,1,100000002,610000002563,
0.11851,µm,Spine,Spine Part Length,4,3,1,100000002,610000002568,
0.104076,µm,Spine,Spine Part Length,6,4,1,100000002,610000002571,
0.111239,µm,Spine,Spine Part Length,6,2,1,100000001,610000002573,
0.0863281,µm,Spine,Spine Part Length,10,4,1,100000000,610000002575,
0.384946,µm,Spine,Spine Part Length,6,3,1,100000002,610000002580,
0.10247,µm,Spine,Spine Part Length,11,6,1,100000000,610000002582,
0.142573,µm,Spine,Spine Part Length,2,1,1,100000002,610000002584,
