
Spine Part Length Neck
 ==================== 
Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,Spine Part Length,4,2,1,100000003,610000002444,
0.135695,µm,Spine,Spine Part Length,6,2,1,100000001,610000002447,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002452,
0.114544,µm,Spine,Spine Part Length,5,2,1,100000003,610000002455,
0.163975,µm,Spine,Spine Part Length,9,3,1,100000001,610000002459,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002462,
0.109782,µm,Spine,Spine Part Length,0,1,1,100000001,610000002466,
0.128062,µm,Spine,Spine Part Length,0,1,1,100000000,610000002469,
0.14284,µm,Spine,Spine Part Length,0,1,1,100000002,610000002473,
0,µm,Spine,Spine Part Length,5,2,1,100000001,610000002476,
0.112704,µm,Spine,Spine Part Length,0,1,1,100000002,610000002480,
0.173126,µm,Spine,Spine Part Length,6,3,1,100000002,610000002485,
0.143888,µm,Spine,Spine Part Length,0,1,1,100000002,610000002488,
0.129374,µm,Spine,Spine Part Length,0,1,1,100000000,610000002492,
0,µm,Spine,Spine Part Length,3,2,1,100000002,610000002494,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002496,
0,µm,Spine,Spine Part Length,6,2,1,100000001,610000002498,
0.157227,µm,Spine,Spine Part Length,6,4,1,100000002,610000002503,
0,µm,Spine,Spine Part Length,5,3,1,100000001,610000002505,
0.130599,µm,Spine,Spine Part Length,8,4,1,100000001,610000002509,
0,µm,Spine,Spine Part Length,3,2,1,100000002,610000002511,
0.164311,µm,Spine,Spine Part Length,0,1,1,100000001,610000002515,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002518,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002521,
0.108943,µm,Spine,Spine Part Length,0,1,1,100000003,610000002525,
0,µm,Spine,Spine Part Length,5,3,1,100000000,610000002527,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002530,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002533,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002536,
0,µm,Spine,Spine Part Length,10,4,1,100000000,610000002538,
0,µm,Spine,Spine Part Length,5,4,1,100000002,610000002541,
0,µm,Spine,Spine Part Length,4,4,1,100000002,610000002543,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002547,
0.131612,µm,Spine,Spine Part Length,0,1,1,100000002,610000002551,
0.15782,µm,Spine,Spine Part Length,6,3,1,100000002,610000002557,
0,µm,Spine,Spine Part Length,3,2,1,100000002,610000002559,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002561,
0,µm,Spine,Spine Part Length,2,3,1,100000002,610000002563,
0,µm,Spine,Spine Part Length,4,3,1,100000002,610000002568,
0.136206,µm,Spine,Spine Part Length,6,4,1,100000002,610000002571,
0,µm,Spine,Spine Part Length,6,2,1,100000001,610000002573,
0,µm,Spine,Spine Part Length,10,4,1,100000000,610000002575,
0,µm,Spine,Spine Part Length,6,3,1,100000002,610000002580,
0,µm,Spine,Spine Part Length,11,6,1,100000000,610000002582,
0,µm,Spine,Spine Part Length,2,1,1,100000002,610000002584,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002586,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002588,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002590,
0,µm,Spine,Spine Part Length,0,1,1,100000003,610000002592,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002595,
0,µm,Spine,Spine Part Length,9,4,1,100000001,610000002598,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002601,
0.0893891,µm,Spine,Spine Part Length,0,1,1,100000002,610000002606,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002609,
0,µm,Spine,Spine Part Length,11,6,1,100000000,610000002612,
0,µm,Spine,Spine Part Length,8,2,1,100000001,610000002615,
0.131696,µm,Spine,Spine Part Length,0,1,1,100000003,610000002618,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002620,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002623,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002626,
0,µm,Spine,Spine Part Length,8,5,1,100000002,610000002628,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002630,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002632,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002635,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002638,
0,µm,Spine,Spine Part Length,4,3,1,100000002,610000002641,
0,µm,Spine,Spine Part Length,3,1,1,100000000,610000002644,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002650,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002652,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002658,
