
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
26.1271,,Segment,2,5,Image 1,1,1,100000000,510000000104,
20.0198,,Segment,2,4,Image 1,1,1,100000000,510000000114,
16.8806,,Segment,2,3,Image 1,1,1,100000000,510000000130,
18.9947,,Segment,2,2,Image 1,1,1,100000000,510000000148,
19.5996,,Segment,2,1,Image 1,1,1,100000000,510000000164,
12.6018,,Segment,2,0,Image 1,1,1,100000000,510000000189,
27.1375,,Segment,2,5,Image 1,2,1,100000000,510000000218,
19.5739,,Segment,2,5,Image 1,2,1,100000000,510000000244,
13.3204,,Segment,2,4,Image 1,2,1,100000000,510000000261,
15.1731,,Segment,2,5,Image 1,3,1,100000000,510000000263,
14.827,,Segment,2,4,Image 1,3,1,100000000,510000000267,
20.1227,,Segment,2,3,Image 1,2,1,100000000,510000000289,
9.13783,,Segment,2,4,Image 1,2,1,100000000,510000000292,
36.8963,,Segment,2,2,Image 1,2,1,100000000,510000000297,
12.9367,,Segment,2,0,Image 1,1,1,100000000,510000000327,
11.7284,,Segment,2,0,Image 1,1,1,100000000,510000000360,
10.5,,Segment,2,1,Image 1,2,1,100000000,510000000395,
