
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
18581.2,µm,Segment,Segment Position,5,1,1,100000000,510000000104,
18581,µm,Segment,Segment Position,4,1,1,100000000,510000000114,
18580.9,µm,Segment,Segment Position,3,1,1,100000000,510000000130,
18580.3,µm,Segment,Segment Position,2,1,1,100000000,510000000148,
18579.3,µm,Segment,Segment Position,1,1,1,100000000,510000000164,
18578.6,µm,Segment,Segment Position,0,1,1,100000000,510000000189,
18581.6,µm,Segment,Segment Position,5,2,1,100000000,510000000218,
18580.2,µm,Segment,Segment Position,5,2,1,100000000,510000000244,
18580.5,µm,Segment,Segment Position,4,2,1,100000000,510000000261,
18580.1,µm,Segment,Segment Position,5,3,1,100000000,510000000263,
18582.8,µm,Segment,Segment Position,4,3,1,100000000,510000000267,
18581.7,µm,Segment,Segment Position,3,2,1,100000000,510000000289,
18582.9,µm,Segment,Segment Position,4,2,1,100000000,510000000292,
18579.9,µm,Segment,Segment Position,2,2,1,100000000,510000000297,
18578.5,µm,Segment,Segment Position,0,1,1,100000000,510000000327,
18575.1,µm,Segment,Segment Position,0,1,1,100000000,510000000360,
18578.9,µm,Segment,Segment Position,1,2,1,100000000,510000000395,
