
Spine Attachment Pt Distance
 ==================== 
Spine Attachment Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
7.21672,µm,Spine,4,1,1,100000000,610000001830,
17.2114,µm,Spine,13,4,1,100000001,610000001847,
7.51369,µm,Spine,4,2,1,100000001,610000001849,
5.4064,µm,Spine,2,1,1,100000000,610000001856,
8.42078,µm,Spine,7,3,1,100000001,610000001864,
6.64026,µm,Spine,3,2,1,100000001,610000001876,
0.923862,µm,Spine,0,1,1,100000000,610000001879,
1.6822,µm,Spine,1,2,1,100000001,610000001881,
17.8134,µm,Spine,13,4,1,100000001,610000001883,
2.40117,µm,Spine,5,2,1,100000001,610000001909,
5.90423,µm,Spine,3,2,1,100000000,610000001914,
1.40044,µm,Spine,3,1,1,100000001,610000001919,
3.16366,µm,Spine,5,2,1,100000001,610000001943,
3.09982,µm,Spine,4,1,1,100000001,610000001950,
2.69516,µm,Spine,5,3,1,100000001,610000001961,
17.3232,µm,Spine,13,4,1,100000001,610000001966,
16.0922,µm,Spine,12,4,1,100000001,610000001968,
2.40036,µm,Spine,4,1,1,100000001,610000001972,
0.32853,µm,Spine,0,1,1,100000001,610000001974,
1.64029,µm,Spine,3,1,1,100000001,610000001978,
3.09982,µm,Spine,4,1,1,100000001,610000001986,
2.09561,µm,Spine,4,2,1,100000001,610000001991,
3.16366,µm,Spine,5,2,1,100000001,610000001993,
3.06911,µm,Spine,5,2,1,100000001,610000002006,
5.81094,µm,Spine,3,2,1,100000000,610000002011,
0.833564,µm,Spine,1,2,1,100000001,610000002022,
2.13829,µm,Spine,4,1,1,100000001,610000002026,
2.09561,µm,Spine,4,2,1,100000001,610000002030,
2.55464,µm,Spine,5,2,1,100000001,610000002033,
2.9602,µm,Spine,5,2,1,100000001,610000002036,
2.27559,µm,Spine,4,1,1,100000001,610000002047,
5.01289,µm,Spine,6,2,1,100000001,610000002053,
5.01245,µm,Spine,2,1,1,100000000,610000002081,
0.459964,µm,Spine,0,1,1,100000000,610000002085,
7.21672,µm,Spine,4,1,1,100000000,610000002086,
3.08132,µm,Spine,2,1,1,100000000,610000002087,
3.5339,µm,Spine,1,2,1,100000000,610000002088,
1.67199,µm,Spine,1,2,1,100000000,610000002089,
0.7948,µm,Spine,0,1,1,100000000,610000002093,
16.5916,µm,Spine,13,5,1,100000001,610000002095,
17.428,µm,Spine,12,5,1,100000001,610000002096,
12.5694,µm,Spine,11,4,1,100000001,610000002097,
12.4677,µm,Spine,10,5,1,100000001,610000002098,
12.1624,µm,Spine,9,5,1,100000001,610000002099,
4.51985,µm,Spine,6,3,1,100000001,610000002100,
8.42078,µm,Spine,7,3,1,100000001,610000002101,
6.13129,µm,Spine,7,3,1,100000001,610000002102,
7.38419,µm,Spine,7,2,1,100000001,610000002103,
4.80861,µm,Spine,6,2,1,100000001,610000002104,
2.55464,µm,Spine,5,2,1,100000001,610000002105,
3.13779,µm,Spine,5,3,1,100000001,610000002106,
2.69516,µm,Spine,5,3,1,100000001,610000002107,
1.32706,µm,Spine,2,2,1,100000001,610000002108,
14.2534,µm,Spine,6,2,1,100000001,610000002111,
7.93288,µm,Spine,3,2,1,100000001,610000002112,
6.64026,µm,Spine,3,2,1,100000001,610000002113,
4.48576,µm,Spine,2,1,1,100000001,610000002114,
0.534969,µm,Spine,0,1,1,100000001,610000002123,
2.37594,µm,Spine,3,2,1,100000001,610000002124,
0.467674,µm,Spine,1,2,1,100000001,610000002125,
