
Spine Intensity StdDev Ch=2 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15.6646,,Spine,2,0,Image 1,1,1,100000001,610000001820,
15.6694,,Spine,2,0,Image 1,1,1,100000001,610000001828,
14.3051,,Spine,2,4,Image 1,1,1,100000000,610000001830,
15.6144,,Spine,2,0,Image 1,1,1,100000001,610000001837,
20.0271,,Spine,2,0,Image 1,1,1,100000000,610000001843,
29.2956,,Spine,2,13,Image 1,4,1,100000001,610000001847,
11.3837,,Spine,2,4,Image 1,2,1,100000001,610000001849,
21.1081,,Spine,2,0,Image 1,1,1,100000001,610000001854,
6.87873,,Spine,2,2,Image 1,1,1,100000000,610000001856,
20.6315,,Spine,2,0,Image 1,1,1,100000000,610000001861,
22.13,,Spine,2,7,Image 1,3,1,100000001,610000001864,
21.3087,,Spine,2,0,Image 1,1,1,100000000,610000001868,
10.8625,,Spine,2,0,Image 1,1,1,100000001,610000001872,
20.913,,Spine,2,3,Image 1,2,1,100000001,610000001876,
16.9597,,Spine,2,0,Image 1,1,1,100000000,610000001879,
16.3968,,Spine,2,1,Image 1,2,1,100000001,610000001881,
27.2043,,Spine,2,13,Image 1,4,1,100000001,610000001883,
10.6304,,Spine,2,0,Image 1,1,1,100000001,610000001885,
20.3961,,Spine,2,0,Image 1,1,1,100000000,610000001889,
20.4096,,Spine,2,0,Image 1,1,1,100000001,610000001892,
18.6558,,Spine,2,0,Image 1,1,1,100000000,610000001896,
19.2301,,Spine,2,0,Image 1,1,1,100000000,610000001899,
14.5253,,Spine,2,0,Image 1,1,1,100000001,610000001902,
13.2153,,Spine,2,0,Image 1,1,1,100000001,610000001905,
27.2061,,Spine,2,5,Image 1,2,1,100000001,610000001909,
18.7877,,Spine,2,0,Image 1,1,1,100000000,610000001912,
17.3541,,Spine,2,3,Image 1,2,1,100000000,610000001914,
26.9959,,Spine,2,3,Image 1,1,1,100000001,610000001919,
10.4547,,Spine,2,0,Image 1,1,1,100000001,610000001921,
22.7815,,Spine,2,0,Image 1,1,1,100000000,610000001927,
11.143,,Spine,2,0,Image 1,1,1,100000001,610000001929,
23.3897,,Spine,2,0,Image 1,1,1,100000001,610000001932,
20.6935,,Spine,2,0,Image 1,1,1,100000001,610000001935,
11.0189,,Spine,2,0,Image 1,1,1,100000001,610000001937,
20.5391,,Spine,2,0,Image 1,1,1,100000001,610000001940,
35.3621,,Spine,2,5,Image 1,2,1,100000001,610000001943,
19.4599,,Spine,2,0,Image 1,1,1,100000000,610000001946,
23.6016,,Spine,2,4,Image 1,1,1,100000001,610000001950,
23.2458,,Spine,2,0,Image 1,1,1,100000000,610000001954,
17.0955,,Spine,2,0,Image 1,1,1,100000000,610000001958,
27.2994,,Spine,2,5,Image 1,3,1,100000001,610000001961,
22.3869,,Spine,2,0,Image 1,1,1,100000001,610000001963,
