
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
7.97302,µm,Spine,4,1,1,100000000,610000001830,
17.8569,µm,Spine,13,4,1,100000001,610000001847,
8.00245,µm,Spine,4,2,1,100000001,610000001849,
5.80711,µm,Spine,2,1,1,100000000,610000001856,
8.85008,µm,Spine,7,3,1,100000001,610000001864,
7.15109,µm,Spine,3,2,1,100000001,610000001876,
1.49918,µm,Spine,0,1,1,100000000,610000001879,
2.04096,µm,Spine,1,2,1,100000001,610000001881,
18.1496,µm,Spine,13,4,1,100000001,610000001883,
3.05218,µm,Spine,5,2,1,100000001,610000001909,
6.38338,µm,Spine,3,2,1,100000000,610000001914,
2.06283,µm,Spine,3,1,1,100000001,610000001919,
3.69906,µm,Spine,5,2,1,100000001,610000001943,
3.61551,µm,Spine,4,1,1,100000001,610000001950,
3.24893,µm,Spine,5,3,1,100000001,610000001961,
17.7537,µm,Spine,13,4,1,100000001,610000001966,
16.4795,µm,Spine,12,4,1,100000001,610000001968,
2.92001,µm,Spine,4,1,1,100000001,610000001972,
0.806232,µm,Spine,0,1,1,100000001,610000001974,
2.17282,µm,Spine,3,1,1,100000001,610000001978,
3.56626,µm,Spine,4,1,1,100000001,610000001986,
2.65011,µm,Spine,4,2,1,100000001,610000001991,
3.5533,µm,Spine,5,2,1,100000001,610000001993,
3.55563,µm,Spine,5,2,1,100000001,610000002006,
6.17669,µm,Spine,3,2,1,100000000,610000002011,
1.20611,µm,Spine,1,2,1,100000001,610000002022,
2.58357,µm,Spine,4,1,1,100000001,610000002026,
2.55918,µm,Spine,4,2,1,100000001,610000002030,
2.88577,µm,Spine,5,2,1,100000001,610000002033,
3.3888,µm,Spine,5,2,1,100000001,610000002036,
2.69714,µm,Spine,4,1,1,100000001,610000002047,
5.38332,µm,Spine,6,2,1,100000001,610000002053,
5.25327,µm,Spine,2,1,1,100000000,610000002081,
0.842204,µm,Spine,0,1,1,100000000,610000002085,
7.56582,µm,Spine,4,1,1,100000000,610000002086,
3.37499,µm,Spine,2,1,1,100000000,610000002087,
3.77886,µm,Spine,1,2,1,100000000,610000002088,
1.94934,µm,Spine,1,2,1,100000000,610000002089,
1.04599,µm,Spine,0,1,1,100000000,610000002093,
16.9367,µm,Spine,13,5,1,100000001,610000002095,
17.7024,µm,Spine,12,5,1,100000001,610000002096,
12.8385,µm,Spine,11,4,1,100000001,610000002097,
12.7403,µm,Spine,10,5,1,100000001,610000002098,
12.4936,µm,Spine,9,5,1,100000001,610000002099,
4.79655,µm,Spine,6,3,1,100000001,610000002100,
8.72191,µm,Spine,7,3,1,100000001,610000002101,
6.40216,µm,Spine,7,3,1,100000001,610000002102,
7.7174,µm,Spine,7,2,1,100000001,610000002103,
5.14706,µm,Spine,6,2,1,100000001,610000002104,
2.88841,µm,Spine,5,2,1,100000001,610000002105,
3.45622,µm,Spine,5,3,1,100000001,610000002106,
2.96711,µm,Spine,5,3,1,100000001,610000002107,
1.59579,µm,Spine,2,2,1,100000001,610000002108,
14.4971,µm,Spine,6,2,1,100000001,610000002111,
8.27599,µm,Spine,3,2,1,100000001,610000002112,
6.93765,µm,Spine,3,2,1,100000001,610000002113,
4.76178,µm,Spine,2,1,1,100000001,610000002114,
0.774337,µm,Spine,0,1,1,100000001,610000002123,
2.72393,µm,Spine,3,2,1,100000001,610000002124,
0.829157,µm,Spine,1,2,1,100000001,610000002125,
