
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
78,,Segment,2,8,Image 1,7,1,100000001,510000000015,
56,,Segment,2,7,Image 1,6,1,100000001,510000000024,
62,,Segment,2,6,Image 1,6,1,100000001,510000000037,
122,,Segment,2,5,Image 1,5,1,100000001,510000000070,
99,,Segment,2,4,Image 1,5,1,100000001,510000000085,
84,,Segment,2,3,Image 1,4,1,100000001,510000000115,
101,,Segment,2,2,Image 1,3,1,100000001,510000000131,
107,,Segment,2,1,Image 1,2,1,100000001,510000000136,
121,,Segment,2,12,Image 1,10,1,100000001,510000000148,
121,,Segment,2,11,Image 1,9,1,100000001,510000000155,
92,,Segment,2,10,Image 1,9,1,100000001,510000000160,
132,,Segment,2,8,Image 1,8,1,100000001,510000000173,
146,,Segment,2,7,Image 1,7,1,100000001,510000000243,
132,,Segment,2,12,Image 1,9,1,100000001,510000000261,
68,,Segment,2,11,Image 1,10,1,100000001,510000000263,
86,,Segment,2,9,Image 1,9,1,100000001,510000000265,
100,,Segment,2,8,Image 1,7,1,100000001,510000000275,
99,,Segment,2,5,Image 1,6,1,100000001,510000000298,
59,,Segment,2,6,Image 1,5,1,100000001,510000000301,
122,,Segment,2,4,Image 1,4,1,100000001,510000000329,
72,,Segment,2,3,Image 1,3,1,100000001,510000000337,
55,,Segment,2,6,Image 1,4,1,100000000,510000000354,
107,,Segment,2,5,Image 1,3,1,100000000,510000000397,
103,,Segment,2,4,Image 1,2,1,100000000,510000000402,
87,,Segment,2,3,Image 1,2,1,100000000,510000000405,
106,,Segment,2,1,Image 1,1,1,100000000,510000000432,
83,,Segment,2,0,Image 1,1,1,100000000,510000000455,
108,,Segment,2,5,Image 1,2,1,100000000,510000000513,
40,,Segment,2,6,Image 1,3,1,100000000,510000000517,
64,,Segment,2,2,Image 1,2,1,100000001,510000000562,
58,,Segment,2,3,Image 1,2,1,100000001,510000000570,
72,,Segment,2,2,Image 1,2,1,100000001,510000000603,
107,,Segment,2,1,Image 1,1,1,100000001,510000000629,
58,,Segment,2,3,Image 1,3,1,100000001,510000000639,
80,,Segment,2,1,Image 1,2,1,100000000,510000000680,
83,,Segment,2,4,Image 1,3,1,100000000,510000000683,
99,,Segment,2,2,Image 1,2,1,100000000,510000000691,
93,,Segment,2,4,Image 1,2,1,100000000,510000000693,
54,,Segment,2,2,Image 1,1,1,100000001,510000000730,
28,,Segment,2,0,Image 1,1,1,100000000,510000000774,
77,,Segment,2,1,Image 1,1,1,100000000,510000000777,
88,,Segment,2,0,Image 1,1,1,100000000,510000000779,
77,,Segment,2,1,Image 1,2,1,100000000,510000000781,
87,,Segment,2,2,Image 1,1,1,100000000,510000000785,
87,,Segment,2,3,Image 1,1,1,100000000,510000000786,
102,,Segment,2,4,Image 1,1,1,100000000,510000000787,
107,,Segment,2,0,Image 1,1,1,100000001,510000000789,
48,,Segment,2,8,Image 1,6,1,100000001,510000000790,
86,,Segment,2,9,Image 1,8,1,100000001,510000000791,
72,,Segment,2,10,Image 1,8,1,100000001,510000000792,
