
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
28.0312,,Segment,3,8,Image 1,7,1,100000001,510000000015,
22.5312,,Segment,3,7,Image 1,6,1,100000001,510000000024,
34.5312,,Segment,3,6,Image 1,6,1,100000001,510000000037,
44.5625,,Segment,3,5,Image 1,5,1,100000001,510000000070,
39.0625,,Segment,3,4,Image 1,5,1,100000001,510000000085,
51.0625,,Segment,3,3,Image 1,4,1,100000001,510000000115,
51.0625,,Segment,3,2,Image 1,3,1,100000001,510000000131,
57.5625,,Segment,3,1,Image 1,2,1,100000001,510000000136,
31.0625,,Segment,3,12,Image 1,10,1,100000001,510000000148,
63.0625,,Segment,3,11,Image 1,9,1,100000001,510000000155,
75.5312,,Segment,3,10,Image 1,9,1,100000001,510000000160,
86.0625,,Segment,3,8,Image 1,8,1,100000001,510000000173,
62.125,,Segment,3,7,Image 1,7,1,100000001,510000000243,
58.125,,Segment,3,12,Image 1,9,1,100000001,510000000261,
65.0156,,Segment,3,11,Image 1,10,1,100000001,510000000263,
63.0312,,Segment,3,9,Image 1,9,1,100000001,510000000265,
47.5625,,Segment,3,8,Image 1,7,1,100000001,510000000275,
26.0625,,Segment,3,5,Image 1,6,1,100000001,510000000298,
41.5156,,Segment,3,6,Image 1,5,1,100000001,510000000301,
57.0625,,Segment,3,4,Image 1,4,1,100000001,510000000329,
49.0312,,Segment,3,3,Image 1,3,1,100000001,510000000337,
28.0312,,Segment,3,6,Image 1,4,1,100000000,510000000354,
37.0625,,Segment,3,5,Image 1,3,1,100000000,510000000397,
83.0312,,Segment,3,4,Image 1,2,1,100000000,510000000402,
78.0156,,Segment,3,3,Image 1,2,1,100000000,510000000405,
48.0625,,Segment,3,1,Image 1,1,1,100000000,510000000432,
46.5625,,Segment,3,0,Image 1,1,1,100000000,510000000455,
28.5625,,Segment,3,5,Image 1,2,1,100000000,510000000513,
25.0156,,Segment,3,6,Image 1,3,1,100000000,510000000517,
26.5625,,Segment,3,2,Image 1,2,1,100000001,510000000562,
21.0312,,Segment,3,3,Image 1,2,1,100000001,510000000570,
30.5625,,Segment,3,2,Image 1,2,1,100000001,510000000603,
44.0625,,Segment,3,1,Image 1,1,1,100000001,510000000629,
17.0312,,Segment,3,3,Image 1,3,1,100000001,510000000639,
33.0625,,Segment,3,1,Image 1,2,1,100000000,510000000680,
63.0156,,Segment,3,4,Image 1,3,1,100000000,510000000683,
66.0312,,Segment,3,2,Image 1,2,1,100000000,510000000691,
73.0156,,Segment,3,4,Image 1,2,1,100000000,510000000693,
30.5312,,Segment,3,2,Image 1,1,1,100000001,510000000730,
17.0156,,Segment,3,0,Image 1,1,1,100000000,510000000774,
38.0312,,Segment,3,1,Image 1,1,1,100000000,510000000777,
82.5078,,Segment,3,0,Image 1,1,1,100000000,510000000779,
37.0312,,Segment,3,1,Image 1,2,1,100000000,510000000781,
78.0156,,Segment,3,2,Image 1,1,1,100000000,510000000785,
80.0078,,Segment,3,3,Image 1,1,1,100000000,510000000786,
87.5156,,Segment,3,4,Image 1,1,1,100000000,510000000787,
77.0312,,Segment,3,0,Image 1,1,1,100000001,510000000789,
35.0156,,Segment,3,8,Image 1,6,1,100000001,510000000790,
79.0078,,Segment,3,9,Image 1,8,1,100000001,510000000791,
64.0156,,Segment,3,10,Image 1,8,1,100000001,510000000792,
