
Spine Center Intensity StdDev Ch=3 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
19.9017,,Spine,3,3,Image 1,3,1,100000001,610000000875,
11.4473,,Spine,3,4,Image 1,5,1,100000001,610000000884,
29.0751,,Spine,3,0,Image 1,1,1,100000000,610000000888,
20.6434,,Spine,3,3,Image 1,3,1,100000001,610000000898,
9.523,,Spine,3,6,Image 1,3,1,100000000,610000000901,
27.9883,,Spine,3,2,Image 1,2,1,100000001,610000000907,
12.5413,,Spine,3,3,Image 1,3,1,100000001,610000000915,
11.9432,,Spine,3,4,Image 1,5,1,100000001,610000000919,
21.6305,,Spine,3,3,Image 1,3,1,100000001,610000000927,
23.2546,,Spine,3,7,Image 1,7,1,100000001,610000000933,
33.9652,,Spine,3,3,Image 1,3,1,100000001,610000000939,
8.52447,,Spine,3,6,Image 1,4,1,100000000,610000000941,
18.98,,Spine,3,2,Image 1,2,1,100000001,610000000945,
8.69905,,Spine,3,3,Image 1,3,1,100000001,610000000951,
7.29298,,Spine,3,4,Image 1,5,1,100000001,610000000954,
18.5582,,Spine,3,7,Image 1,7,1,100000001,610000000960,
8.83176,,Spine,3,4,Image 1,4,1,100000001,610000000962,
13.1993,,Spine,3,1,Image 1,1,1,100000000,610000000964,
16.2865,,Spine,3,7,Image 1,7,1,100000001,610000000967,
16.6339,,Spine,3,1,Image 1,2,1,100000000,610000000971,
32.5375,,Spine,3,1,Image 1,1,1,100000000,610000000976,
13.2169,,Spine,3,7,Image 1,7,1,100000001,610000000982,
15.6425,,Spine,3,3,Image 1,3,1,100000001,610000000985,
17.4714,,Spine,3,2,Image 1,1,1,100000000,610000000992,
1.5,,Spine,3,1,Image 1,2,1,100000000,610000000996,
48.2309,,Spine,3,12,Image 1,9,1,100000001,610000000998,
19.5107,,Spine,3,1,Image 1,1,1,100000000,610000001000,
6.59966,,Spine,3,3,Image 1,3,1,100000001,610000001006,
20.3961,,Spine,3,1,Image 1,1,1,100000000,610000001010,
20.8859,,Spine,3,3,Image 1,2,1,100000000,610000001013,
22.1058,,Spine,3,5,Image 1,2,1,100000000,610000001016,
0.5,,Spine,3,5,Image 1,3,1,100000000,610000001027,
37,,Spine,3,5,Image 1,2,1,100000000,610000001028,
35.5,,Spine,3,5,Image 1,2,1,100000000,610000001029,
13.5,,Spine,3,5,Image 1,2,1,100000000,610000001030,
12.5,,Spine,3,4,Image 1,2,1,100000000,610000001031,
2,,Spine,3,4,Image 1,3,1,100000000,610000001032,
20,,Spine,3,3,Image 1,2,1,100000000,610000001033,
5,,Spine,3,2,Image 1,1,1,100000000,610000001034,
13,,Spine,3,1,Image 1,1,1,100000000,610000001035,
13,,Spine,3,1,Image 1,1,1,100000000,610000001036,
3,,Spine,3,1,Image 1,1,1,100000000,610000001037,
4,,Spine,3,1,Image 1,1,1,100000000,610000001038,
24,,Spine,3,0,Image 1,1,1,100000000,610000001041,
3,,Spine,3,1,Image 1,2,1,100000000,610000001045,
8.5,,Spine,3,12,Image 1,9,1,100000001,610000001047,
2.5,,Spine,3,8,Image 1,8,1,100000001,610000001048,
18.5,,Spine,3,7,Image 1,7,1,100000001,610000001049,
14,,Spine,3,7,Image 1,7,1,100000001,610000001050,
23,,Spine,3,6,Image 1,5,1,100000001,610000001051,
17.5,,Spine,3,5,Image 1,5,1,100000001,610000001052,
2.5,,Spine,3,3,Image 1,3,1,100000001,610000001053,
18,,Spine,3,2,Image 1,2,1,100000001,610000001054,
10.5,,Spine,3,2,Image 1,2,1,100000001,610000001055,
