
Spine Center Number of Voxel Ch=5 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Spine,5,1,Image 1,2,1,100000001,610000001690,
5,,Spine,5,1,Image 1,2,1,100000002,610000001695,
4,,Spine,5,1,Image 1,2,1,100000002,610000001699,
2,,Spine,5,0,Image 1,1,1,100000000,610000001702,
5,,Spine,5,0,Image 1,1,1,100000000,610000001707,
10,,Spine,5,0,Image 1,1,1,100000000,610000001716,
3,,Spine,5,0,Image 1,1,1,100000001,610000001719,
5,,Spine,5,1,Image 1,2,1,100000003,610000001723,
5,,Spine,5,0,Image 1,1,1,100000001,610000001728,
4,,Spine,5,1,Image 1,1,1,100000001,610000001731,
2,,Spine,5,0,Image 1,1,1,100000000,610000001733,
3,,Spine,5,1,Image 1,2,1,100000002,610000001736,
3,,Spine,5,0,Image 1,1,1,100000001,610000001738,
3,,Spine,5,0,Image 1,1,1,100000000,610000001741,
3,,Spine,5,1,Image 1,2,1,100000002,610000001744,
2,,Spine,5,0,Image 1,1,1,100000000,610000001747,
2,,Spine,5,0,Image 1,1,1,100000000,610000001749,
3,,Spine,5,0,Image 1,1,1,100000001,610000001752,
2,,Spine,5,1,Image 1,2,1,100000002,610000001754,
3,,Spine,5,1,Image 1,1,1,100000001,610000001756,
3,,Spine,5,0,Image 1,1,1,100000003,610000001758,
3,,Spine,5,0,Image 1,1,1,100000000,610000001762,
2,,Spine,5,0,Image 1,1,1,100000000,610000001764,
2,,Spine,5,1,Image 1,2,1,100000002,610000001767,
3,,Spine,5,0,Image 1,1,1,100000000,610000001770,
3,,Spine,5,0,Image 1,1,1,100000003,610000001773,
2,,Spine,5,1,Image 1,2,1,100000002,610000001775,
2,,Spine,5,0,Image 1,1,1,100000000,610000001778,
3,,Spine,5,0,Image 1,1,1,100000000,610000001781,
3,,Spine,5,1,Image 1,2,1,100000002,610000001785,
2,,Spine,5,1,Image 1,2,1,100000002,610000001788,
3,,Spine,5,0,Image 1,1,1,100000000,610000001792,
3,,Spine,5,1,Image 1,2,1,100000003,610000001795,
2,,Spine,5,0,Image 1,1,1,100000001,610000001803,
3,,Spine,5,0,Image 1,1,1,100000004,610000001805,
4,,Spine,5,0,Image 1,1,1,100000000,610000001814,
3,,Spine,5,0,Image 1,1,1,100000003,610000001816,
2,,Spine,5,0,Image 1,1,1,100000000,610000001819,
2,,Spine,5,0,Image 1,1,1,100000000,610000001821,
2,,Spine,5,1,Image 1,2,1,100000002,610000001823,
5,,Spine,5,0,Image 1,1,1,100000000,610000001829,
2,,Spine,5,0,Image 1,1,1,100000001,610000001841,
2,,Spine,5,0,Image 1,1,1,100000001,610000001843,
3,,Spine,5,0,Image 1,1,1,100000004,610000001845,
2,,Spine,5,0,Image 1,1,1,100000000,610000001847,
2,,Spine,5,0,Image 1,1,1,100000000,610000001849,
3,,Spine,5,0,Image 1,1,1,100000000,610000001856,
3,,Spine,5,0,Image 1,1,1,100000000,610000001858,
2,,Spine,5,0,Image 1,1,1,100000001,610000001865,
2,,Spine,5,0,Image 1,1,1,100000000,610000001871,
3,,Spine,5,0,Image 1,1,1,100000000,610000001879,
2,,Spine,5,0,Image 1,1,1,100000000,610000001891,
2,,Spine,5,0,Image 1,1,1,100000000,610000001908,
2,,Spine,5,1,Image 1,1,1,100000001,610000001909,
2,,Spine,5,1,Image 1,1,1,100000001,610000001910,
2,,Spine,5,1,Image 1,1,1,100000001,610000001911,
2,,Spine,5,1,Image 1,1,1,100000001,610000001912,
2,,Spine,5,0,Image 1,1,1,100000001,610000001913,
2,,Spine,5,0,Image 1,1,1,100000001,610000001914,
2,,Spine,5,0,Image 1,1,1,100000001,610000001915,
2,,Spine,5,0,Image 1,1,1,100000001,610000001916,
2,,Spine,5,2,Image 1,2,1,100000001,610000001917,
2,,Spine,5,0,Image 1,1,1,100000001,610000001924,
2,,Spine,5,1,Image 1,2,1,100000002,610000001927,
2,,Spine,5,0,Image 1,1,1,100000002,610000001928,
2,,Spine,5,0,Image 1,1,1,100000002,610000001929,
2,,Spine,5,0,Image 1,1,1,100000002,610000001930,
2,,Spine,5,0,Image 1,1,1,100000002,610000001931,
2,,Spine,5,1,Image 1,2,1,100000002,610000001933,
2,,Spine,5,0,Image 1,1,1,100000002,610000001934,
2,,Spine,5,3,Image 1,2,1,100000003,610000001943,
2,,Spine,5,2,Image 1,2,1,100000003,610000001944,
2,,Spine,5,1,Image 1,2,1,100000003,610000001945,
2,,Spine,5,0,Image 1,1,1,100000003,610000001946,
2,,Spine,5,0,Image 1,1,1,100000003,610000001950,
2,,Spine,5,1,Image 1,1,1,100000004,610000001952,
2,,Spine,5,1,Image 1,1,1,100000004,610000001953,
2,,Spine,5,0,Image 1,1,1,100000004,610000001954,
2,,Spine,5,0,Image 1,1,1,100000004,610000001955,
