
Spine Intensity StdDev Ch=2 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
17.6769,,Spine,2,1,Image 1,2,1,100000001,610000001690,
11.9437,,Spine,2,1,Image 1,2,1,100000002,610000001695,
12.9897,,Spine,2,1,Image 1,2,1,100000002,610000001699,
5.25248,,Spine,2,0,Image 1,1,1,100000000,610000001702,
13.1407,,Spine,2,0,Image 1,1,1,100000000,610000001707,
16.5392,,Spine,2,0,Image 1,1,1,100000000,610000001716,
9.54838,,Spine,2,0,Image 1,1,1,100000001,610000001719,
20.3301,,Spine,2,1,Image 1,2,1,100000003,610000001723,
13.333,,Spine,2,0,Image 1,1,1,100000001,610000001728,
13.1693,,Spine,2,1,Image 1,1,1,100000001,610000001731,
7.05706,,Spine,2,0,Image 1,1,1,100000000,610000001733,
11.339,,Spine,2,1,Image 1,2,1,100000002,610000001736,
18.433,,Spine,2,0,Image 1,1,1,100000001,610000001738,
10.6512,,Spine,2,0,Image 1,1,1,100000000,610000001741,
12.2309,,Spine,2,1,Image 1,2,1,100000002,610000001744,
9.01686,,Spine,2,0,Image 1,1,1,100000000,610000001747,
7.5074,,Spine,2,0,Image 1,1,1,100000000,610000001749,
14.0758,,Spine,2,0,Image 1,1,1,100000001,610000001752,
10.2336,,Spine,2,1,Image 1,2,1,100000002,610000001754,
14.382,,Spine,2,1,Image 1,1,1,100000001,610000001756,
20.0897,,Spine,2,0,Image 1,1,1,100000003,610000001758,
19.9476,,Spine,2,0,Image 1,1,1,100000000,610000001762,
10.48,,Spine,2,0,Image 1,1,1,100000000,610000001764,
9.4089,,Spine,2,1,Image 1,2,1,100000002,610000001767,
11.8715,,Spine,2,0,Image 1,1,1,100000000,610000001770,
17.9523,,Spine,2,0,Image 1,1,1,100000003,610000001773,
11.2076,,Spine,2,1,Image 1,2,1,100000002,610000001775,
10.0901,,Spine,2,0,Image 1,1,1,100000000,610000001778,
16.8548,,Spine,2,0,Image 1,1,1,100000000,610000001781,
12.0156,,Spine,2,1,Image 1,2,1,100000002,610000001785,
8.41047,,Spine,2,1,Image 1,2,1,100000002,610000001788,
13.6762,,Spine,2,0,Image 1,1,1,100000000,610000001792,
13.5579,,Spine,2,1,Image 1,2,1,100000003,610000001795,
11.3028,,Spine,2,0,Image 1,1,1,100000001,610000001803,
11.435,,Spine,2,0,Image 1,1,1,100000004,610000001805,
15.61,,Spine,2,0,Image 1,1,1,100000000,610000001814,
17.1145,,Spine,2,0,Image 1,1,1,100000003,610000001816,
11.9074,,Spine,2,0,Image 1,1,1,100000000,610000001819,
14.9715,,Spine,2,0,Image 1,1,1,100000000,610000001821,
9.72333,,Spine,2,1,Image 1,2,1,100000002,610000001823,
17.6352,,Spine,2,0,Image 1,1,1,100000000,610000001829,
14.017,,Spine,2,0,Image 1,1,1,100000001,610000001841,
14.6076,,Spine,2,0,Image 1,1,1,100000001,610000001843,
8.9406,,Spine,2,0,Image 1,1,1,100000004,610000001845,
15.6651,,Spine,2,0,Image 1,1,1,100000000,610000001847,
21.3842,,Spine,2,0,Image 1,1,1,100000000,610000001849,
19.0611,,Spine,2,0,Image 1,1,1,100000000,610000001856,
12.7097,,Spine,2,0,Image 1,1,1,100000000,610000001858,
17.5605,,Spine,2,0,Image 1,1,1,100000001,610000001865,
15.4205,,Spine,2,0,Image 1,1,1,100000000,610000001871,
20.8874,,Spine,2,0,Image 1,1,1,100000000,610000001879,
7.28726,,Spine,2,0,Image 1,1,1,100000000,610000001891,
16.8184,,Spine,2,0,Image 1,1,1,100000000,610000001908,
15.5817,,Spine,2,1,Image 1,1,1,100000001,610000001909,
14.8356,,Spine,2,1,Image 1,1,1,100000001,610000001910,
12.3348,,Spine,2,1,Image 1,1,1,100000001,610000001911,
25.2079,,Spine,2,1,Image 1,1,1,100000001,610000001912,
20.641,,Spine,2,0,Image 1,1,1,100000001,610000001913,
16.8318,,Spine,2,0,Image 1,1,1,100000001,610000001914,
12.9061,,Spine,2,0,Image 1,1,1,100000001,610000001915,
8.34239,,Spine,2,0,Image 1,1,1,100000001,610000001916,
12.109,,Spine,2,2,Image 1,2,1,100000001,610000001917,
12.7998,,Spine,2,0,Image 1,1,1,100000001,610000001924,
14.2323,,Spine,2,1,Image 1,2,1,100000002,610000001927,
12.4119,,Spine,2,0,Image 1,1,1,100000002,610000001928,
9.89174,,Spine,2,0,Image 1,1,1,100000002,610000001929,
8.36265,,Spine,2,0,Image 1,1,1,100000002,610000001930,
10.9935,,Spine,2,0,Image 1,1,1,100000002,610000001931,
12.6129,,Spine,2,1,Image 1,2,1,100000002,610000001933,
10.5265,,Spine,2,0,Image 1,1,1,100000002,610000001934,
20.5333,,Spine,2,3,Image 1,2,1,100000003,610000001943,
16.4034,,Spine,2,2,Image 1,2,1,100000003,610000001944,
13.1782,,Spine,2,1,Image 1,2,1,100000003,610000001945,
17.1802,,Spine,2,0,Image 1,1,1,100000003,610000001946,
20.7077,,Spine,2,0,Image 1,1,1,100000003,610000001950,
12.4517,,Spine,2,1,Image 1,1,1,100000004,610000001952,
9.44868,,Spine,2,1,Image 1,1,1,100000004,610000001953,
14.4699,,Spine,2,0,Image 1,1,1,100000004,610000001954,
16.5649,,Spine,2,0,Image 1,1,1,100000004,610000001955,
