
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1439.9,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1439.78,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1440.07,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1439.78,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1440.06,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1440.82,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1440.85,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1440.87,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1440.84,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1440.87,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1443.16,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1443.14,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1443.25,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1443.13,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1443.36,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
