
Spine Intensity Mean Ch=3 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2.93258,,Spine,3,0,Image 1,1,1,100000000,610000000485,
0,,Spine,3,0,Image 1,1,1,100000002,610000000497,
5.76136,,Spine,3,0,Image 1,1,1,100000000,610000000503,
0,,Spine,3,0,Image 1,1,1,100000002,610000000513,
0,,Spine,3,0,Image 1,1,1,100000001,610000000516,
0,,Spine,3,0,Image 1,1,1,100000001,610000000519,
0.294314,,Spine,3,1,Image 1,1,1,100000001,610000000521,
0,,Spine,3,0,Image 1,1,1,100000001,610000000523,
0,,Spine,3,0,Image 1,1,1,100000001,610000000526,
0,,Spine,3,0,Image 1,1,1,100000001,610000000528,
0,,Spine,3,0,Image 1,1,1,100000001,610000000530,
0,,Spine,3,0,Image 1,1,1,100000001,610000000533,
0,,Spine,3,2,Image 1,3,1,100000001,610000000536,
0,,Spine,3,0,Image 1,1,1,100000002,610000000539,
0,,Spine,3,0,Image 1,1,1,100000001,610000000541,
0,,Spine,3,2,Image 1,3,1,100000001,610000000544,
0,,Spine,3,0,Image 1,1,1,100000001,610000000546,
0,,Spine,3,0,Image 1,1,1,100000002,610000000551,
0,,Spine,3,0,Image 1,1,1,100000002,610000000556,
0,,Spine,3,0,Image 1,1,1,100000002,610000000561,
0,,Spine,3,0,Image 1,1,1,100000001,610000000564,
1.25532,,Spine,3,2,Image 1,3,1,100000000,610000000572,
0,,Spine,3,2,Image 1,3,1,100000000,610000000573,
0,,Spine,3,0,Image 1,1,1,100000000,610000000574,
0,,Spine,3,0,Image 1,1,1,100000000,610000000575,
0,,Spine,3,5,Image 1,1,1,100000001,610000000577,
0,,Spine,3,5,Image 1,2,1,100000001,610000000578,
0,,Spine,3,2,Image 1,1,1,100000001,610000000579,
12.4684,,Spine,3,2,Image 1,3,1,100000001,610000000580,
0,,Spine,3,0,Image 1,1,1,100000001,610000000581,
0,,Spine,3,0,Image 1,1,1,100000001,610000000582,
0,,Spine,3,0,Image 1,1,1,100000001,610000000585,
0,,Spine,3,0,Image 1,1,1,100000001,610000000586,
0,,Spine,3,0,Image 1,1,1,100000002,610000000588,
0,,Spine,3,0,Image 1,1,1,100000002,610000000589,
