
Spine Terminal Pt Time
 ==================== 
Spine Terminal Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,0,1,1,100000000,610000000485,
0,s,Spine,0,1,1,100000000,610000000503,
0,s,Spine,,,1,,610000000515,
0,s,Spine,1,1,1,100000001,610000000521,
0,s,Spine,0,1,1,100000001,610000000523,
0,s,Spine,0,1,1,100000001,610000000528,
0,s,Spine,,,1,,610000000532,
0,s,Spine,2,3,1,100000001,610000000536,
0,s,Spine,0,1,1,100000002,610000000539,
0,s,Spine,2,3,1,100000001,610000000544,
0,s,Spine,0,1,1,,610000000591,
0,s,Spine,2,3,1,,610000000591,
0,s,Spine,2,1,1,,610000000592,
0,s,Spine,0,1,1,,610000000592,
0,s,Spine,2,3,1,,610000000592,
0,s,Spine,5,2,1,,610000000593,
0,s,Spine,2,3,1,,610000000593,
0,s,Spine,0,1,1,,610000000594,
0,s,Spine,5,1,1,,610000000594,
0,s,Spine,0,1,1,,610000000595,
0,s,Spine,0,1,1,,610000000597,
0,s,Spine,0,1,1,,610000000598,
0,s,Spine,,,1,,610000000602,
