
Segment Number of Voxel Ch=3 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
487,,Segment,3,9,Image 1,4,1,100000001,510000000045,
334,,Segment,3,8,Image 1,4,1,100000001,510000000062,
93,,Segment,3,7,Image 1,3,1,100000001,510000000071,
131,,Segment,3,6,Image 1,2,1,100000001,510000000092,
318,,Segment,3,5,Image 1,1,1,100000001,510000000105,
351,,Segment,3,4,Image 1,1,1,100000001,510000000112,
738,,Segment,3,3,Image 1,1,1,100000001,510000000138,
1540,,Segment,3,2,Image 1,1,1,100000001,510000000171,
252,,Segment,3,1,Image 1,1,1,100000001,510000000176,
132,,Segment,3,0,Image 1,1,1,100000001,510000000180,
119,,Segment,3,9,Image 1,5,1,100000001,510000000201,
279,,Segment,3,8,Image 1,3,1,100000001,510000000216,
102,,Segment,3,7,Image 1,2,1,100000001,510000000224,
2000,,Segment,3,6,Image 1,2,1,100000000,510000000296,
275,,Segment,3,5,Image 1,2,1,100000000,510000000302,
247,,Segment,3,3,Image 1,2,1,100000000,510000000306,
708,,Segment,3,2,Image 1,1,1,100000000,510000000313,
1304,,Segment,3,1,Image 1,1,1,100000000,510000000316,
1785,,Segment,3,0,Image 1,1,1,100000000,510000000355,
897,,Segment,3,4,Image 1,3,1,100000000,510000000431,
323,,Segment,3,5,Image 1,3,1,100000000,510000000445,
254,,Segment,3,4,Image 1,2,1,100000000,510000000453,
560,,Segment,3,3,Image 1,1,1,100000000,510000000461,
458,,Segment,3,6,Image 1,3,1,100000000,510000000472,
264,,Segment,3,2,Image 1,3,1,100000000,510000000478,
1240,,Segment,3,1,Image 1,2,1,100000000,510000000482,
236,,Segment,3,2,Image 1,2,1,100000000,510000000484,
444,,Segment,3,2,Image 1,2,1,100000000,510000000488,
235,,Segment,3,9,Image 1,4,1,100000001,510000000500,
231,,Segment,3,7,Image 1,4,1,100000001,510000000503,
1148,,Segment,3,6,Image 1,3,1,100000001,510000000564,
452,,Segment,3,5,Image 1,2,1,100000001,510000000581,
496,,Segment,3,4,Image 1,2,1,100000001,510000000595,
121,,Segment,3,9,Image 1,5,1,100000001,510000000607,
116,,Segment,3,8,Image 1,4,1,100000001,510000000610,
340,,Segment,3,7,Image 1,3,1,100000001,510000000613,
374,,Segment,3,8,Image 1,5,1,100000001,510000000630,
321,,Segment,3,10,Image 1,4,1,100000001,510000000646,
102,,Segment,3,9,Image 1,4,1,100000001,510000000648,
162,,Segment,3,10,Image 1,5,1,100000001,510000000653,
98,,Segment,3,9,Image 1,5,1,100000001,510000000656,
150,,Segment,3,8,Image 1,3,1,100000001,510000000659,
121,,Segment,3,2,Image 1,3,1,100000002,510000000667,
119,,Segment,3,1,Image 1,2,1,100000002,510000000674,
1452,,Segment,3,0,Image 1,1,1,100000002,510000000748,
250,,Segment,3,2,Image 1,2,1,100000002,510000000785,
76,,Segment,3,6,Image 1,1,1,100000001,510000000789,
223,,Segment,3,6,Image 1,3,1,100000001,510000000795,
208,,Segment,3,6,Image 1,2,1,100000001,510000000797,
32,,Segment,3,6,Image 1,3,1,100000001,510000000803,
178,,Segment,3,5,Image 1,3,1,100000001,510000000811,
80,,Segment,3,6,Image 1,2,1,100000001,510000000814,
114,,Segment,3,4,Image 1,3,1,100000001,510000000823,
345,,Segment,3,3,Image 1,2,1,100000001,510000000832,
185,,Segment,3,4,Image 1,2,1,100000001,510000000836,
227,,Segment,3,0,Image 1,1,1,100000001,510000000849,
110,,Segment,3,0,Image 1,1,1,100000002,510000000882,
488,,Segment,3,2,Image 1,1,1,100000001,510000000918,
334,,Segment,3,1,Image 1,1,1,100000001,510000000924,
523,,Segment,3,0,Image 1,1,1,100000001,510000000951,
139,,Segment,3,1,Image 1,2,1,100000001,510000000962,
144,,Segment,3,0,Image 1,1,1,100000001,510000000968,
126,,Segment,3,1,Image 1,1,1,100000001,510000001023,
218,,Segment,3,2,Image 1,2,1,100000001,510000001027,
204,,Segment,3,1,Image 1,2,1,100000002,510000001037,
268,,Segment,3,0,Image 1,1,1,100000002,510000001054,
97,,Segment,3,2,Image 1,2,1,100000001,510000001056,
153,,Segment,3,2,Image 1,1,1,100000002,510000001084,
269,,Segment,3,1,Image 1,1,1,100000002,510000001089,
115,,Segment,3,2,Image 1,2,1,100000002,510000001096,
200,,Segment,3,1,Image 1,2,1,100000001,510000001116,
233,,Segment,3,1,Image 1,2,1,100000001,510000001174,
158,,Segment,3,4,Image 1,2,1,100000000,510000001201,
186,,Segment,3,4,Image 1,1,1,100000000,510000001202,
109,,Segment,3,5,Image 1,2,1,100000001,510000001203,
78,,Segment,3,8,Image 1,4,1,100000001,510000001204,
65,,Segment,3,1,Image 1,1,1,100000002,510000001206,
