
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-15305.3,22363.2,1440.85,µm,Segment,Segment Position,0,1,1,100000001,510000000180,
-15318.2,22337.6,1440.46,µm,Segment,Segment Position,0,1,1,100000000,510000000355,
-15313.9,22364.9,1442.25,µm,Segment,Segment Position,0,1,1,100000002,510000000748,
-15308.2,22363,1440.98,µm,Segment,Segment Position,0,1,1,100000001,510000000849,
-15312.1,22363,1442.46,µm,Segment,Segment Position,0,1,1,100000002,510000000882,
-15305.5,22360.1,1440.11,µm,Segment,Segment Position,0,1,1,100000001,510000000951,
-15307.5,22361.2,1440.08,µm,Segment,Segment Position,0,1,1,100000001,510000000968,
-15309.9,22367,1442.43,µm,Segment,Segment Position,0,1,1,100000002,510000001054,
-15305.1,22363.4,1440.88,µm,Segment,Segment Position,1,1,1,100000001,510000000176,
-15316.5,22337.7,1440.61,µm,Segment,Segment Position,1,1,1,100000000,510000000316,
-15305.1,22359.3,1440.35,µm,Segment,Segment Position,1,1,1,100000001,510000000924,
-15307.7,22360.9,1440.04,µm,Segment,Segment Position,1,1,1,100000001,510000001023,
-15309.9,22367.5,1442.45,µm,Segment,Segment Position,1,1,1,100000002,510000001089,
-15314.4,22365.4,1440.56,µm,Segment,Segment Position,1,1,1,100000002,510000001206,
-15316.5,22337.6,1440.45,µm,Segment,Segment Position,1,2,1,100000000,510000000482,
-15314.2,22365.3,1440.35,µm,Segment,Segment Position,1,2,1,100000002,510000000674,
-15308,22361.2,1439.71,µm,Segment,Segment Position,1,2,1,100000001,510000000962,
-15310.2,22367.1,1442.11,µm,Segment,Segment Position,1,2,1,100000002,510000001037,
-15305.2,22359.2,1440,µm,Segment,Segment Position,1,2,1,100000001,510000001116,
-15305.4,22363.5,1440.76,µm,Segment,Segment Position,1,2,1,100000001,510000001174,
-15302.6,22373.9,1442.22,µm,Segment,Segment Position,10,4,1,100000001,510000000646,
-15303.1,22373.8,1442.46,µm,Segment,Segment Position,10,5,1,100000001,510000000653,
