
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
5.44917,1/10µm,Segment,9,4,1,100000001,510000000045,
7.18909,1/10µm,Segment,8,4,1,100000001,510000000062,
0,1/10µm,Segment,7,3,1,100000001,510000000071,
0,1/10µm,Segment,6,2,1,100000001,510000000092,
0,1/10µm,Segment,5,1,1,100000001,510000000105,
16.3392,1/10µm,Segment,4,1,1,100000001,510000000112,
13.1382,1/10µm,Segment,3,1,1,100000001,510000000138,
12.7634,1/10µm,Segment,2,1,1,100000001,510000000171,
0,1/10µm,Segment,1,1,1,100000001,510000000176,
0,1/10µm,Segment,0,1,1,100000001,510000000180,
0,1/10µm,Segment,9,5,1,100000001,510000000201,
0,1/10µm,Segment,8,3,1,100000001,510000000216,
0,1/10µm,Segment,7,2,1,100000001,510000000224,
11.3077,1/10µm,Segment,6,2,1,100000000,510000000296,
26.8844,1/10µm,Segment,5,2,1,100000000,510000000302,
0,1/10µm,Segment,3,2,1,100000000,510000000306,
25.0265,1/10µm,Segment,2,1,1,100000000,510000000313,
72.1724,1/10µm,Segment,1,1,1,100000000,510000000316,
26.1198,1/10µm,Segment,0,1,1,100000000,510000000355,
5.25468,1/10µm,Segment,4,3,1,100000000,510000000431,
0,1/10µm,Segment,5,3,1,100000000,510000000445,
0,1/10µm,Segment,4,2,1,100000000,510000000453,
23.6238,1/10µm,Segment,3,1,1,100000000,510000000461,
15.1222,1/10µm,Segment,6,3,1,100000000,510000000472,
0,1/10µm,Segment,2,3,1,100000000,510000000478,
0,1/10µm,Segment,1,2,1,100000000,510000000482,
0,1/10µm,Segment,2,2,1,100000000,510000000484,
16.1009,1/10µm,Segment,2,2,1,100000000,510000000488,
0,1/10µm,Segment,9,4,1,100000001,510000000500,
32.1732,1/10µm,Segment,7,4,1,100000001,510000000503,
1.63781,1/10µm,Segment,6,3,1,100000001,510000000564,
20.6473,1/10µm,Segment,5,2,1,100000001,510000000581,
6.69114,1/10µm,Segment,4,2,1,100000001,510000000595,
0,1/10µm,Segment,9,5,1,100000001,510000000607,
0,1/10µm,Segment,8,4,1,100000001,510000000610,
0,1/10µm,Segment,7,3,1,100000001,510000000613,
5.0855,1/10µm,Segment,8,5,1,100000001,510000000630,
16.0502,1/10µm,Segment,10,4,1,100000001,510000000646,
0,1/10µm,Segment,9,4,1,100000001,510000000648,
0,1/10µm,Segment,10,5,1,100000001,510000000653,
0,1/10µm,Segment,9,5,1,100000001,510000000656,
0,1/10µm,Segment,8,3,1,100000001,510000000659,
56.0961,1/10µm,Segment,2,3,1,100000002,510000000667,
0,1/10µm,Segment,1,2,1,100000002,510000000674,
1.52499,1/10µm,Segment,0,1,1,100000002,510000000748,
9.78371,1/10µm,Segment,2,2,1,100000002,510000000785,
0,1/10µm,Segment,6,1,1,100000001,510000000789,
0,1/10µm,Segment,6,3,1,100000001,510000000795,
0,1/10µm,Segment,6,2,1,100000001,510000000797,
0,1/10µm,Segment,6,3,1,100000001,510000000803,
14.1946,1/10µm,Segment,5,3,1,100000001,510000000811,
0,1/10µm,Segment,6,2,1,100000001,510000000814,
0,1/10µm,Segment,4,3,1,100000001,510000000823,
0,1/10µm,Segment,3,2,1,100000001,510000000832,
0,1/10µm,Segment,4,2,1,100000001,510000000836,
21.0469,1/10µm,Segment,0,1,1,100000001,510000000849,
0,1/10µm,Segment,0,1,1,100000002,510000000882,
4.715,1/10µm,Segment,2,1,1,100000001,510000000918,
0,1/10µm,Segment,1,1,1,100000001,510000000924,
7.24002,1/10µm,Segment,0,1,1,100000001,510000000951,
0,1/10µm,Segment,1,2,1,100000001,510000000962,
0,1/10µm,Segment,0,1,1,100000001,510000000968,
0,1/10µm,Segment,1,1,1,100000001,510000001023,
0,1/10µm,Segment,2,2,1,100000001,510000001027,
0,1/10µm,Segment,1,2,1,100000002,510000001037,
0,1/10µm,Segment,0,1,1,100000002,510000001054,
0,1/10µm,Segment,2,2,1,100000001,510000001056,
0,1/10µm,Segment,2,1,1,100000002,510000001084,
42.5817,1/10µm,Segment,1,1,1,100000002,510000001089,
0,1/10µm,Segment,2,2,1,100000002,510000001096,
0,1/10µm,Segment,1,2,1,100000001,510000001116,
0,1/10µm,Segment,1,2,1,100000001,510000001174,
0,1/10µm,Segment,4,2,1,100000000,510000001201,
0,1/10µm,Segment,4,1,1,100000000,510000001202,
0,1/10µm,Segment,5,2,1,100000001,510000001203,
0,1/10µm,Segment,8,4,1,100000001,510000001204,
0,1/10µm,Segment,1,1,1,100000002,510000001206,
