
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
35.5625,,Spine,2,2,Image 1,3,1,100000002,610000001343,
41.0625,,Spine,2,2,Image 1,3,1,100000002,610000001354,
40.0312,,Spine,2,1,Image 1,1,1,100000002,610000001363,
34.0625,,Spine,2,2,Image 1,3,1,100000002,610000001367,
32.0312,,Spine,2,6,Image 1,2,1,100000000,610000001371,
33.0156,,Spine,2,6,Image 1,3,1,100000000,610000001375,
15.0078,,Spine,2,6,Image 1,2,1,100000000,610000001378,
30.5156,,Spine,2,0,Image 1,1,1,100000002,610000001381,
38.0156,,Spine,2,1,Image 1,1,1,100000002,610000001389,
13.0312,,Spine,2,0,Image 1,1,1,100000001,610000001391,
39.0156,,Spine,2,2,Image 1,1,1,100000001,610000001395,
35.0156,,Spine,2,1,Image 1,1,1,100000002,610000001401,
23.0625,,Spine,2,1,Image 1,1,1,100000000,610000001407,
34.0312,,Spine,2,2,Image 1,1,1,100000001,610000001412,
17.002,,Spine,2,1,Image 1,1,1,100000002,610000001415,
33.5156,,Spine,2,6,Image 1,2,1,100000000,610000001419,
54.0156,,Spine,2,2,Image 1,1,1,100000001,610000001423,
40.5312,,Spine,2,6,Image 1,2,1,100000000,610000001426,
26.0156,,Spine,2,3,Image 1,1,1,100000000,610000001429,
28.0039,,Spine,2,6,Image 1,2,1,100000000,610000001431,
39.0312,,Spine,2,2,Image 1,1,1,100000001,610000001433,
55.0312,,Spine,2,1,Image 1,1,1,100000000,610000001437,
30.002,,Spine,2,6,Image 1,2,1,100000000,610000001439,
52.0312,,Spine,2,1,Image 1,1,1,100000002,610000001444,
31.0312,,Spine,2,2,Image 1,1,1,100000001,610000001448,
52.0312,,Spine,2,2,Image 1,2,1,100000002,610000001450,
41.0039,,Spine,2,2,Image 1,1,1,100000001,610000001452,
29.501,,Spine,2,6,Image 1,2,1,100000000,610000001454,
43.0156,,Spine,2,6,Image 1,2,1,100000000,610000001456,
47.5312,,Spine,2,1,Image 1,1,1,100000002,610000001461,
66.0625,,Spine,2,2,Image 1,3,1,100000002,610000001463,
29.0078,,Spine,2,2,Image 1,1,1,100000001,610000001466,
36.0625,,Spine,2,3,Image 1,1,1,100000000,610000001469,
28.0312,,Spine,2,6,Image 1,3,1,100000001,610000001471,
49.0156,,Spine,2,1,Image 1,1,1,100000002,610000001475,
69.0156,,Spine,2,6,Image 1,2,1,100000000,610000001479,
64.5312,,Spine,2,1,Image 1,1,1,100000000,610000001482,
45.5312,,Spine,2,2,Image 1,1,1,100000001,610000001485,
63.0156,,Spine,2,0,Image 1,1,1,100000000,610000001487,
57.0312,,Spine,2,2,Image 1,1,1,100000000,610000001490,
41.5156,,Spine,2,2,Image 1,1,1,100000001,610000001493,
71.0039,,Spine,2,0,Image 1,1,1,100000000,610000001496,
27.5156,,Spine,2,6,Image 1,2,1,100000000,610000001500,
56.5312,,Spine,2,1,Image 1,1,1,100000000,610000001505,
79.0625,,Spine,2,8,Image 1,5,1,100000001,610000001509,
43.0156,,Spine,2,2,Image 1,1,1,100000001,610000001514,
65.0156,,Spine,2,2,Image 1,1,1,100000001,610000001516,
51.0078,,Spine,2,1,Image 1,1,1,100000002,610000001522,
40.502,,Spine,2,1,Image 1,1,1,100000002,610000001525,
63.0156,,Spine,2,2,Image 1,1,1,100000000,610000001527,
75.0078,,Spine,2,0,Image 1,1,1,100000001,610000001531,
51.0312,,Spine,2,10,Image 1,4,1,100000001,610000001536,
60.0078,,Spine,2,1,Image 1,1,1,100000002,610000001538,
71.5039,,Spine,2,2,Image 1,1,1,100000001,610000001544,
46.0156,,Spine,2,6,Image 1,3,1,100000000,610000001547,
57.0312,,Spine,2,5,Image 1,2,1,100000001,610000001556,
61.0039,,Spine,2,6,Image 1,2,1,100000000,610000001561,
53.501,,Spine,2,6,Image 1,2,1,100000000,610000001581,
76.502,,Spine,2,6,Image 1,2,1,100000000,610000001582,
48.5156,,Spine,2,5,Image 1,2,1,100000000,610000001583,
58.0312,,Spine,2,5,Image 1,2,1,100000000,610000001584,
56.0039,,Spine,2,4,Image 1,3,1,100000000,610000001585,
45.0156,,Spine,2,4,Image 1,3,1,100000000,610000001586,
77.0312,,Spine,2,3,Image 1,1,1,100000000,610000001587,
30.0078,,Spine,2,2,Image 1,2,1,100000000,610000001588,
70.502,,Spine,2,0,Image 1,1,1,100000000,610000001589,
73.0156,,Spine,2,0,Image 1,1,1,100000000,610000001590,
59.0312,,Spine,2,0,Image 1,1,1,100000000,610000001591,
67.0312,,Spine,2,0,Image 1,1,1,100000000,610000001592,
51.0039,,Spine,2,0,Image 1,1,1,100000000,610000001593,
46.5156,,Spine,2,0,Image 1,1,1,100000000,610000001594,
28.5156,,Spine,2,9,Image 1,4,1,100000001,610000001605,
25.0156,,Spine,2,8,Image 1,4,1,100000001,610000001606,
98.502,,Spine,2,4,Image 1,1,1,100000001,610000001607,
36.5078,,Spine,2,7,Image 1,4,1,100000001,610000001608,
76.5039,,Spine,2,10,Image 1,4,1,100000001,610000001609,
44.5312,,Spine,2,5,Image 1,2,1,100000001,610000001610,
35.5312,,Spine,2,5,Image 1,2,1,100000001,610000001611,
18.5078,,Spine,2,5,Image 1,3,1,100000001,610000001612,
31.5039,,Spine,2,4,Image 1,2,1,100000001,610000001613,
27.5156,,Spine,2,3,Image 1,1,1,100000001,610000001614,
35.5078,,Spine,2,3,Image 1,1,1,100000001,610000001615,
45.5078,,Spine,2,3,Image 1,1,1,100000001,610000001616,
46.5156,,Spine,2,3,Image 1,1,1,100000001,610000001617,
50.5312,,Spine,2,2,Image 1,1,1,100000001,610000001618,
61.501,,Spine,2,2,Image 1,1,1,100000001,610000001619,
12.5078,,Spine,2,0,Image 1,1,1,100000001,610000001620,
72.0625,,Spine,2,2,Image 1,3,1,100000002,610000001631,
58.5312,,Spine,2,1,Image 1,1,1,100000002,610000001640,
51.5078,,Spine,2,1,Image 1,1,1,100000002,610000001641,
